PROVINCE,CITY,YEAR,SLUDGE,GDP,POP,LDP,BA,CCF,WWP,CCF_P,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA
山东省,山东省,2019,717213.95,62427.93179,98402768,67709.68,5412.68,6717888638,354336.84,68.26930557,4261911.551,48198268865,7.60E+13,52276108911,4178927580
河南省,河南省,2019,421920.95,50748.60841,97407439,27932.52,2944.3,6692918962,207300.37,68.71055261,3486964.928,39181100551,7.52E+13,21565652912,2273183797
湖北省,湖北省,2019,326955.39,35500.13802,59351748,30750.97,2660.99,4071893090,260099.64,68.60611907,2435526.696,27408327458,4.58E+13,23741672636,2054450753
湖南省,湖南省,2019,231862.23,29952.83015,67673962,19600.88,1855.94,5440477126,227085.5,80.39247246,2407982.073,23125458740,5.22E+13,15133105601,1432901789
广东省,广东省,2019,979266.97,78030.717,115854465,98633.1,6397.65,8855099813,808534.64,76.43296107,5964118.755,60244595165,8.94E+13,76150923736,4939386040
广西壮族自治区,广西壮族自治区,2019,124168.87,16483.87238,49045174,17571.49,1542.78,3648892740,137264.72,74.39860932,1226377.181,12726580717,3.79E+13,13566289561,1191122677
海南省,海南省,2019,82201.68,4135.351243,9482582,5659.9,382.89,611464746.5,35851.39,64.48293793,266659.5975,3192749869,7.32E+12,4369796886,295615033.8
重庆市,重庆市,2019,96200.43,17863.1807,28952632,20839.24,1515.41,2441565809,134541.47,84.32966677,1506396.076,13791493030,2.24E+13,16089196993,1169991325
四川省,四川省,2019,376739.04,35363.23523,80030655,38275.66,3054.31,6577397160,236108.94,82.18597186,2906361.855,27302629939,6.18E+13,29551204064,2358118399
贵州省,贵州省,2019,79935.58,10947.79992,36413767,10034.6,1085.52,2063218763,75011.1,56.66040436,620306.7703,8452386438,2.81E+13,7747338970,838089350.7
云南省,云南省,2019,118845.98,16246.59238,48208514,15356.75,1217.6,3093504850,107572.45,64.16926375,1042531.871,12543385712,3.72E+13,11856371726,940063373.7
西藏自治区,西藏自治区,2019,4347.79,1165.404848,3152382,831.19,164.42,276141474.3,9616.15,87.59771954,102086.807,899765451,2.43E+12,641730679.7,126942526.2
陕西省,陕西省,2019,319224.97,17876.83017,38964209,11016.9,1357.51,2614466571,126452.41,67.09918252,1199520.69,13802031275,3.01E+13,8505736023,1048082647
甘肃省,甘肃省,2019,147954.53,6750.21369,26685500,7279.93,875.72,2022777101,46269.84,75.80060712,511670.2959,5211587265,2.06E+13,5620561396,676110625.5
青海省,青海省,2019,26830.47,2572.837923,5944481,3269.16,215.19,338980602.4,18448.58,57.02442357,146714.5995,1986391835,4.59E+12,2523996040,166140142.4
宁夏回族自治区,宁夏回族自治区,2019,49929.72,3296.835975,7090445,2206.9,489.05,415432114.2,27612.12,58.59041487,193162.9875,2545363624,5.47E+12,1703864865,377577195.2
新疆维吾尔自治区,新疆维吾尔自治区,2019,221890.57,9252.208846,24057103,7870.25,1209.56,1725630156,66478.13,71.73058852,663666.3856,7143284052,1.86E+13,6076325367,933855990.7
