,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
11,山西省,113102,64,113102,7190.0,2407.0,35275759,35393999,35512530,35630084,35745309,35856786,35963015,36062542,36153807,36235309,36305491,36362906,36406367,36434748,36446939,36441843,36418789,36378918,36323815,36255056,36174221,36082747,35981456,35871043,35752192,35625595,35491755,35350500,35201471,35044325,34878716,34704366,34521221,34329303,34128604,33919157,33700994,33474240,33239036,32995512,32743803,32484050,32216571,31941698,31659770,31371102,31076178,30776138,30472316,30166035,29858610,29551270,29244701,28939462,28636171,28335409,28037603,27742303,27448893,27156722,26865179,26573571,26281107,25986936,25690187,25390000,25085602,24776727,24463187,24144803,23821319,23492961,23161754,22830265,22501108,22176951,21860197,21551831,21252481,20962809,20683498,20414814,20155384,19903425,19657089,19414542,19173894,18933264,18690710,18444302,18192081,8960000,9005300
12,广东省,215948,58,215948,6578.0,1359.5,104320457,105455754,106616033,107792081,108974789,110155378,111325429,112476944,113602466,114695019,115748198,116756861,117719256,118634275,119500761,120317418,121083852,121803552,122481001,123120644,123726994,124304089,124854230,125379271,125881077,126361485,126821721,127260558,127676187,128066683,128430169,128764863,129069845,129344391,129587734,129799106,129977783,130123222,130235063,130313023,130356908,130366760,130343283,130287337,130199860,130081834,129934229,129757630,129552564,129319507,129058945,128771593,128459339,128124205,127768124,127392910,127000259,126591802,126169132,125733769,125287133,124830077,124361205,123878650,123380544,122865063,122329899,121770774,121182974,120561943,119903229,119205545,118479863,117740143,117000310,116274263,115574777,114910316,114288252,113715955,113200803,112747149,112347403,111990839,111666596,111363736,111071113,110777594,110471911,110142751,109778775,25520000,25601900
13,广西壮族自治区,313463,85,313463,9249.75,2024.25,46023759,46301744,46584807,46870401,47155903,47438694,47716150,47985717,48244874,48491221,48722399,48936658,49134230,49315835,49482180,49633945,49772247,49900045,50020752,50137783,50254537,50373742,50495301,50618408,50742249,50866018,50988794,51109136,51225494,51336263,51439873,51534903,51620658,51696648,51762367,51817297,51861135,51894456,51918077,51932895,51939801,51939768,51934057,51923947,51910811,51896002,51880713,51865131,51849244,51833010,51816428,51799752,51784278,51771544,51763041,51760216,51764260,51775366,51793439,51818336,51849832,51887405,51929629,51974814,52021349,52067573,52112082,52154293,52193993,52231137,52265952,52299281,52333973,52373177,52419825,52476627,52545405,52625340,52714801,52811924,52914686,53021051,53129719,53239663,53349909,53459572,53567778,53673785,53776854,53876354,53971714,38250000,38314700
14,新疆维吾尔自治区,771678,700,771678,59359.25,28654.75,21826722,22052200,22279954,22508280,22735439,22959816,23179878,23393995,23600884,23799181,23987693,24165620,24332963,24490243,24637883,24776078,24905560,25027623,25143752,25255546,25364554,25472026,25578180,25682816,25785850,25887172,25986436,26082970,26175618,26263523,26345666,26421216,26489949,26551791,26606466,26653890,26694110,26727388,26754147,26774796,26789928,26799845,26805105,26806282,26803689,26798064,26789805,26778933,26765551,26749672,26731341,26710688,26688189,26664396,26639915,26615155,26590558,26566038,26541346,26516239,26490407,26463671,26436268,26408643,26381146,26354270,26328289,26302752,26276947,26250322,26222477,26193204,26163109,26133006,26103590,26075448,26049113,26025638,26006193,25991784,25983641,25982242,25986337,25994385,26004641,26015359,26025050,26031902,26034341,26030674,26019293,453050000,455007330
15,江苏省,105245,42,105245,4896.25,1354.25,79592328,79980693,80339265,80666861,80962350,81224641,81452652,81645319,81801538,81920180,82000089,82040720,82044267,82013569,81951507,81860943,81744877,81606766,81450186,81278710,81095929,80904750,80705418,80497506,80280595,80054282,79817899,79569876,79308414,79031701,78737937,78425486,78093318,77740568,77366368,76969853,76550259,76107223,75640483,75149743,74634726,74095902,73536857,72961912,72375429,71781743,71184480,70584261,69980983,69374550,68764835,68152241,67539401,66929549,66325945,65731894,65149619,64576823,64010049,63445784,62880447,62311263,61738713,61164131,60588897,60014407,59441514,58868769,58294144,57715572,57130967,56539442,55945054,55353116,54769030,54198230,53645268,53110925,52594980,52097182,51617205,51154864,50710656,50285251,49879413,49493963,49129742,48787655,48468630,48173625,47903641,13120000,13150100
16,江西省,212169,63,212169,7290.75,1739.75,44567791,44742939,44910516,45069598,45219207,45358325,45485907,45600862,45702112,45788519,45858967,45912635,45950128,45972332,45980185,45974612,45956661,45927853,45889829,45844255,45792779,45736661,45675653,45609109,45536395,45456873,45369757,45273711,45167257,45048932,44917243,44771063,44610567,44436280,44248748,44048489,43835986,43611496,43375251,43127446,42868308,42598224,42318385,42030160,41734924,41434048,41128689,40819151,40505500,40187804,39866134,39540970,39214553,38889615,38568891,38255148,37950219,37651919,37357050,37062370,36764549,36460931,36151683,35837710,35519926,35199269,34876514,34551682,34224594,33895100,33563040,33228615,32893343,32559101,32227736,31901120,31580441,31264325,30950632,30637195,30321761,30002698,29681220,29359313,29039035,28722551,28412070,28109890,27818337,27539833,27276781,22680000,22725000
17,河北省,109176,77,109176,8943.25,3044.25,73024765,73736195,74359978,74900577,75363079,75753082,76076465,76339345,76547905,76708325,76826780,76908504,76955243,76967882,76947284,76894342,76810664,76700789,76569969,76423472,76266545,76103599,75935639,75762831,75585328,75403319,75216444,75022330,74818109,74600886,74367778,74116406,73846357,73557711,73250579,72925032,72581262,72219800,71841249,71446236,71035393,70609674,70171550,69723830,69269318,68810879,68350983,67890700,67430738,66971836,66514733,66060030,65607912,65158423,64711581,64267383,63825571,63384839,62943607,62500219,62053031,61600655,61142988,60680273,60212758,59740720,59264503,58784660,58301838,57816728,57330094,56843244,56359517,55882697,55416593,54964955,54530074,54108373,53694671,53283579,52869508,52448530,52023953,51601047,51185302,50782401,50398124,50038493,49709562,49417560,49168806,10010000,10057600
18,河南省,154031,65,154031,7274.5,2171.0,94029933,94345805,94658067,94962970,95256536,95534628,95792991,96027321,96233211,96406264,96542032,96637158,96692661,96710682,96693326,96642751,96561388,96452932,96321368,96170682,96004879,95827430,95639656,95442409,95236472,95022702,94800917,94566991,94315828,94042319,93741350,93409010,93046238,92655226,92238125,91797108,91334036,90849490,90343759,89817095,89269761,88702655,88119173,87523327,86919175,86310786,85701325,85090626,84477594,83861153,83240199,82614267,81985478,81356661,80730621,80110191,79496900,78886878,78274802,77655302,77022898,76373832,75711703,75042019,74370431,73702631,73042613,72386968,71730409,71067592,70393097,69702547,68996042,68274712,67539558,66791525,66032039,65264862,64494416,63725249,62961967,62208841,61468096,60741479,60030898,59338366,58665897,58015644,57389799,56790593,56220325,26240000,26305000
19,浙江省,117696,38,117696,4443.25,1082.25,54765099,55243775,55705200,56148370,56572443,56976764,57360806,57724181,58066636,58388005,58688254,58967705,59227727,59469906,59695812,59906999,60104791,60289689,60461992,60622030,60770097,60906538,61031599,61145557,61248650,61341159,61423023,61493015,61549652,61591377,61616664,61624127,61613034,61582834,61532943,61462807,61372065,61261247,61131126,60982498,60816200,60633071,60434118,60220348,59992807,59752518,59500544,59237939,58965743,58685032,58396845,58102517,57804652,57506119,57209805,56918602,56634805,56358306,56088347,55824145,55564866,55309544,55056772,54805064,54552917,54298838,54041384,53779324,53511542,53236987,52954718,52665107,52373631,52087021,51812018,51555361,51322272,51112007,50922185,50750249,50593490,50449312,50316256,50193162,50078920,49972483,49872790,49778850,49689696,49604398,49522081,12210000,12231000
20,海南省,42020,11,42020,1206.75,211.25,8671486,8749634,8829687,8910853,8992341,9073369,9153178,9231045,9306267,9378177,9446141,9509703,9568948,9624110,9675402,9723035,9767280,9808664,9847783,9885233,9921605,9957404,9992801,10027862,10062662,10097277,10131719,10165731,10199006,10231222,10262060,10291189,10318274,10342973,10364936,10383812,10399361,10411723,10421155,10427922,10432294,10434535,10434838,10433392,10430383,10426014,10420423,10413531,10405189,10395255,10383578,10370101,10355142,10339098,10322363,10305327,10288362,10271835,10256101,10241502,10228399,10216925,10206457,10196176,10185244,10172823,10158171,10140953,10120956,10097999,10071914,10042740,10011290,9978530,9945413,9912876,9881758,9852650,9826062,9802493,9782442,9766193,9753245,9742870,9734360,9726984,9720021,9712745,9704427,9694337,9681752,5060000,5150281
