,0
0,上海市
1,16222.861492000002
2,17396.028398000002
3,18090.603813
4,19274.071439
5,20823.068302
6,22639.368545999998
7,24446.237749
8,25003.213085000003
9,28113.281396
10,30276.77338
11,32211.25976
12,33836.04355
13,35268.782900000006
14,36670.44201
15,38199.17663
16,40010.32999
17,42197.59258
18,44625.90535
19,47099.421
20,49419.68539
21,51384.33312
22,52955.93587
23,54111.57871999999
24,54994.9356
25,55755.67438
26,56548.20030999999
27,57500.521479999996
28,58606.48004
29,59828.63787
30,61129.06251999999
31,62470.42966000001
32,63803.573130000004
33,65106.3078
34,66343.2653
35,67477.7342
36,68471.78942
37,69319.21403999999
38,70047.4768
39,70716.31645
40,71386.11867
41,72117.96329
42,73007.2922
43,74000.94628
44,75075.27658
45,76205.38925
46,77364.52541
47,78541.95115000001
48,79685.17495
49,80759.61664
50,81731.03073
51,82565.5289
52,83252.47318
53,83836.80275
54,84387.76772999999
55,84975.07808
56,85668.53615
57,86508.01374
58,87473.49139
59,88518.19841000001
60,89597.64746
61,90669.80641
62,91789.16883
63,92866.77745
64,93894.35073
65,94859.50824
66,95746.31992
67,96534.03296000001
68,97271.00988
69,98007.46951999998
70,98796.22825000001
71,99692.92739
72,100505.57280000001
73,101442.36563
74,102470.28899
75,103552.70507
76,104648.39101999998
77,105689.17708
78,106678.62723000001
79,107602.11076000001
80,108446.73008000001
81,109201.08396
82,109838.03881
83,110376.31657
84,110820.70796999999
85,111175.75146999999
86,111445.93402
87,111607.06215
88,111691.45872999998
89,111704.56213
90,111652.45272
91,111541.98874999999
92,云南省
93,6827.275314500001
94,8428.68889517
95,9453.28430257
96,10424.095497759992
97,11359.941135150006
98,12272.574384349999
99,13072.351196950007
100,13168.736376590006
101,14625.889359409997
102,15658.08553429001
103,16710.82457193
104,17780.157307210004
105,18850.55264161
106,19900.353552269993
107,20908.500861559995
108,21854.221471939993
109,22719.12561686
110,23505.152559700007
111,24217.91723047999
112,24863.707676209993
113,25449.65559874999
114,26038.930285640006
115,26591.657208899986
116,27121.685236059995
117,27643.85734088
118,28173.7470226
119,28720.626823659997
120,29257.93156081
121,29751.567509560005
122,30166.83805825999
123,30468.060454290007
124,30624.645803170006
125,30670.326465870014
126,30647.63036570999
127,30602.006659419985
128,30581.960615070006
129,30634.84576635999
130,30751.617731149992
131,30917.982047439986
132,31118.68540253
133,31337.984641700004
134,31580.545544190016
135,31811.36072459
136,32014.626507269997
137,32174.23376801999
138,32273.82858851999
139,32310.00809090001
140,32284.71956156001
141,32213.260481069996
142,32111.023185030004
143,31993.35366479002
144,31874.37618622001
145,31749.602722699987
146,31613.927406300005
147,31462.401288209996
148,31290.26358706002
149,31091.403495350012
150,30874.23278303999
151,30645.215770079994
152,30409.97431519999
153,30173.305742730005
154,29967.09076223
155,29763.33827552
156,29560.709407470003
157,29359.028843179993
158,29159.302321450006
159,28957.24021790999
160,28746.367139460002
161,28512.778591860002
162,28241.141425390007
163,27914.309990759994
164,27457.138308159996
165,26958.501415569997
166,26453.811619269993
167,25981.0890085
168,25581.18442463
169,25278.699832269987
170,25063.439543609995
171,24905.657898569996
172,24774.622102969995
173,24638.95452829999
174,24469.97687777
175,24277.004521990013
176,24073.43072839999
177,23872.962641219994
178,23689.65250907
179,23531.80518246999
180,23419.906844640005
181,23368.69600663001
182,23392.875306789996
183,23506.90056908002
184,内蒙古自治区
185,10925.373628499992
186,11998.583640549994
187,12639.224669700003
188,13539.685449580014
189,14645.347000709984
190,15914.369073660004
191,17178.63449087
192,17592.029919769982
193,19857.071991939996
194,21541.482007360002
195,23178.706027140015
196,24713.757071670014
197,26133.498054519976
198,27432.709258319974
199,28607.22546401999
200,29652.21704207002
201,30568.762085320002
202,31401.298645370007
203,32204.377612969987
204,33034.91490412997
205,33952.317022400006
206,35066.59977235993
207,36246.91639187998
208,37404.69710595997
209,38449.70798658
210,39291.00175549998
211,39866.86707428003
212,40218.68716771001
213,40415.59805120001
214,40524.85804193997
215,40611.75601939996
216,40723.007700290014
217,40886.627639069964
218,41116.31413528001
219,41428.38995221005
220,41840.78137269995
221,42370.331096189984
222,42968.46719645998
223,43583.21701931999
224,44162.089785079996
225,44652.31600206992
226,45043.43007393002
227,45321.888207400014
228,45515.54299104997
229,45653.16868367998
230,45764.709759680074
231,45888.22536635998
232,46023.905703339995
233,46178.89915961005
234,46360.15951103
235,46574.53071913001
236,46827.16586080995
237,47095.673245989994
238,47356.07999925002
239,47584.02225850998
240,47754.86541152001
241,47847.18507045002
242,47884.84245352004
243,47895.50685118007
244,47906.586731330004
245,47945.38834595001
246,48077.236924850025
247,48244.83596258
248,48423.75725644995
249,48588.57988484993
250,48712.92880200001
251,48770.87231695999
252,48779.41015212997
253,48757.00648713995
254,48721.689557579986
255,48690.75667148002
256,48564.91217620001
257,48462.40375462997
258,48389.93758564002
259,48354.93988733998
260,48365.34063788998
261,48411.104616280056
262,48484.057868630036
263,48558.38947552999
264,48608.05258761993
265,48606.84991320001
266,48526.62328325002
267,48382.28811399001
268,48188.53686802997
269,47960.358019800005
270,47713.14297678003
271,47450.48946446
272,47200.50099631996
273,46979.86436882002
274,46805.546865990014
275,46694.63047432994
276,北京市
277,13338.163822999999
278,16015.921747
279,17473.549901000002
280,18725.70394
281,19806.037952
282,20739.022108
283,21387.620959
284,20848.20071
285,22411.522996
286,23252.703821
287,24110.469508
288,25013.200418
289,25953.270338000002
290,26904.277135
291,27836.572595999998
292,28718.269275
293,29520.336038999998
294,30245.463557000003
295,30903.363352999997
296,31505.400653999997
297,32064.587159
298,32660.125238
299,33223.532557
300,33749.500402
301,34233.659064
302,34672.514815
303,35070.582497
304,35450.240177
305,35839.48130100001
306,36265.09155
307,36753.387071000005
308,37312.165474
309,37919.711726
310,38535.705831
311,39119.133898
312,39627.987258
313,40042.06648999999
314,40375.69689200001
315,40665.576929
316,40948.598044000006
317,41261.822027
318,41660.56985
319,42110.673379
320,42593.900633
321,43091.426956
322,43583.552945
323,44062.822474
324,44510.433752
325,44920.80289499999
326,45288.523274
327,45608.33362799999
328,45885.039952
329,46143.218747
330,46418.160884
331,46745.353058999994
332,47160.20845500001
333,47677.700476
334,48264.597208
335,48869.260746
336,49441.322115
337,49931.323703
338,50352.265917
339,50679.87441
340,50946.293643000005
341,51183.688651000004
342,51424.68856999999
343,51688.967373
344,51985.019119
345,52309.002741000004
346,52657.792784
347,53029.243241
348,53297.512195999996
349,53583.763368
350,53889.630483999994
351,54215.87917
352,54562.232969
353,54911.157348
354,55264.718007
355,55610.398007
356,55936.13590999999
357,56230.332072
358,56476.361524
359,56694.312547999994
360,56900.582893
361,57111.672408
362,57344.227208000004
363,57600.155634
364,57910.29889399999
365,58291.366459
366,58759.826240999995
367,59331.689094
368,吉林省
369,8191.373272759998
370,9647.528342200001
371,10472.330816969996
372,11254.08138515
373,11989.442486720003
374,12672.63783367
375,13198.07900072
376,12977.931894029996
377,14036.868774379998
378,14594.148394409996
379,15082.503853179998
380,15505.273845810003
381,15892.056203990005
382,16272.72669913
383,16673.963906310004
384,17119.88343714
385,17626.59393275
386,18191.805346170004
387,18808.52304474
388,19470.77034597001
389,20173.170596389988
390,20949.456883669995
391,21728.80129036001
392,22475.285815889998
393,23152.415857720007
394,23723.555820140005
395,24169.775528919992
396,24534.363503969995
397,24877.64334461
398,25259.546672390006
399,25740.25705513001
400,26356.291861649992
401,27076.698330070005
402,27844.738243259988
403,28601.471165359995
404,29285.307886080012
405,29855.125877019986
406,30318.654009210004
407,30706.878025809994
408,31051.62513840001
409,31385.26179460999
410,31753.274471349996
411,32128.96636540999
412,32496.435876039992
413,32839.18385166
414,33140.07606231
415,33395.25673473
416,33607.701030430006
417,33794.56903117
418,33973.33450281
419,34161.690004050004
420,34374.0505467
421,34595.738526869995
422,34808.65310041
423,34994.38485531999
424,35134.31359139001
425,35212.2661411
426,35245.75332025
427,35255.20234059999
428,35260.84988676
429,35282.83051899
430,35371.04772455001
431,35492.647765369984
432,35641.17804456
433,35809.80355678
434,35991.05048301
435,36173.302247800006
436,36360.10226881001
437,36552.273865890005
438,36751.07832457999
439,36958.252891710006
440,37088.18886661
441,37223.308039819996
442,37361.66391180001
443,37500.82200506
444,37637.83134162
445,37759.01939142999
446,37867.76725760001
447,37958.149031059984
448,38024.39501869
449,38060.82847311999
450,38057.76411773999
451,38028.73602709001
452,37984.45435067001
453,37935.810988549994
454,37893.92249394
455,37860.35998527999
456,37855.97539992999
457,37892.39658690002
458,37981.25962020999
459,38134.06679180001
460,四川省
461,16240.678586330005
462,19404.986075729987
463,21331.934091469997
464,23232.555486199984
465,25139.86825214
466,27080.670885469986
467,28862.71051101
468,29182.594381659987
469,32619.996527759988
470,35230.190734510004
471,38005.75964005002
472,40935.49477588002
473,43968.667165890016
474,47039.79129534998
475,50087.95633003998
476,53056.502835440006
477,55894.18205577001
478,58585.00523127001
479,61116.70348704003
480,63476.87901997
481,65653.49319781996
482,67776.18933541999
483,69696.79188538001
484,71400.22896687996
485,72873.25033432001
486,74104.85773054
487,75101.44059875999
488,75906.41014806999
489,76575.38709887999
490,77160.98757714996
491,77713.14228043002
492,78251.99637895
493,78782.25440390002
494,79283.96601110007
495,79739.99034411002
496,80135.47607811003
497,80483.55931580001
498,80790.28948106
499,81085.49036863001
500,81397.66539307003
501,81754.41322951998
502,82226.93241189001
503,82744.00916555998
504,83275.57576536997
505,83791.29517762999
506,84260.25331625999
507,84676.91866944998
508,85016.84790624995
509,85281.66546614998
510,85472.94745324999
511,85592.11471625001
512,85647.06258189002
513,85634.56615967998
514,85559.32859120001
515,85426.45306133
516,85241.50298451996
517,84999.16054776001
518,84705.71244835
519,84355.87885339
520,83942.78096296999
521,83457.58517384998
522,82977.89771736
523,82462.24583016995
524,81955.07868948001
525,81505.28764478001
526,81165.86199332
527,80966.02947100003
528,80894.15788872
529,80910.01705490006
530,80971.69448232
531,81036.31406639998
532,80870.56090880999
533,80617.68576429001
534,80237.31927613998
535,79688.57875000998
536,78931.18337237992
537,77926.53202440003
538,76756.85077871999
539,75505.40338001
540,74254.64071231999
541,73085.55213118001
542,72045.77180619004
543,71129.25059226002
544,70300.15092741998
545,69523.01016355997
546,68762.60794694001
547,67966.40534227004
548,67116.90603137
549,66180.11250031002
550,65122.99202444001
551,63913.928020750005
552,天津市
553,8321.3842399
