,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,23019194,23277630,23527065,23766783,23996205,24214867,24422408,24618552,24803104,24975923,25136934,25286435,25426069,25557811,25683635,25805518,25925087,26042542,26157719,26270445,26380537,26487784,26591911,26692627,26789638,26882652,26971372,27055485,27134678,27208631,27277029,27339624,27396475,27447708,27493453,27533832,27568925,27598639,27622846,27641419,27654242,27661180,27661992,27656422,27644231,27625191,27599193,27566552,27527692,27483051,27433076,27378090,27317871,27252045,27180197,27101877,27017291,26929396,26841863,26758376,26682637,26617027,26558568,26502898,26445624,26382312,26308041,26216024,26099009,25949722,25760842,25527961,25258584,24963251,24652577,24337307,24027631,23731129,23454823,23205857,22991499,22817090,22679943,22575251,22498080,22443399,22406080,22380904,22362588,22345786,22325111,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,45966766,46148073,46341192,46542966,46750179,46959513,47167628,47371150,47566735,47751022,47920714,48073353,48209807,48331768,48440921,48538997,48627486,48706967,48777852,48840470,48895198,48942414,48982618,49016390,49044262,49066766,49084214,49095800,49100488,49097203,49084889,49062524,49029025,48983375,48924505,48851400,48763240,48660316,48543179,48412345,48268390,48111935,47944006,47765744,47578281,47382783,47180193,46970874,46754927,46532528,46303828,46069300,45830685,45589999,45349332,45110700,44875772,44644464,44416288,44190639,43966904,43744152,43520395,43293372,43060820,42820489,42570117,42307341,42029889,41735549,41422203,41089734,40745406,40398427,40057962,39733195,39431114,39150145,38886379,38635699,38393782,38156631,37922422,37689889,37457791,37224936,36990195,36752471,36510706,36263887,36011027,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,24407563,24527733,24638593,24739812,24831117,24912286,24983099,25043300,25092633,25130852,25157733,25173236,25178319,25174369,25162630,25144353,25120695,25092084,25058718,25020853,24978791,24932652,24882357,24827574,24768127,24703817,24634315,24559431,24478984,24392670,24300229,24201464,24096315,23984764,23866768,23742300,23611307,23474167,23331228,23182663,23028976,22870234,22705993,22535489,22358154,22173186,21980202,21779604,21572179,21358482,21139308,20915235,20687146,20455802,20221981,19986599,19750553,19515211,19281871,19052055,18827241,18608480,18394820,18184925,17977440,17770896,17563575,17352786,17135423,16908503,16668747,16414471,16149575,15879404,15609441,15345231,15091643,14850242,14621912,14407405,14207512,14022632,13850999,13690421,13538758,13393677,13252854,13114064,12974829,12832832,12685700,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,19612368,19831628,20049307,20263879,20473884,20677962,20874817,21063249,21242116,21410358,21566975,21711422,21844770,21968486,22084037,22192896,22296359,22395059,22489444,22579959,22667035,22751005,22831850,22909462,22983733,23054557,23121845,23185602,23245863,23302657,23356017,23405922,23452181,23494560,23532819,23566712,23596067,23620970,23641591,23658106,23670685,23679360,23683527,23682430,23675339,23661513,23640361,23611756,23575695,23532185,23481223,23422822,23356998,23283752,23203051,23114849,23019540,22919465,22817457,22716361,22619046,22527544,22440486,22355628,22270719,22183478,22090883,21986866,21864604,21717219,21537780,21321674,21073817,20801534,20512190,20213234,19912297,19617551,19337468,19080680,18856006,18670175,18521038,18404091,18314714,18248183,18199681,18164284,18137018,18112829,18086619,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,27452818,27492119,27516336,27525645,27520233,27500286,27465961,27417322,27354442,27277218,27185553,27080149,26965535,26847173,26730502,26620950,26520361,26416247,26292563,26133270,25922358,25650878,25337987,25009983,24693105,24413625,24190498,24013375,23864529,23726268,23580855,23414260,23227414,23024955,22811529,22591812,22369502,22144421,21915407,21681260,21440824,21193132,20938329,20676801,20408897,20134946,19855091,19568672,19274847,18972723,18661394,18340437,18011533,17676917,17338888,16999781,16661749,16326141,15994129,15666937,15345856,15031746,14723614,14419943,14119197,13819793,13520108,13218373,12912730,12601219,12281822,11952976,11615578,11271130,10921244,10567569,10212439,9860567,9517404,9188567,8879854,8595742,8335062,8095122,7873139,7666290,7471663,7286283,7107122,6931114,6755138,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,80420721,80368395,80304044,80227053,80136653,80031786,79911101,79773039,79615756,79437173,79234953,79007329,78755554,78481615,78187576,77875429,77547202,77204821,76850221,76485430,76112421,75732622,75344729,74946830,74537000,74113284,73674268,73220595,72753426,72273907,71783231,71282140,70769543,70243930,69703801,69147642,68574214,67983052,67373948,66746609,66100785,65436562,64755707,64060373,63352659,62634606,61908121,61174447,60434759,59690125,58941651,58190382,57437361,56683610,55930253,55178487,54428834,53679270,52927114,52169700,51404370,50629825,49850053,49070377,48296265,47533140,46784271,46043589,45302684,44552868,43785308,42993591,42181503,41355534,40522287,39688438,38860221,38041535,37235766,36446419,35677059,34930381,34204881,33497949,32806991,32129379,31462490,30803630,30150159,29499347,28848495,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,11768136,11871391,11972066,12069514,12163126,12252330,12336590,12415395,12488266,12554744,12614384,12666977,12713145,12753723,12789551,12821457,12850172,12876029,12899260,12920091,12938741,12955388,12970037,12982646,12993171,13001571,13007802,13011798,13013486,13012804,13009682,13004057,12995911,12985226,12971994,12956200,12937832,12916884,12893349,12867223,12838505,12807146,12772924,12735571,12694820,12650410,12602155,12550211,12494808,12436182,12374567,12310202,12243360,12174307,12103313,12030641,11956622,11881879,11807112,11733022,11660311,11589509,11520413,11452649,11385840,11319610,11253062,11183206,11106510,11019418,10918340,10800662,10667802,10522184,10366225,10202348,10033462,9864358,9700424,9547160,9410192,9293884,9197151,9117479,9052280,8998917,8954684,8916835,8882582,8849097,8813524,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,6618966,6660908,6705009,6750691,6797376,6844481,6891415,6937616,6982510,7025552,7066203,7104063,7139221,7171895,7202308,7230674,7257191,7281992,7305195,7326897,7347203,7366205,7383934,7400406,7415638,7429659,7442455,7453993,7464209,7473029,7480398,7486242,7490438,7492875,7493418,7491942,7488334,7482572,7474651,7464554,7452288,7437872,7421503,7403389,7383765,7362856,7340861,7317851,7293859,7268925,7243096,7216439,7189128,7161335,7133260,7105088,7076984,7049078,7021492,6994326,6967680,6941556,6915504,6889009,6861514,6832491,6801430,6767956,6731742,6692479,6649876,6603967,6555999,6507519,6460066,6415188,6374048,6336279,6301112,6267729,6235295,6203043,6170768,6138391,6105857,6073110,6040110,6006816,5973222,5939300,5905052,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,58569086,58693558,58823251,58954227,59082419,59203659,59313640,59408008,59482353,59532196,59553012,59541502,59499476,59429980,59336071,59220808,59087341,58939338,58780611,58614950,58446193,58277561,58109802,57943058,57777462,57613166,57450111,57287475,57124249,56959424,56791989,56620383,56440826,56248975,56040479,55810980,55557030,55278614,54976642,54651972,54305496,53938725,53555826,53161629,52760954,52358633,51958134,51557573,51153740,50743354,50323127,49890692,49447548,48996158,48539050,48078732,47617651,47157724,46700771,46248626,45803179,45365740,44935266,44510105,44088588,43669018,43249563,42827703,42400823,41966277,41521486,41065021,40599882,40130159,39659862,39192928,38732530,38279107,37832377,37391987,36957506,36528767,36106772,35692914,35288637,34895508,34515120,34149134,33799286,33467293,33154952,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,95792722,96082490,96356597,96612140,96846172,97055675,97237541,97388588,97505510,97584924,97623300,97618595,97574850,97497639,97392568,97265196,97120451,96960676,96787567,96602866,96408315,96205121,95992263,95768196,95531360,95280192,95013339,94730211,94430440,94113669,93779518,93427453,93056229,92664441,92250662,91813501,91351902,90866185,90357040,89825107,89271027,88695671,88100854,87488619,86860963,86219893,85567017,84902329,84225422,83535883,82833272,82117692,81391432,80657380,79918459,79177637,78437547,77699479,76964356,76233151,75506800,74786734,74075948,73377928,72696175,72034306,71392486,70756991,70110507,69435582,68714657,67935078,67104504,66235649,65341229,64434007,63526497,62630356,61757163,60918735,60127089,59391653,58710781,58079973,57494661,56950227,56441948,55965079,55514809,55086256,54674529,22940000,22999800
