,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,23019194,23252323,23489261,23729178,23971290,24214867,24459249,24703831,24948089,25191569,25433906,25675459,25919172,26168632,26427435,26699196,26986157,27285033,27591144,27899796,28206267,28506729,28801005,29089839,29373973,29654141,29930849,30203660,30471902,30734903,30991979,31242593,31486818,31724862,31956933,32183227,32403895,32618910,32828230,33031830,33229701,33421826,33608089,33788369,33962603,34130755,34292934,34449630,34601460,34749069,34893135,35034159,35171775,35305338,35434135,35557374,35674927,35789596,35904889,36024258,36151105,36287505,36430369,36575328,36717994,36853975,36978191,37082851,37159584,37200132,37196334,37143510,37050619,36929957,36793777,36654296,36522497,36404564,36305477,36230191,36183637,36169232,36184498,36225439,36287977,36367999,36461327,36563757,36671067,36779005,36883322,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,45966766,46150769,46345189,46546938,46752802,46959513,47163782,47362288,47551712,47728763,47890169,48033459,48159212,48268782,48363531,48444816,48513945,48571861,48619421,48657501,48686966,48708621,48723050,48730839,48732541,48728725,48719686,48704670,48682663,48652657,48613625,48564539,48504382,48432062,48346563,48246812,48132016,48002437,47858606,47701035,47530267,47346902,47151977,46946581,46731874,46508954,46278798,46041687,45797749,45547121,45289930,45026620,44758949,44488986,44218830,43950541,43685838,43424676,43166578,42911019,42657421,42404918,42151551,41895053,41633185,41363717,41084347,40792896,40487213,40165219,39824896,39466090,39095894,38723148,38356767,38005647,37676672,37368500,37077641,36800357,36532772,36271257,36013841,35759025,35505341,35251357,34995643,34736863,34473657,34204743,33928846,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,24407563,24526857,24637271,24738475,24830229,24912286,24984435,25046450,25098067,25139026,25169103,25188265,25197493,25198097,25191405,25178549,25160770,25138300,25111155,25079534,25043506,25003108,24958306,24908858,24854638,24795493,24731231,24661623,24586396,24505329,24418110,24324509,24224493,24118010,24005083,23885626,23759660,23627538,23489615,23346086,23197392,23043635,22884333,22718870,22546523,22366613,22178665,21983185,21780818,21572285,21358249,21139362,20916498,20690388,20461840,20231718,20000933,19770773,19542649,19318043,19098302,18884556,18675873,18470900,18268250,18066520,17864024,17658003,17445461,17223365,16988469,16739205,16479364,16214360,15949691,15690880,15442773,15206899,14984028,14774841,14580054,14399956,14232841,14076621,13929069,13787999,13651123,13516186,13380904,13242913,13099960,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,19612368,19812374,20020550,20235276,20454934,20677962,20902829,21128078,21352319,21574246,21792637,22006990,22219352,22432417,22648884,22871455,23101903,23338211,23577413,23816526,24052539,24283054,24508141,24728496,24944822,25157804,25367983,25575260,25779372,25980073,26177086,26370170,26559119,26743746,26923856,27099247,27269783,27435621,27597005,27754198,27907476,28056963,28202144,28342349,28476959,28605381,28727155,28842309,28950991,29053370,29149637,29239943,29324200,29402217,29473743,29538470,29596555,29650207,29702126,29754972,29811377,29873120,29938738,30005954,30072492,30136091,30193604,30238321,30262693,30259249,30220565,30141925,30029277,29891179,29736127,29572563,29408623,29251370,29107671,28984466,28888749,28825759,28793526,28788204,28805861,28842512,28894093,28956513,29025622,29097257,29167221,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,27452818,27495127,27520798,27530066,27523154,27500286,27461694,27407516,27337840,27252671,27151920,27036339,26910214,26778736,26647091,26520425,26400481,26275181,26129078,25946707,25712625,25418333,25083035,24732843,24393882,24092266,23846892,23647411,23476155,23315488,23147720,22958924,22749963,22525484,22290125,22048546,21804422,21557582,21306847,21051040,20788952,20519650,20243244,19960122,19670577,19374969,19073372,18765134,18449386,18125186,17791623,17448257,17096760,16739403,16378503,16016423,15655400,15296762,14941701,14591474,14247429,13910442,13579552,13253248,12929973,12608140,12286161,11962353,11634995,11302226,10962117,10613140,10256028,9892123,9522838,9149715,8774978,8403508,8040957,7693127,7366074,7064471,6787119,6531247,6294004,6072441,5863561,5664312,5471525,5282031,5092595,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,80420721,80390727,80337346,80260153,80158557,80031786,79878816,79698435,79489112,79249076,78976316,78669022,78327041,77950718,77540404,77096400,76619947,76116061,75590750,75049990,74499874,73945024,73384256,72814866,72234174,71639538,71028934,70403152,69763675,69111990,68449594,67777469,67094513,66399129,65689693,64964615,64222590,63463086,62685813,61890439,61076626,60244353,59395332,58531555,57655051,56767670,55871170,54966599,54054934,53137053,52213824,51286100,50355064,49422007,48488304,47555472,46624358,45693160,44759408,43820728,42874801,41920700,40962473,40005443,39054991,38116506,37193254,36279838,35368425,34450887,33518735,32565558,31593918,30608965,29616019,28620671,27628586,26644823,25674364,24722474,23794650,22895399,22024572,21180709,20362392,19568122,18796358,18045549,17314078,16600270,15902418,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,11768136,11864886,11962348,12059842,12156716,12252330,12346073,12437357,12525614,12610312,12690937,12767285,12840307,12911225,12981273,13051680,13123326,13195638,13267694,13338557,13407287,13473136,13536150,13596569,13654636,13710589,13764603,13816580,13866348,13913743,13958593,14000759,14040228,14077013,14111128,14142587,14171397,14197567,14221110,14242042,14260385,14276117,14289044,14298931,14305558,14308709,14308258,14304401,14297417,14287595,14275230,14260608,14243962,14225496,14205407,14183870,14161137,14137790,14114477,14091838,14070497,14050898,14032818,14015883,13999724,13983976,13967720,13947757,13920331,13881691,13828102,13756928,13669980,13570131,13460232,13343087,13221802,13100762,12984751,12878642,12787384,12714787,12659788,12620073,12593261,12576933,12568618,12565817,12565998,12566596,12565045,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,6618966,6660459,6704330,6750018,6796921,6844481,6892105,6939239,6985301,7029761,7072076,7111845,7149184,7184299,7217427,7248801,7278614,7306922,7333766,7359156,7383123,7405686,7426894,7446790,7465423,7482845,7499077,7514067,7527746,7540032,7550842,7560107,7567708,7573532,7577452,7579361,7579144,7576782,7572276,7565612,7556792,7545857,7532979,7518390,7502324,7485005,7466633,7447292,7427008,7405838,7383817,7361021,7337608,7313756,7289653,7265464,7241362,7217463,7193873,7170697,7148015,7125823,7103687,7081080,7057469,7032322,7005138,6975560,6943250,6907930,6869308,6827437,6783577,6739279,6696096,6655567,6618842,6585532,6554807,6525812,6497654,6469528,6441240,6412730,6383980,6354965,6325661,6296075,6266213,6236103,6205755,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,58569086,58712836,58853083,58984954,59103497,59203659,59280353,59328453,59342747,59317988,59248872,59131947,58971568,58774039,58545604,58292491,58020453,57733424,57434897,57128396,56817467,56505187,56192639,55880382,55569005,55259077,54950914,54643743,54336497,54028171,53717703,53403504,53081694,52747828,52397457,52026141,51630301,51209850,50765550,50298164,49808410,49297691,48770104,48230419,47683355,47133636,46584609,46034339,45479521,44916797,44342759,43754993,43155125,42545863,41929985,41310324,40689573,40069785,39452856,38840792,38235688,37639078,37049975,36466744,35887677,35311060,34735095,34157819,33577179,32991031,32397131,31793996,31183546,30568562,29951887,29336409,28724762,28118508,27518941,26927396,26345281,25773952,25214221,24666845,24132604,23612312,23106832,22617030,22143799,21688017,21250577,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,95792722,96086895,96363094,96618523,96850343,97055675,97231561,97374950,97482704,97551549,97578111,97560364,97501912,97407814,97283125,97132882,96961697,96772476,96567728,96349988,96121792,95885014,95638755,95381441,95111496,94827320,94527547,94211581,93879040,93529549,93162728,92778039,92374275,91950048,91503992,91034725,90541250,90023875,89483268,88920063,88334881,87728577,87102966,86460033,85801803,85130244,84446911,83751777,83044377,82324234,81590857,80844291,80086848,79321469,78551117,77778789,77007216,76237701,75471237,74708817,73951475,73200683,72459417,71731097,71019178,70327204,69655336,68990100,68314491,67611351,66863384,66058078,65202857,64310091,63392188,62461623,61530718,60611352,59715379,58854957,58042451,57287550,56588460,55940488,55338775,54778473,54254573,53762061,53295842,52850754,52421582,22940000,22999800
