,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,23019194,23228859,23456927,23697769,23945643,24194728,24439139,24672964,24890265,25085113,25251586,25384806,25483987,25549372,25581224,25579815,25546650,25488101,25411729,25325059,25235563,25148823,25063000,24974435,24879521,24774680,24657342,24528750,24391067,24246407,24096832,23943961,23787812,23628038,23464338,23296454,23124021,22946060,22761425,22568921,22367327,22155708,21934407,21704072,21465340,21218821,20965008,20703966,20435638,20159949,19876800,19586138,19288183,18983239,18671637,18353735,18030026,17701445,17369073,17034048,16697565,16360794,16024658,15690010,15357721,15028666,14703800,14384345,14071593,13766840,13471391,13186473,12912988,12651818,12403896,12170214,11951461,11746935,11555573,11376297,11208007,11049509,10899268,10755638,10616927,10481416,10347349,10212943,10076387,9935838,9789430,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,45966766,46002457,46136816,46355432,46643963,46988071,47373431,47785723,48210561,48633574,49040312,49419079,49769154,50092580,50391354,50667570,50924004,51166482,51401655,51636252,51877021,52128843,52388738,52651783,52912895,53166991,53410496,53646272,53878857,54112852,54352901,54602290,54858513,55117589,55375491,55628121,55872106,56107081,56333554,56552049,56763093,56967557,57167264,57364289,57560764,57758773,57960542,58168619,58385664,58614333,58857313,59116989,59394426,59690337,60005450,60340439,60695476,61068735,61457863,61860477,62274114,62696642,63127480,63566385,64013159,64467599,64929526,65398874,65875597,66359650,66850980,67349694,67856373,68371794,68896654,69431681,69976959,70530349,71089039,71650245,72211088,72769182,73324196,73876366,74425935,74973231,75518607,76062432,76605158,77147242,77689185,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,24407563,24450716,24528618,24634769,24762708,24906065,25058306,25213028,25363794,25504240,25627987,25729955,25810259,25870275,25911535,25935331,25943444,25939181,25926069,25907662,25887530,25868126,25847678,25823417,25792557,25752337,25700884,25639491,25570240,25495273,25416580,25335725,25252361,25165671,25074937,24979348,24878228,24771311,24658215,24538708,24412470,24279349,24139979,23995291,23846138,23693333,23537836,23380795,23223431,23067004,22912755,22761750,22614569,22471448,22332826,22199111,22070577,21947289,21829205,21716293,21608549,21505936,21408097,21314630,21225104,21139024,21056126,20976355,20899827,20826694,20756974,20690661,20627292,20566256,20507015,20449010,20391911,20336383,20283253,20233429,20187822,20146987,20109767,20074771,20040447,20005249,19967598,19925973,19878716,19824258,19760923,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,19612368,19788493,19988495,20206566,20436823,20673308,20910011,21140866,21359789,21560667,21737379,21884812,22001874,22088493,22144618,22170207,22166342,22138533,22093376,22037447,21977288,21917867,21858041,21795154,21726587,21649754,21562859,21467122,21364495,21256894,21146189,21033813,20919515,20802666,20682663,20558936,20430893,20297763,20158684,20012787,19859168,19697025,19526024,19345934,19156509,18957469,18748635,18530264,18302704,18066304,17821384,17568257,17307217,17038575,16762666,16479852,16190643,15896078,15597354,15295734,14992533,14689040,14386339,14085439,13787374,13493191,13203931,12920518,12643871,12374902,12114519,11863583,11622730,11392586,11173823,10967164,10773117,10591186,10420611,10260630,10110459,9969191,9835419,9707598,9584139,9463426,9343811,9223622,9101149,8974679,8842453,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,27452818,27405316,27389890,27400091,27429441,27471550,27520049,27568647,27611108,27641279,27653064,27641819,27608407,27555046,27483973,27397350,27297427,27186728,27067746,26942968,26814774,26684667,26550785,26410460,26261101,26100207,25926001,25739472,25542270,25335944,25122013,24901844,24676704,24447860,24216680,23984558,23751714,23513228,23262805,22994097,22700666,22378481,22033384,21673708,21307840,20944190,20589565,20244023,19905932,19573643,19245467,18920182,18598498,18281629,17970880,17667580,17372713,17085759,16805776,16531866,16263122,15998872,15739161,15484221,15234256,14989560,14750291,14516368,14287655,14063977,13845178,13630940,13420643,13213580,13009062,12806448,12605450,12407281,12213523,12025813,11845807,11674663,11511446,11354638,11202693,11054053,10907079,10760135,10611572,10459694,10302756,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,80420721,80094626,79911934,79850332,79887726,80002173,80171940,80375486,80591430,80798513,80975615,81106042,81190311,81233261,81239638,81214113,81161946,81090698,81008450,80923210,80842932,80772535,80705315,80631769,80542370,80427725,80281556,80109757,79921231,79724819,79529292,79341144,79157982,78975234,78788359,78592899,78385096,78163836,77928605,77678863,77414086,77134173,76841152,76537576,76225942,75908765,75588827,75270262,74957530,74655161,74367621,74098649,73848627,73617151,73403824,73208212,73029398,72864236,72708965,72559850,72413103,72265597,72116806,71966904,71816042,71664383,71512069,71358973,71205001,71049902,70893467,70735442,70575607,70413840,70250036,70084170,69916574,69748670,69582215,69419038,69261007,69109277,68962106,68816904,68671073,68521947,68366849,68203059,68027779,67838200,67631462,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,11768136,11839496,11926430,12025542,12133403,12246565,12361553,12474877,12583045,12682555,12769906,12842244,12899286,12941391,12968931,12982278,12982248,12971378,12952638,12928984,12903352,12877937,12852035,12824230,12793125,12757334,12715915,12669616,12619605,12567019,12512980,12458360,12403059,12346753,12289139,12229927,12168809,12105347,12039066,11969471,11896060,11818444,11736740,11651193,11562040,11469502,11373802,11275169,11173835,11070021,10963947,10855808,10745760,10633946,10520529,10405670,10289549,10172317,10054141,9935204,9815698,9695904,9576341,9457598,9340271,9224973,9112237,9002297,8895303,8791405,8690740,8593365,8498993,8407267,8317847,8230392,8144819,8062006,7983089,7909225,7841596,7780964,7726387,7676473,7629808,7584944,7540427,7494768,7446471,7394021,7335880,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,6618966,6639699,6675003,6722706,6780636,6846627,6918491,6994044,7071094,7147422,7220808,7289443,7353100,7411976,7466271,7516188,7562075,7604881,7645734,7685761,7726105,7767584,7809729,7851726,7892764,7931994,7968862,8003913,8037966,8071854,8106437,8142333,8179216,8216541,8253727,8290215,8325500,8359423,8391929,8422950,8452430,8480379,8507075,8532851,8558038,8582973,8608011,8633507,8659831,8687364,8716473,8747495,8780619,8815986,8853727,8893986,8936829,8982056,9029386,9078540,9129237,9181220,9234353,9288556,9343733,9399788,9456653,9514321,9572830,9632185,9692413,9753547,9815642,9878769,9942988,10008378,10074911,10142260,10210001,10277715,10344982,10411450,10477143,10542182,10606677,10670774,10734602,10798298,10862021,10925909,10990128,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,58569086,58475413,58515819,58669586,58916129,59234910,59605448,60007273,60419912,60822872,61195633,61522787,61809385,62065617,62301660,62527701,62750904,62966552,63166927,63344345,63491138,63602485,63685069,63748471,63802352,63856426,63918989,63992433,64077611,64175380,64286616,64410982,64543368,64677388,64806675,64924784,65026416,65110919,65178834,65230709,65267126,65289447,65302252,65310930,65320881,65337554,65366067,65410079,65472964,65558097,65668867,65808221,65977090,66175902,66405058,66664975,66955352,67273057,67614221,67974894,68351068,68739236,69138141,69547116,69965465,70392515,70827870,71272234,71726620,72192039,72669538,73159927,73663065,74178597,74706064,75245015,75795022,76355908,76927578,77509928,78102838,78705920,79317667,79936358,80560263,81187662,81816885,82446236,83074095,83698802,84318769,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,95792722,95784200,95935216,96218225,96605739,97070318,97584581,98121241,98653076,99152931,99593752,99954181,100235486,100444568,100588287,100673524,100708421,100706431,100682236,100650481,100625736,100618053,100619738,100618716,100602948,100560426,100482688,100375088,100246426,100105423,99960758,99819011,99678679,99536300,99388447,99231765,99063261,98881172,98684066,98470394,98238663,97988284,97722642,97446100,97163033,96877773,96594489,96316526,96047047,95789215,95546189,95320753,95114167,94927359,94761267,94616834,94494217,94390103,94300299,94220605,94146785,94075954,94010732,93955189,93913478,93889808,93887212,93903573,93935447,93979267,94031402,94089005,94152771,94224342,94305442,94397864,94502088,94613004,94724024,94828509,94919750,94992628,95048632,95090926,95122784,95147467,95168315,95188695,95211987,95241600,95280983,22940000,22999800
