,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,16222.861492000002,17246.690534999998,17821.334094,18912.519454999998,20388.870293,22143.594756,23894.410997,25180.658223,27865.712568000003,29951.09415,31770.66262,33237.58178,34461.93539,35597.63499,36796.184779999996,38206.60103,39923.73331,41840.15536999999,43794.73966000001,45624.54863,47163.33294,48446.23175,49387.185540000006,50099.04087,50699.45831,51310.88378999999,52018.99158,52835.34079,53729.66893,54670.74239,55626.18056,56529.9688,57377.07604000001,58131.345,58756.73275,59217.77183,59506.698130000004,59679.39435,59816.84287,59998.6799,60303.908670000004,60841.84075,61540.031780000005,62352.258239999996,63230.964340000006,64126.184559999994,65034.32012999999,65911.21830000001,66764.97005,67604.16925,68437.83561,69301.84302,70173.71391,71060.43006,71968.72955,72905.07860000001,73877.80011,74871.96153,75877.42314,76884.26977,77882.72894,78956.59651,80045.11830999999,81170.74278,82355.48076,83620.72644,84994.13296,86438.94189,87928.09468,89435.46679,90935.98524,92292.41313,93617.10256,94909.68191,96168.73017,97392.04024,98597.97265000001,99747.97772,100828.88433,101827.95021000001,102732.9016,103566.61438999999,104349.59211999999,105141.58105000001,106004.71323000001,107003.65539,108227.23277999999,109726.15307,111575.09736,113853.35823000001,116645.84904,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,6827.275314500001,8388.51034613,9367.548640789997,10285.086997039996,11159.762589310008,12003.820388690001,12729.567631459995,13163.105371099999,14338.353335350006,15272.933362499994,16211.391709510002,17149.83106004,18072.886095999995,18959.654100030002,19789.882570479997,20543.638529329997,21204.92150409999,21782.157753910004,22288.635072940007,22738.63571061,23147.60046057,23606.542429029978,24046.80633421999,24471.28950699999,24883.28270419999,25286.4448491,25673.585502779995,26036.863652990003,26357.002932449992,26614.45847748,26789.56212834,26855.557740579992,26849.06968234,26800.800274130008,26741.978304080003,26703.973756440002,26714.757388899998,26769.446143150006,26859.12962176999,26974.67607570999,27106.999167819977,27270.2500243,27435.95469557,27597.222914480015,27746.981661819987,27877.911635930017,28000.637707280002,28096.473536150017,28166.37512776,28211.23364611999,28231.81713421,28240.695477120003,28230.981568160016,28209.42849252,28182.90784979,28158.41685462001,28143.96657030999,28138.958770590012,28144.40296539001,28161.008707749992,28189.216993009984,28260.37432575,28344.045777009993,28438.263569010003,28541.28476747998,28651.585616319997,28773.049631579994,28898.75147252,29027.391925189986,29157.246683879992,29286.158959039996,29375.021586229992,29462.748959579996,29551.62163781001,29644.33853475001,29744.054580570006,29860.31671246999,29983.82303732001,30112.535872840002,30244.396189770014,30377.35679911001,30517.305123140002,30659.91691015002,30809.802610379993,30971.89228028998,31151.469307469997,31360.402310079997,31598.95762834,31873.80506618001,32192.21522789,32562.15666166001,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,10925.373628499992,12276.205266179997,12967.602203619994,13754.849901360014,14623.75378067,15565.864339840005,16450.066559740008,17035.462938489993,18645.126146910017,19994.05904028,21382.42878991003,22786.51828058001,24166.09967011999,25474.471868419987,26666.881527909994,27699.574211440013,28542.89562484998,29235.553832190006,29831.937085750033,30388.524215970032,30964.34780672001,31703.978823279995,32471.08697436998,33206.00911306,33847.33199785005,34331.81721712999,34602.99470700002,34698.29196742,34666.03178573998,34557.25357857003,34425.53988725998,34301.24841225999,34231.63727376001,34238.80377543,34344.35109348999,34569.11272292998,34923.54411249003,35354.39819513996,35799.081966980004,36196.00725858997,36484.22340640998,36651.36261729,36698.39603649998,36673.325460060005,36625.28720400998,36605.15411243996,36675.132139500034,36803.04362700004,36967.69082033002,37147.11700320999,37318.73585817998,37480.29008913002,37623.72775877,37764.04467367001,37916.469400340015,38096.45509635,38318.453739599936,38575.64645135002,38861.11155553998,39167.72452599002,39488.18150916996,39861.211074350016,40248.131213720015,40651.71248940009,41074.572277340005,41519.130629339954,41992.95156909001,42479.064846500005,42966.87441570997,43445.74072056995,43904.92038924001,44283.81824201001,44660.93924897997,45066.027065910035,45529.98046560996,46084.85840855003,46765.14946583001,47544.74733480003,48400.22469429001,49307.56485000005,50242.387555839974,51195.00502535003,52145.29448765004,53089.29980410997,54023.524221809974,54944.98829580998,55862.30624223006,56763.428336569916,57647.207547489976,58513.15645348997,59361.44871098005,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,13338.163822999999,15398.846199999998,16465.777002,17492.992425,18478.259835,19419.028024,20159.935534,20427.608872,21810.264968000003,22767.584575,23674.218894,24528.706329,25337.118456999997,26100.401005,26817.211004,27484.181340000003,28095.69341,28654.262397000002,29163.654515000002,29629.439576999997,30058.821949999998,30557.771824000003,31028.831423999996,31468.551637,31873.728967000003,32241.360023,32562.538033999997,32860.547911999995,33153.632391,33461.05539,33802.85367,34171.36565,34562.288323,34943.307788,35281.721449,35544.851501,35717.499891,35826.737988,35915.75886,36027.003427999996,36202.545406,36503.00324,36881.536609,37307.37029299999,37748.866015,38172.996923,38577.926073999995,38951.882397999994,39318.081642,39700.29487,40122.780064,40620.078646,41169.712875,41760.485695999996,42380.691574,43018.081766,43663.558703,44303.780626,44930.652628,45536.181018999996,46112.34102,46706.864387,47284.105403,47858.355599,48443.879984,49054.969853,49710.52772499999,50393.80290999999,51094.084876,51800.929761,52504.18945499999,53130.57288,53757.816661000004,54400.852092,55074.884775,55795.428212,56586.84592499999,57427.13255200001,58305.013612999996,59209.174701,60128.399498,61066.71541600001,62005.00255699999,62940.836706999995,63872.337868999995,64798.238219,65730.918949,66658.40936399999,67581.65830499999,68502.445328,69423.412511,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,8191.373272759998,9659.19669689,10450.573882280001,11166.425177279998,11813.47221785,12395.12294862,12816.37463701,12909.706122760008,13681.661105959998,14161.30718267,14590.628460629998,14976.773521059997,15338.62451029,15692.714213959991,16053.246024960003,16432.693698539995,16839.229964789996,17274.09062152,17736.57440424,18227.145508610003,18747.09718281999,19356.233774480002,19972.331922139994,20566.35761317,21108.49260546,21568.099971109998,21919.77303687999,22200.136409779992,22453.582474379993,22726.24718911,23065.681669689995,23491.69157204,23988.96896448999,24513.189517400006,25019.277493240006,25461.967458780004,25811.673471929993,26081.799599380007,26301.020185070003,26497.93335082,26701.04623638,26954.126190559997,27228.00798854999,27506.73341067,27773.720673279997,28011.59898129998,28225.143050220013,28407.877419749988,28578.005796679987,28754.09711701,28955.019101759986,29203.89365917,29470.29434225999,29728.597243410004,29952.482764270007,30114.957713499993,30201.049399720003,30233.072164990004,30247.390597270012,30280.80130187001,30370.73643628,30578.842327809994,30858.97152617999,31184.11465752,31525.951252889994,31854.709224170005,32153.071385599997,32422.908297660004,32681.141782279992,32945.099491639994,33232.458800090004,33512.39421208001,33813.55602420001,34115.027353590005,34395.150097929996,34631.51127300001,34817.846048859996,34965.022811459996,35103.25471166001,35263.81911065,35478.95373526,35781.6651082,36155.7949082,36585.74131332,37055.75605417001,37550.01459809001,38060.17428285001,38563.33995167,39043.609786300025,39484.97127737001,39871.18128698002,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,16240.678586330005,19186.28009716,20964.467319960004,22762.84887361,24599.232676080006,26487.63813976,28225.007145900006,29410.325822329985,32348.165689740006,34839.637657039995,37418.984902760014,40063.605731470016,42733.69379208999,45381.59493234001,47964.00547986,50441.41473778,52779.64426239001,54975.72484862001,57029.80897815,58942.59700989002,60715.660237920005,62551.42129501001,64241.92756517001,65766.25502967,67103.61944479,68233.27707981002,69126.62927638002,69843.59834617002,70439.18982477003,70971.44753584007,71501.09436569003,72031.82865422996,72576.76281652003,73090.58164663997,73527.46283550994,73841.66260596999,74012.62389077997,74063.76683595998,74040.90826463005,73988.02159042997,73947.42365310004,74013.68038994995,74127.37621309001,74280.21604273998,74464.77072710001,74674.03271236,74944.30165711003,75211.81918649004,75459.45301974002,75669.34573532996,75822.91112979999,75938.90458622995,76007.46136142002,76061.48984505997,76134.50469095998,76260.61911291003,76470.53350865,76746.15617212001,77067.26679869003,77412.75189907999,77760.56948449,78181.24472948002,78604.43895820998,79045.67347835,79521.47435935999,80049.35207033002,80656.10896767997,81314.34910738004,82006.47862106997,82714.10873110997,83418.15486894999,83992.15934053,84522.87330198,84989.43053444005,85370.49204083,85644.59195901999,85825.63686858003,85945.70358537004,86078.31132401997,86299.31993612998,86686.71650548001,87317.24278749998,88135.55974117,89084.27884435997,90105.10133345996,91138.96481362,92144.27955019004,93043.34544596003,93774.52948687994,94274.75573801993,94478.89682855002,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,8321.3842399,10257.602931299998,11381.9864138,12345.6466201,13181.773801899999,13914.018955399999,14452.7090048,14623.283014699999,15583.258268,16250.796666,16916.285902,17598.671215,18312.925292,19067.851607999997,19871.053411,20729.949578,21643.177662000002,22580.116116999998,23501.118705999997,24366.310951,25135.253037000002,25862.47781,26483.854668,27026.645862999998,27519.471658000002,27992.288986,28461.407124,28932.877626,29397.883945999994,29847.493533,30272.631621,30648.162076,30989.330041,31296.379705,31569.696011,31809.802924,32023.149383,32215.870609999998,32399.321876,32584.667821,32783.033201,33029.875011000004,33293.883046,33565.970404,33836.712429,34096.179564,34359.032061,34615.440955,34882.722189,35178.494884,35520.668766999996,35934.070277,36384.598862,36845.755086,37290.244799,37689.982907,38028.391636,38321.254624,38598.352194,38890.007026,39227.237817,39677.198725,40187.341229,40734.480511,41293.857430000004,41839.050428999995,42356.459702,42842.751188,43310.62681,43773.413644,44244.938906999996,44679.754845,45133.681151,45602.696099,46082.56839500001,46568.833796000006,47068.430437,47567.333344,48065.281266000005,48562.271134,49058.593693,49565.87654700001,50072.16161,50577.978516,51084.282243,51592.501761,52114.875226,52644.24140499999,53183.768620999996,53737.301837000006,54309.411657000004,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,1707.2238692199999,2087.26430624,2295.326044,2465.91038985,2606.73978141,2723.71415849,2800.9332844200003,2807.2241347000004,2966.3202001299996,3072.24922987,3183.163457070001,3303.9810965200004,3434.108650790001,3570.51647932,3709.9393384199993,3849.05090494,3984.9403959800006,4117.86857334,4248.691999470001,4378.443596360001,4508.311472849999,4654.690361430001,4804.46489826,4958.700688790001,5118.56016434,5285.30297821,5457.272954089998,5630.02526665,5795.89404738,5946.936039,6074.98618601,6171.092935070001,6244.719754,6305.120525989999,6361.719406399999,6423.992904909999,6499.870620360001,6586.517151239998,6679.59938342,6774.949446860002,6868.589708539999,6963.338685780001,7054.18372765,7142.16744133,7228.210394210001,7313.117992070002,7402.102696570001,7491.56100631,7582.775692510001,7677.074079809999,7775.828546319999,7882.787804720001,7992.3136706,8101.3498175,8206.7242494,8305.150516950001,8394.868994560002,8477.006172379999,8554.66549821,8631.01361322,8709.28437455,8801.7819151,8898.90004524,8998.844991130001,9099.65887865,9199.22359615,9297.84332702,9395.84784224,9496.47794443,9603.09055416,9719.176302909997,9834.748679830001,9960.08105379,10091.738019409999,10226.106615059998,10359.3707758,10490.87689755,10618.317963409996,10743.272970019998,10867.447226389997,10992.67152755,11122.778268930004,11253.947251820002,11384.520388710003,11512.892733240002,11637.52221628,11759.256971519997,11874.50851099,11981.94307202,12080.286121689998,12168.306219410002,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,11543.150063729996,14209.948175360001,15739.30353365,17042.036981770005,18171.43381994,19167.84149825,19915.909665720003,20182.594086579997,21574.4588773,22608.39132249,23693.737784740002,24851.92150657,26051.138148840004,27240.347933639994,28368.422244499998,29384.39657770001,30251.6216701,31003.994012200004,31691.819953500002,32367.692062599996,33086.76590440001,34002.72542619999,34997.47008270001,36042.587717599985,37109.040141900005,38167.14034969999,39181.97937419999,40167.08593879999,41131.984445500006,42086.45262480001,43040.381124399995,43974.093555299994,44898.590158300016,45796.6297673,46650.8189623,47443.825588900014,48167.800953,48817.1593544,49395.820930400005,49908.38629200002,50359.81693850001,50797.4375519,51185.86735109999,51528.444584599994,51828.12339739999,52087.66776290002,52342.47322759999,52568.3236256,52776.5895013,52978.699916599995,53186.081621499994,53427.807513600004,53676.447976799995,53924.771913000004,54165.2291648,54389.954473900005,54598.47474900001,54797.34076589998,55002.624572700006,55230.36925,55496.707475,55874.32622730001,56293.313141499995,56733.2238344,57172.70688419999,57589.54450390001,57980.26294099999,58355.20181540002,58746.157415300004,59185.336675200015,59705.50379229999,60253.245447599984,60885.61771570001,61571.821838800024,62279.923312399995,62976.600699500006,63651.48233249999,64299.860656599994,64944.93995899998,65611.0148144,66323.42576469999,67116.47352909998,67964.8309767,68852.6744313,69764.34446169999,70684.43856759995,71612.01202470002,72519.10660050003,73391.35856670002,74214.6936842,74975.21424400002,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,37017.879937,45181.605749199996,49115.15226290001,51932.562276399985,53971.73497870002,55529.71681559999,56472.2649313,56376.53187789998,59934.58748730002,63229.7027638,67646.36399770001,73400.11858629998,80273.50478590002,87930.41681949998,96051.0910723,104339.62988569998,112544.76752089999,120552.51839350004,128265.02361890003,135577.02884420002,142377.17381089999,149075.13212020003,155312.40194449996,161215.33947070004,166917.20071150002,172558.1507706,178181.82054609995,183724.04231499997,189013.392215,193872.16295199996,198117.69130900005,201505.80134200002,204243.53486100005,206491.69984400005,208415.66636899996,210183.31783799996,211937.18111599996,213560.91492299997,214910.7674160001,215843.66570800002,216214.69708399998,216113.47199100003,215512.62768499998,214618.16717400003,213644.06824599992,212814.65658100002,212431.21053100005,212292.337329,212272.04312700004,212239.274503,212058.48004299996,211702.93105400004,211091.65907299996,210269.55530200005,209282.50588199997,208177.56418800008,207023.29109500005,205879.883185,204833.42756499993,203968.13440300003,203367.245887,203306.23608100004,203487.81254,203786.62297800006,204075.35997899994,204224.84738699993,204197.079169,204097.23332400003,204129.24229700002,204497.10009000002,205406.17105699994,206730.05536999993,208573.79075300007,210700.05898000012,212863.858948,214810.85244400005,216390.7177179999,217591.21113099993,218527.02926700003,219318.03860100012,220088.64917799993,220994.95010900003,222002.48401600003,223111.295938,224322.81287100006,225640.1006439999,227112.94961100005,228705.98830000006,230428.90085200005,232294.08622399994,234316.92214600008,22940000,22999800
