,0
0,上海市
1,23019194
2,23283892
3,23535935
4,23775126
5,24001409
6,24214867
7,24415687
8,24604160
9,24780654
10,24945614
11,25099542
12,25243065
13,25377073
14,25502502
15,25620275
16,25731300
17,25836357
18,25935776
19,26029771
20,26118561
21,26202373
22,26281385
23,26355601
24,26424989
25,26489501
26,26549106
27,26603658
28,26652636
29,26695424
30,26731392
31,26759907
32,26780540
33,26793685
34,26799949
35,26799929
36,26794225
37,26783294
38,26767015
39,26745139
40,26717432
41,26683672
42,26643725
43,26597770
44,26546059
45,26488861
46,26426449
47,26359045
48,26286647
49,26209186
50,26126590
51,26038785
52,25945756
53,25847794
54,25745239
55,25638415
56,25527626
57,25413277
58,25296249
59,25177558
60,25058211
61,24939220
62,24821250
63,24703556
64,24585033
65,24464570
66,24341049
67,24213259
68,24079654
69,23938603
70,23788486
71,23627670
72,23455596
73,23276030
74,23093848
75,22913996
76,22741480
77,22580859
78,22434691
79,22305042
80,22193991
81,22103623
82,22035233
83,21986952
84,21956068
85,21939807
86,21935364
87,21939866
88,21950415
89,21964074
90,21977877
91,21988837
92,云南省
93,45966766
94,46160710
95,46358943
96,46559526
97,46760421
98,46959512
99,47154649
100,47343655
101,47524361
102,47694639
103,47852391
104,47995805
105,48124184
106,48237135
107,48334187
108,48414916
109,48479246
110,48528556
111,48564623
112,48589212
113,48604067
114,48610733
115,48609858
116,48601834
117,48587052
118,48565920
119,48538579
120,48504112
121,48461320
122,48409016
123,48345989
124,48271073
125,48183194
126,48081286
127,47964311
128,47831202
129,47681220
130,47514902
131,47333120
132,47136748
133,46926631
134,46703792
135,46469666
136,46225789
137,45973723
138,45715025
139,45451131
140,45183016
141,44911483
142,44637381
143,44361535
144,44084948
145,43809290
146,43536402
147,43268174
148,43006457
149,42752448
150,42504850
151,42261575
152,42020574
153,41779694
154,41537085
155,41292177
156,41044831
157,40794804
158,40541940
159,40286092
160,40027102
161,39764911
162,39499463
163,39230790
164,38959557
165,38688872
166,38422402
167,38163819
168,37916774
169,37683821
170,37463098
171,37251553
172,37045945
173,36842912
174,36639578
175,36435150
176,36229459
177,36022401
178,35813926
179,35603998
180,35392629
181,35179945
182,34966026
183,34751013
184,内蒙古自治区
185,24407563
186,24533904
187,24647279
188,24747951
189,24836199
190,24912285
191,24976586
192,25029367
193,25070934
194,25101595
195,25121585
196,25131180
197,25130556
198,25120057
199,25099724
200,25069975
201,25030975
202,24983464
203,24928242
204,24865981
205,24797434
206,24723268
207,24643528
208,24558320
209,24467534
210,24371120
211,24269062
212,24160859
213,24045978
214,23923913
215,23794193
216,23656346
217,23510563
218,23357150
219,23196400
220,23028565
221,22853941
222,22672758
223,22485271
224,22291654
225,22092080
226,21886718
227,21675734
228,21459145
229,21237136
230,21009754
231,20777169
232,20540073
233,20299349
234,20055786
235,19810263
236,19563513
237,19316553
238,19070209
239,18825455
240,18583317
241,18344557
242,18109426
243,17877915
244,17650051
245,17425934
246,17205561
247,16988623
248,16774721
249,16563423
250,16354326
251,16146981
252,15940586
253,15734323
254,15527354
255,15318731
256,15107974
257,14896193
258,14684950
259,14475871
260,14270547
261,14070642
262,13877391
263,13691952
264,13515513
265,13349326
266,13194131
267,13048587
268,12910758
269,12778781
270,12650639
271,12524373
272,12397974
273,12269379
274,12136458
275,11997175
276,北京市
277,19612368
278,19836611
279,20056354
280,20270491
281,20478000
282,20677961
283,20869525
284,21051953
285,21224569
286,21386797
287,21538118
288,21678254
289,21807618
290,21926793
291,22036331
292,22136772
293,22228689
294,22312855
295,22390087
296,22461206
297,22527028
298,22588260
299,22645135
300,22697773
301,22746291
302,22790801
303,22831358
304,22867734
305,22899653
306,22926815
307,22948922
308,22965718
309,22977085
310,22982946
311,22983231
312,22977856
313,22966834
314,22950568
315,22929565
316,22904350
317,22875456
318,22842994
319,22805325
320,22760367
321,22706038
322,22640255
323,22562342
324,22477321
325,22391687
326,22311969
327,22244779
328,22191773
329,22134454
330,22049008
331,21911259
332,21696611
333,21391092
334,21024860
335,20639697
336,20278069
337,19983184
338,19787053
339,19674369
340,19617567
341,19588629
342,19559088
343,19505693
344,19427523
345,19329374
346,19216136
347,19092800
348,18963889
349,18831629
350,18697653
351,18563586
352,18431044
353,18301848
354,18178778
355,18064887
356,17963291
357,17877146
358,17808777
359,17757041
360,17719886
361,17695220
362,17680911
363,17674785
364,17674646
365,17678267
366,17683398
367,17687775
368,吉林省
369,27452818
370,27504078
371,27532856
372,27540732
373,27529334
374,27500285
375,27455181
376,27395501
377,27322692
378,27238067
379,27142860
380,27038028
381,26923815
382,26800336
383,26667716
384,26526088
385,26375674
386,26216953
387,26050442
388,25876694
389,25696207
390,25509446
391,25316456
392,25117222
393,24911722
394,24699933
395,24481781
396,24256899
397,24024882
398,23785333
399,23537844
400,23282227
401,23018883
402,22748398
403,22471390
404,22188442
405,21900028
406,21606147
407,21306583
408,21001171
409,20689665
410,20371995
411,20048698
412,19720483
413,19388033
414,19051993
415,18712900
416,18370631
417,18024973
418,17675672
419,17322472
420,16965469
421,16606344
422,16247231
423,15890297
424,15537773
425,15191457
426,14851290
427,14516705
428,14187205
429,13862288
430,13541565
431,13224899
432,12912272
433,12603593
434,12298805
435,11997712
436,11699722
437,11404101
438,11110028
439,10816611
440,10523013
441,10228788
442,9933637
443,9637362
444,9339756
445,9041400
446,8745727
447,8456985
448,8179608
449,7918114
450,7676004
451,7452021
452,7243669
453,7048390
454,6863504
455,6686312
456,6514043
457,6343849
458,6172828
459,5998052
460,四川省
461,80420721
462,80391157
463,80336182
464,80257226
465,80155463
466,80031785
467,79886775
468,79720749
469,79533741
470,79325452
471,79095362
472,78842647
473,78566127
474,78264610
475,77936965
476,77582171
477,77199957
478,76793300
479,76366026
480,75921865
481,75464623
482,74997209
483,74519232
484,74029464
485,73526654
486,73009584
487,72477287
488,71930023
489,71368328
490,70792751
491,70203896
492,69602050
493,68986504
494,68356182
495,67710070
496,67047156
497,66366633
498,65668604
499,64953346
500,64221061
501,63471920
502,62706378
503,61925981
504,61132599
505,60328023
506,59514047
507,58692557
508,57866076
509,57037315
510,56208962
511,55383724
512,54564135
513,53752037
514,52949095
515,52157074
516,51377827
517,50612233
518,49856972
519,49107743
520,48360186
521,47609911
522,46853791
523,46093771
524,45333092
525,44575017
526,43822867
527,43078890
528,42341184
529,41606561
530,40871754
531,40133259
532,39388408
533,38638097
534,37884238
535,37128848
536,36374113
537,35622493
538,34877385
539,34142479
540,33421631
541,32718832
542,32037031
543,31374357
544,30727712
545,30093859
546,29469620
547,28851645
548,28236601
549,27621073
550,27001581
551,26374601
552,天津市
553,11768136
554,11874334
555,11976227
556,12073419
557,12165557
558,12252330
559,12333458
560,12408702
561,12477843
562,12540695
563,12597093
564,12646959
565,12690531
566,12728112
567,12760002
568,12786493
569,12807897
570,12824640
571,12837157
572,12845894
573,12851293
574,12853739
575,12853397
576,12850373
577,12844774
578,12836708
579,12826221
580,12813148
581,12797269
582,12778355
583,12756184
584,12730602
585,12701730
586,12669763
587,12634899
588,12597333
589,12557207
590,12514472
591,12469029
592,12420781
593,12369634
594,12315518
595,12258450
596,12198470
597,12135620
598,12069938
599,12001485
600,11930396
601,11856822
602,11780917
603,11702831
604,11622735
605,11540919
606,11457701
607,11373399
608,11288330
609,11202748
610,11116700
611,11030175
612,10943152
613,10855620
614,10767613
615,10679357
616,10591143
617,10503264
618,10416021
619,10329476
620,10242734
621,10154639
622,10064020
623,9969695
624,9870770
625,9767605
626,9660874
627,9551244
628,9439385
629,9326376
630,9214954
631,9108328
632,9009791
633,8922715
634,8849648
635,8789610
636,8740686
637,8700921
638,8668309
639,8640801
640,8616314
641,8592729
642,8567899
643,8539650
644,宁夏回族自治区
645,6618966
646,6662660
647,6707473
648,6752990
649,6798800
650,6844481
651,6889617
652,6933812
653,6976668
654,7017809
655,7056868
656,7093553
657,7127711
658,7159251
659,7188063
660,7214035
661,7237144
662,7257622
663,7275779
664,7291933
665,7306395
666,7319432
667,7331080
668,7341346
669,7350226
670,7357710
671,7363786
672,7368384
673,7371415
674,7372791
675,7372432
676,7370237
677,7366073
678,7359820
679,7351324
680,7340457
681,7327109
682,7311307
683,7293105
684,7272573
685,7249760
686,7224781
687,7197875
688,7169315
689,7139398
690,7108403
691,7076586
692,7044103
693,7011078
694,6977638
695,6943911
696,6910039
697,6876226
698,6842689
699,6809654
700,6777330
701,6745872
702,6715128
703,6684887
704,6654907
705,6624977
706,6594863
707,6564410
708,6533498
709,6502001
710,6469793
711,6436761
712,6402954
713,6368415
714,6333222
715,6297463
716,6261310
717,6225269
718,6189905
719,6155788
720,6123480
721,6093356
722,6065063
723,6038056
724,6011763
725,5985571
726,5958976
727,5931906
728,5904425
729,5876600
730,5848508
731,5820233
732,5791882
733,5763554
734,5735366
735,5707441
736,安徽省
737,58569086
738,58710368
739,58846927
740,58976383
741,59096183
742,59203658
743,59296017
744,59370404
745,59423890
746,59453489
747,59456116
748,59429293
749,59372903
750,59287447
751,59173439
752,59031422
753,58862733
754,58671972
755,58464536
756,58245801
757,58021181
758,57795198
759,57568982
760,57342826
761,57117039
762,56891912
763,56667457
764,56442606
765,56216010
766,55986310
767,55752188
768,55511815
769,55261498
770,54997070
771,54714348
772,54409157
773,54078250
774,53722163
775,53342356
776,52940280
777,52517357
778,52075467
779,51618250
780,51149777
781,50674148
782,50195420
783,49716988
784,49239401
785,48762510
786,48286165
787,47810203
788,47334876
789,46862150
790,46394454
791,45934247
792,45484037
793,45045581
794,44617475
795,44197526
796,43783481
797,43373073
798,42964401
799,42557109
800,42151245
801,41746850
802,41343962
803,40942589
804,40542470
805,40143288
806,39744725
807,39346483
808,38948431
809,38551185
810,38155481
811,37762034
812,37371511
813,36984527
814,36601610
815,36223238
816,35849908
817,35482094
818,35120152
819,34763935
820,34413165
821,34067617
822,33727100
823,33391440
824,33060505
825,32734152
826,32412297
827,32094836
828,山东省
829,95792722
830,96110419
831,96396082
832,96649221
833,96869287
834,97055674
835,97207650
836,97324411
837,97405025
838,97448445
839,97453470
840,97419296
841,97346891
842,97237690
843,97093181
844,96914844
845,96704618
846,96466068
847,96203175
848,95919910
849,95620270
850,95307405
851,94981150
852,94640521
853,94284545
854,93912257
855,93522653
856,93114683
857,92687344
858,92239585
859,91770395
860,91278879
861,90764579
862,90227148
863,89666265
864,89081586
865,88472968
866,87841024
867,87186516
868,86510194
869,85812792
870,85095337
871,84360311
872,83610485
873,82848650
874,82077561
875,81299719
876,80516552
877,79729240
878,78938938
879,78146821
880,77354412
881,76564746
882,75781278
883,75007520
884,74247056
885,73502172
886,72769769
887,72045349
888,71324363
889,70602218
890,69875870
891,69148806
892,68426160
893,67713211
894,67015299
895,66335700
896,65669077
897,65007856
898,64344319
899,63670640
900,62981318
901,62280721
902,61575725
903,60873324
904,60180601
905,59503603
906,58843776
907,58201400
908,57576735
909,56970004
910,56381323
911,55810519
912,55257339
913,54721583
914,54203117
915,53701794
916,53217550
917,52750288
918,52299981
919,51866593
920,山西省
921,35275759
922,35393999
923,35512530
924,35630084
925,35745309
926,35856786
927,35963015
928,36062542
929,36153807
930,36235309
931,36305491
932,36362906
933,36406367
934,36434748
935,36446939
936,36441843
937,36418789
938,36378918
939,36323815
940,36255056
941,36174221
942,36082747
943,35981456
944,35871043
945,35752192
946,35625595
947,35491755
948,35350500
949,35201471
950,35044325
951,34878716
952,34704366
953,34521221
954,34329303
955,34128604
956,33919157
957,33700994
958,33474240
959,33239036
960,32995512
961,32743803
962,32484050
963,32216571
964,31941698
965,31659770
966,31371102
967,31076178
968,30776138
969,30472316
970,30166035
971,29858610
972,29551270
973,29244701
974,28939462
975,28636171
976,28335409
977,28037603
978,27742303
979,27448893
980,27156722
981,26865179
982,26573571
983,26281107
984,25986936
985,25690187
986,25390000
987,25085602
988,24776727
989,24463187
990,24144803
991,23821319
992,23492961
993,23161754
994,22830265
995,22501108
996,22176951
997,21860197
998,21551831
999,21252481
1000,20962809
1001,20683498
1002,20414814
1003,20155384
1004,19903425
1005,19657089
1006,19414542
1007,19173894
1008,18933264
1009,18690710
1010,18444302
1011,18192081
1012,广东省
1013,104320457
1014,105455754
1015,106616033
1016,107792081
1017,108974789
1018,110155378
1019,111325429
1020,112476944
1021,113602466
1022,114695019
1023,115748198
1024,116756861
1025,117719256
1026,118634275
1027,119500761
1028,120317418
1029,121083852
1030,121803552
1031,122481001
1032,123120644
1033,123726994
1034,124304089
1035,124854230
1036,125379271
1037,125881077
1038,126361485
1039,126821721
1040,127260558
1041,127676187
1042,128066683
1043,128430169
1044,128764863
1045,129069845
1046,129344391
1047,129587734
1048,129799106
1049,129977783
1050,130123222
1051,130235063
1052,130313023
1053,130356908
1054,130366760
1055,130343283
1056,130287337
1057,130199860
1058,130081834
1059,129934229
1060,129757630
1061,129552564
1062,129319507
1063,129058945
1064,128771593
1065,128459339
1066,128124205
1067,127768124
1068,127392910
1069,127000259
1070,126591802
1071,126169132
1072,125733769
1073,125287133
1074,124830077
1075,124361205
1076,123878650
1077,123380544
1078,122865063
1079,122329899
1080,121770774
1081,121182974
1082,120561943
1083,119903229
1084,119205545
1085,118479863
1086,117740143
1087,117000310
1088,116274263
1089,115574777
1090,114910316
1091,114288252
1092,113715955
1093,113200803
1094,112747149
1095,112347403
1096,111990839
1097,111666596
1098,111363736
1099,111071113
1100,110777594
1101,110471911
1102,110142751
1103,109778775
1104,广西壮族自治区
1105,46023759
1106,46301744
1107,46584807
1108,46870401
1109,47155903
1110,47438694
1111,47716150
1112,47985717
1113,48244874
1114,48491221
1115,48722399
1116,48936658
1117,49134230
1118,49315835
1119,49482180
1120,49633945
1121,49772247
1122,49900045
1123,50020752
1124,50137783
1125,50254537
1126,50373742
1127,50495301
1128,50618408
1129,50742249
1130,50866018
1131,50988794
1132,51109136
1133,51225494
1134,51336263
1135,51439873
1136,51534903
1137,51620658
1138,51696648
1139,51762367
1140,51817297
1141,51861135
1142,51894456
1143,51918077
1144,51932895
1145,51939801
1146,51939768
1147,51934057
1148,51923947
1149,51910811
1150,51896002
1151,51880713
1152,51865131
1153,51849244
1154,51833010
1155,51816428
1156,51799752
1157,51784278
1158,51771544
1159,51763041
1160,51760216
1161,51764260
1162,51775366
1163,51793439
1164,51818336
1165,51849832
1166,51887405
1167,51929629
1168,51974814
1169,52021349
1170,52067573
1171,52112082
1172,52154293
1173,52193993
1174,52231137
1175,52265952
1176,52299281
1177,52333973
1178,52373177
1179,52419825
1180,52476627
1181,52545405
1182,52625340
1183,52714801
1184,52811924
1185,52914686
1186,53021051
1187,53129719
1188,53239663
1189,53349909
1190,53459572
1191,53567778
1192,53673785
1193,53776854
1194,53876354
1195,53971714
1196,新疆维吾尔自治区
1197,21826722
1198,22052200
