,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,16222.861492000002,17644.511964,18340.939348,19348.155297,20590.178253,22010.765726999998,23198.337539,24383.813436999997,26815.234475,28724.931294,30554.25292,32253.509140000002,33894.68179,35567.41288,37360.154969999996,39360.79601,41615.19385,44013.10787,46401.006590000005,48622.874130000004,50519.75503,52116.3296,53355.504,54360.79071,55260.27043,56185.44022,57251.17845000001,58461.693,59801.31174999999,61254.12435,62804.99994,64414.75082,66066.20823,67717.13059999999,69323.57772,70839.70887,72249.33984,73559.81919,74809.86419,76039.22499,77288.55248,78665.4384,80087.08413999999,81531.51815,82975.76255,84395.71999,85818.05589,87188.87569,88505.80991,89766.88755,90970.40837,92155.03142,93312.51598,94475.76174,95678.05411,96952.97893,98324.57821,99760.94548,101221.71787,102666.49281,104054.67892,105471.98665,106806.96234,108063.81118,109246.26322000001,110358.14624999999,111424.72172,112466.20780999999,113524.57689999999,114641.9289,115860.69612000001,117028.25646,118301.72519,119646.62117,121027.19532999999,122406.06138,123793.98484,125178.86856999999,126600.63272,128100.14566999998,129719.14398,131508.15329,133426.33619,135441.86559,137522.39358,139635.08613,141747.36663,143825.38068,145835.31351,147743.2367,149515.24709,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,6827.275314500001,8273.673802749998,9199.440137040003,10112.671349639995,11022.344762779998,11931.815106800006,12643.809195310007,13308.291092719997,14631.863288100005,15674.698270440007,16703.87505576,17705.424887969995,18678.088703829995,19617.128205650006,20517.981122870013,21375.8324883,22184.41210137,22942.993835279995,23651.083641959987,24308.983784150005,24917.847669660005,25549.01521737001,26147.25556982001,26723.920097710004,27291.046902430007,27861.18433648,28444.11358485,29019.097921890017,29561.773248990015,30047.29224568001,30450.108358200025,30743.131876790005,30956.38577691001,31121.10774974999,31270.413714800008,31439.35209517001,31664.725537100014,31939.983274779996,32257.766614549993,32610.162056330006,32988.965984909984,33415.69475870999,33837.63615929999,34229.87916539999,34566.995832429966,34823.14121965002,35001.407727840015,35103.76012958999,35161.80329664996,35207.34800962001,35272.321676579995,35395.427278719995,35561.90585671,35764.20697377002,35994.75870717,36245.88459386,36509.41478808002,36769.11285074998,37008.48184595002,37210.52812794998,37357.598318769975,37481.06308514999,37560.740921660006,37624.76463661999,37702.96654785001,37826.83611284002,38024.13445249,38272.27505556996,38542.69629516001,38805.82872062999,39031.102398239986,39133.25808859,39179.66272842004,39185.75685951003,39168.02211093999,39144.262535730006,39137.48818971002,39116.250341399995,39052.87874354,38918.912102400005,38685.11909935999,38338.062075090005,37894.29043153999,37388.34575892999,36855.54612307,36331.984994920014,35854.68018647999,35461.10781947002,35189.46376926999,35078.51219027999,35167.49718269,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,10925.373628499992,12155.02991877,12793.07818732,13574.608642610014,14473.535277849996,15472.492027959988,16302.987888670008,17147.843263860006,18906.69752954,20359.40691602,21838.85808783002,23311.320068100023,24750.265375709994,26123.428270810025,27399.975464159998,28549.42674679001,29551.60204026999,30443.03392003002,31273.322615559984,32094.100134440025,32959.20949436001,33994.07474643002,35066.60161612,36107.81923541999,37047.80368338001,37816.354481689974,38368.608038010025,38734.977633719966,38969.99800977996,39126.74077568,39256.75646985997,39390.44091319001,39554.03530511001,39756.21432957998,40007.78417343002,40321.11861949001,40712.49585436004,41152.80125457995,41614.47779205005,42069.21669447,42488.15756277006,42893.00607056996,43261.18814630004,43620.09011782004,43997.944989659976,44423.74729034,44945.74902691996,45536.53116033996,46187.03285155995,46888.02259446996,47630.27560541001,48423.73169673003,49245.41775130003,50091.28226517997,50956.83419336001,51837.086680090004,52727.715256459975,53619.67053049991,54506.12290868996,55380.627448370025,56237.05065328,57135.748870210016,58021.17387824001,58897.57371620006,59768.534044159984,60637.073032409964,61516.96300743999,62417.89103070002,63361.83951108996,64371.81958911005,65472.20038937996,66574.75333928,67754.55460776004,68974.85952511006,70196.64445871994,71378.38250159002,72506.79423752992,73560.2852705301,74549.11805788003,75484.35560659,76377.67064399013,77256.93014011996,78140.90253211996,79065.69765654998,80068.11069339002,81185.60994362002,82456.70387625002,83919.95609086007,85614.63397916002,87580.48230623016,89857.65485466999,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,13338.163822999999,15808.31826,17113.016395000002,18256.937777000003,19267.434089,20163.184148,20639.127874,20986.918411999995,22317.5761,23178.591059,24033.029401000003,24897.981745999998,25776.666306,26654.359282,27513.042424,28332.212431000004,29091.332075,29790.029733000003,30432.331809999996,31024.119204000002,31573.025652,32171.615346000002,32736.442564000004,33264.798245,33754.652846,34204.605773,34622.354977,35027.482939,35446.989452999995,35906.923961,36432.966063,37027.726490999994,37671.693857,38322.572146000006,38937.512642,39472.915767,39907.79814100001,40257.520702,40560.546523000005,40855.525279,41181.191961,41608.465622,42095.36878599999,42630.186445,43201.014696,43795.573547,44426.473005,45058.520657999994,45681.542623999994,46285.313147,46859.541824,47417.82336799999,47962.79320199999,48521.829843,49122.768712,49793.81627200001,50555.185757,51385.457161,52255.58738700001,53136.551961,53999.321794,54885.149021,55751.053426,56618.64966999999,57509.432917,58444.704899000004,59447.115176,60498.91930899999,61584.893338,62690.75627699999,63803.252563999995,64811.552154,65815.592053,66819.95111299999,67828.315865,68843.547681,69889.757187,70954.091608,72046.75220399999,73178.45037199999,74360.419859,75613.11732299998,76921.15969100001,78278.579365,79679.302192,81117.163422,82586.329501,84080.38886900002,85593.092706,87118.239103,88649.724058,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,8191.373272759998,9788.539029589994,10610.472442980003,11289.748970980001,11853.261436019997,12320.770428149997,12515.59495311,12626.89433995,13328.763809539998,13757.889776339996,14205.215703309996,14691.437129620004,15219.339876689997,15778.105978739999,16354.8328116,16935.450420089997,17508.0747567,18079.85471265,18662.272438480006,19267.871921109996,19910.07692679,20649.819193710005,21410.100644359994,22156.271316710005,22853.15935155,23465.410329270017,23975.024008399992,24417.640588320002,24846.02885696001,25312.84703571,25871.125066389995,26549.618607500004,27326.48930320999,28154.27228541002,28983.91973350001,29764.439084760004,30462.649123310002,31080.31179934001,31639.03467012999,32161.117307399996,32669.34859113001,33213.84043962,33760.37221069001,34299.520620079995,34821.50836757999,35316.20891821001,35795.806791139985,36242.75974215,36662.1240607,37059.08593143002,37438.90022235,37821.94028983999,38203.59063737999,38594.832011160004,39006.835376129995,39450.91269589001,39934.891896029985,40445.35397911999,40965.723206470015,41479.29464150999,41969.17519674001,42470.71566243998,42945.792880099994,43404.92388364001,43858.85963207997,44318.66423026,44800.890457420006,45307.2810035,45845.01187023001,46421.40364004,47044.134274259995,47642.84654836001,48277.522748850024,48931.336783039995,49586.56452327002,50224.48974047001,50843.96977869,51426.42692408001,51972.48704588,52483.02286463,52959.068280099986,53410.334180870006,53830.807018859996,54223.90302401999,54593.187203850015,54942.3932164,55275.70778914001,55597.14898131999,55911.06115703999,56222.017539000015,56534.83121221,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,16240.678586330005,18622.197415680017,20181.803177219997,22014.4239415,24075.98943394,26328.75123425,28291.955332219997,30245.749768409998,33772.49927142,36691.960543149995,39556.966287079995,42293.86478928998,44925.925874120025,47488.174813149984,50018.01737945999,52553.84288163,55116.71922721,57678.54304057,60194.84069145001,62621.2677628,64913.492381940014,67210.08997557001,69319.41242751003,71220.61316792002,72894.19891573,74322.35454798998,75513.91339063,76529.24664992999,77452.02981485002,78364.06851293998,79345.96099116995,80426.31243568996,81580.61068868,82734.17717596002,83812.17488632,84739.21632249997,85480.10195380005,86040.93196719,86467.43884007998,86804.97539933995,87098.18422022006,87468.54628245997,87839.93133592997,88211.96420684001,88585.27888091002,88961.37134471005,89392.68738286004,89832.19895092,90282.93980437002,90747.24408588001,91226.83900212996,91752.46131949004,92265.12913846,92736.24617287998,93136.94019815003,93438.16676430998,93626.19207871,93731.87520043997,93802.31669223003,93884.03317481998,94023.10563497998,94367.03665308002,94838.69764317002,95457.54812121998,96244.66518350001,97221.75757813998,98412.30329485997,99768.92453488994,101245.78285304004,102797.04954376,104377.45394162,105774.60989419003,107092.53668237,108270.67279400998,109245.56581466997,109951.68480519,110383.32114349001,110579.99705789,110645.97442949997,110687.41693666001,110811.71995793996,111120.66902562999,111585.65447734004,112172.88854194994,112848.14465782001,113576.76769072002,114324.26101784,115055.02773794999,115733.44411515,116323.72999203007,116790.06113664998,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,8321.3842399,9955.615722,10961.1975519,11943.220857,12901.558057499999,13830.5552891,14495.0733449,15065.013170400001,16324.607376000002,17201.470576,17993.299541,18693.632686,19353.576923,20028.903501,20772.779336,21636.521998999997,22649.567834,23764.68113,24913.985654,26029.080422,27040.558976,27970.219490000003,28765.951364,29463.823149,30101.497273,30717.903805,31349.939686,32003.221702000003,32679.998143,33382.314779,34112.366773,34858.427639,35618.398574,36376.365092,37116.016976,37820.518358999994,38487.034713,39116.586198,39724.508375,40326.470778999996,40938.458612,41611.445373999995,42294.358047,42968.022727999996,43612.664892,44207.92922299999,44765.489675000004,45276.713805,45765.72761,46257.043107,46775.520256,47358.65349900001,47986.226027,48650.403867999994,49343.001716,50055.401201,50777.74840900001,51487.871955,52163.42047699999,52781.878593,53320.307566,53827.50914400001,54282.443647,54733.070743000004,55229.13186,55821.945748,56555.574235,57396.353965,58302.023541,59230.250589,60138.83819,60899.943692,61612.276634,62291.91696,62954.890153,63617.434223000004,64308.135993,64988.803583,65633.621147,66216.435507,66710.773064,67109.932271,67424.712111,67687.61975700001,67931.87478,68191.419219,68501.237661,68896.538711,69413.310163,70088.12650400001,70958.08473100001,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,1707.2238692199999,2109.77631736,2322.2554768799996,2485.5479118099997,2611.0372928300003,2707.37587668,2739.8859869,2754.36032434,2901.6427601400005,2997.90617231,3111.2824042000007,3249.2085204200007,3408.7982054099994,3582.6624931399997,3763.18928042,3942.7947358799997,4115.286959380001,4281.59129922,4444.17470522,4605.648175269999,4768.77014553,4949.407078929999,5137.429121499999,5334.7743713499995,5543.387418730001,5765.17686659,6000.606734169999,6240.859349600001,6475.86940391,6695.759069160001,6890.736623620001,7052.22208329,7190.282077180001,7316.546382089998,7442.9356361499995,7581.689366199998,7744.000350990001,7925.23579364,8119.30358511,8320.10899384,8521.620948550004,8727.72112591,8931.30574299,9134.43601009,9339.098593660001,9547.19619897,9765.296812560004,9986.349448579998,10207.98359919,10427.905434240001,10643.898574140001,10858.130575379999,11065.58878108,11265.479201039996,11456.894167699998,11638.82930767,11811.62904066,11979.281765919999,12147.51147547,12322.205000289998,12509.442748570002,12727.85074969,12960.5204388,13201.164528279998,13443.005459849996,13678.775991999999,13904.91847044,14123.15200232,14339.664598300003,14560.947547999998,14793.789265200001,15019.581023899997,15256.889182099998,15499.1142128,15739.2459619,15969.839442999999,16189.940104099998,16397.019607899998,16595.753509399998,16790.999423,16987.759199699998,17192.7356069,17402.879724699997,17616.9285254,17833.610517800003,18051.650638799998,18269.8645301,18486.9564965,18701.685192300003,18912.8371358,19119.2370248,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,11543.150063729996,14044.40815387,15495.144579120002,16789.868686949998,17967.121371619996,19052.862617870003,19760.310729690005,20362.85641880001,21951.25285212,23117.122265150003,24306.151970240007,25526.1308692,26761.42827884999,27978.400292119994,29142.364244500004,30217.698833499995,31177.79942460001,32050.53238729999,32876.5142644,33698.588023599994,34561.8435955,35598.06456179998,36716.92023290001,37907.38479269999,39158.07471449999,40457.17498499999,41799.1820372,43179.00646179999,44598.758317399996,46061.62397559999,47572.2660934,49114.71994390002,50677.581088299994,52226.61353450001,53725.39045930002,55135.283842900004,56440.37013629999,57643.450290600005,58772.19666699998,59855.420111199994,60922.8388079,62056.102008,63182.804108700024,64277.179679999994,65312.4883555,66261.1036996,67143.49685829997,67949.93574679997,68719.92039519998,69493.63343970002,70311.87296659999,71233.90622890001,72229.7560672,73287.3749678,74394.13165700002,75536.67449329999,76704.83490209999,77890.48748970001,79090.90978069999,80303.92578300001,81527.92723670001,82853.94882090003,84188.97510240001,85522.1729518,86841.0452397,88131.59612599997,89395.67912030002,90631.6887345,91856.4698297,93087.9244369,94344.88152319999,95491.2876017,96659.47885359995,97829.6759223,98980.82605290001,100090.64463570001,101172.6796465,102206.5131586,103210.27576560002,104202.68404889999,105202.9007986,106245.5095927,107325.86341909999,108456.04285059999,109648.43643749997,110915.74839450001,112271.54437730002,113728.96846060001,115301.71112000002,117003.79058300002,118849.5575903,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,37017.879937,46476.357799299985,50772.9737626,53322.58479100001,54648.32119159999,55196.62011950002,54560.627977700016,53985.23246000001,56713.30664919999,59495.0945772,64022.831114399996,70646.90932419997,79004.97008920001,88529.57682080001,98675.48165510001,108930.51393560001,118889.63550590002,128518.93088130002,137855.7851093,146928.9908621,155761.9662896,164826.9467776,173820.21705019998,182842.51225600007,191995.61781199998,201381.2299659999,211051.96752700003,220738.66319599992,230132.57758400007,238934.80044999998,246852.0875780001,253596.18626899994,259382.9627899999,264437.18430300005,268986.853438,273266.555374,277522.74155499996,281636.0506190001,285487.3819069999,288956.25416,291920.3484070001,294582.4892449999,296748.55711299996,298543.2414849999,300096.20617999986,301542.59841100016,303150.85911599995,304684.45158299996,306032.924053,307081.7849020002,307712.18680699996,307953.547037,307748.8022080001,307202.549669,306424.42354300007,305529.5590219999,304625.68013400014,303716.50859799987,302791.8638220001,301835.163925,300823.437482,300070.212568,299246.9789949999,298357.726975,297416.50770799996,296447.91627700004,295535.23420999997,294719.2911739999,294081.1666729999,293690.7781189999,293608.58253899997,293405.87103399995,293474.975807,293734.09656100004,294105.93561800005,294516.63735300006,295014.367753,295595.807251,296381.89479900006,297493.4547189999,299051.2209160001,301182.7397100001,303758.37473900005,306657.588061,309757.9919319999,312935.41093699995,316065.5553400001,319020.61913300003,321672.3081289999,323891.5750740001,325549.02568400005,22940000,22999800
