,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825,2,5825,242.5,62.0,23019194,23239156,23470380,23709677,23953897,24199916,24444640,24684997,24917935,25140418,25349427,25542756,25721419,25887232,26042013,26187589,26325555,26456579,26581095,26699547,26812383,26920053,27023040,27121833,27216927,27308815,27397796,27483374,27564846,27641510,27712656,27777764,27837082,27891046,27940091,27984651,28024985,28060636,28090977,28115390,28133261,28144118,28148067,28145346,28136208,28120898,28099639,28072546,28039696,28001153,27956976,27907270,27852380,27792699,27728612,27660483,27588780,27514391,27438326,27361615,27285302,27210066,27135033,27058930,26980470,26898348,26811146,26717037,26614072,26500268,26373593,26233159,26082880,25927949,25773665,25625451,25488279,25364950,25257743,25168976,25101003,25055359,25030203,25022798,25030345,25049997,25078846,25113952,25152326,25190947,25226766,620000,620000
2,云南省,490913,137,490913,13895.25,3416.75,45966766,46077176,46242756,46454736,46704344,46982793,47281268,47590935,47902968,48208514,48498747,48766634,49012412,49238124,49445812,49637522,49815169,49980125,50133618,50276883,50411170,50537788,50658235,50774072,50886895,50998265,51109360,51219586,51327992,51433574,51535340,51632194,51722669,51805188,51878178,51940002,51989390,52026291,52051000,52063798,52065028,52055177,52035498,52007438,51972422,51931960,51887514,51840563,51792625,51745204,51699842,51658127,51621976,51593360,51574270,51566705,51571931,51588303,51613371,51644617,51679477,51715675,51752402,51789216,51825733,51861558,51896336,51929996,51962571,51994152,52024922,52055747,52089729,52130570,52181837,52247124,52328794,52424635,52531136,52644642,52761326,52877870,52993199,53106919,53218647,53328115,53435039,53539228,53640512,53738779,53833927,72610000,72840600
3,内蒙古自治区,374343,518,374343,58826.5,22747.0,24407563,24490011,24585127,24689618,24800262,24913825,25027093,25136818,25239855,25333010,25412990,25477444,25526870,25562595,25585967,25598312,25600773,25594229,25579436,25557082,25527890,25492588,25451655,25405622,25354950,25300068,25241352,25178357,25110679,25037635,24958818,24873760,24782436,24685030,24581657,24472463,24357516,24236787,24110095,23977276,23838169,23692674,23540831,23382776,23218570,23048294,22872179,22691045,22505938,22317839,22127713,21936594,21745453,21555299,21367119,21181979,21000778,20823620,20650603,20481595,20316723,20155899,19998752,19844791,19693467,19544371,19396899,19250197,19103329,18955313,18805186,18652317,18497912,18343513,18190891,18041695,17897641,17759977,17629961,17508774,17397706,17297483,17206714,17123428,17045618,16971140,16898050,16824123,16747284,16665354,16576120,77400000,78160000
4,北京市,10426,8,10426,932.0,321.5,19612368,19798661,20001995,20218520,20444390,20675782,20908880,21139884,21365017,21580508,21782606,21968433,22138596,22294591,22437896,22570001,22692297,22805739,22911167,23009438,23101405,23187893,23269628,23347298,23421600,23493230,23562721,23629937,23694571,23756317,23814859,23869912,23921287,23968816,24012327,24051643,24086624,24117288,24143711,24165965,24184134,24197929,24205575,24204888,24193683,24169749,24132352,24086751,24039738,23998186,23969045,23954153,23934474,23885415,23781958,23598595,23320787,22979715,22618695,22281890,22014323,21849463,21771494,21751750,21761037,21769603,21753071,21710260,21645921,21564895,21472110,21372015,21266878,21158418,21048382,20938535,20830907,20728474,20634516,20552385,20485506,20436429,20404075,20386394,20381287,20386629,20400240,20419919,20443419,20468488,20492828,880000,880000
5,吉林省,58817,85,58817,10723.25,3714.75,27452818,27452988,27459597,27469939,27481306,27491069,27496535,27495070,27484008,27460677,27422398,27367206,27296033,27210522,27112346,27003128,26884328,26756587,26620391,26476200,26324458,26165591,25999970,25827917,25649738,25465767,25276201,25080821,24879340,24671453,24456855,24235350,24007073,23772299,23531299,23284363,23031679,22773071,22508188,22236685,21958218,21672542,21380222,21081947,20778371,20470177,20157867,19841421,19520705,19195564,18865803,18531621,18194762,17857439,17521912,17190559,16865234,16545859,16231860,15922675,15617815,15316830,15019584,14725971,14435906,14149262,13865816,13584941,13305806,13027549,12749207,12469856,12189113,11906726,11622529,11336392,11048973,10763908,10485662,10218843,9968183,9737325,9524957,9328462,9145194,8972375,8807187,8646746,8488126,8328319,8164294,18700000,18776000
6,四川省,543916,187,543916,19099.5,5693.0,80420721,80236984,80114760,80042731,80009648,80004189,80014992,80030642,80039696,80030655,79991981,79914447,79798238,79645928,79460037,79243070,78997715,78727209,78434971,78124392,77798819,77461097,77111757,76750817,76378249,75994007,75598214,75191803,74775841,74351500,73919860,73481620,73035305,72578958,72110695,71628607,71131048,70617382,70087158,69539887,68975063,68392518,67793620,67180108,66553692,65915996,65268920,64615404,63958672,63301938,62648422,62001124,61362092,60733192,60116368,59513637,58925982,58349856,57780623,57213557,56643929,56068325,55488589,54907930,54329613,53756968,53192310,52633494,52077201,51519952,50958129,50388885,49813164,49232962,48650379,48067632,47487272,46912640,46347431,45795381,45260445,44745399,44248242,43765663,43294252,42830563,42371131,41912411,41450781,40982612,40504168,94860000,95315900
7,天津市,5945,4,5945,469.5,157.0,11768136,11851249,11943039,12041408,12144271,12249551,12355175,12459075,12559198,12653493,12739904,12816872,12884783,12944496,12996875,13042788,13083033,13118136,13148553,13174741,13197158,13216249,13232423,13246065,13257576,13267346,13275667,13282447,13287486,13290589,13291562,13290249,13286675,13280916,13273036,13263110,13251155,13236945,13220197,13200634,13177972,13151981,13122630,13089940,13053930,13014611,12972035,12926399,12877945,12826895,12773481,12717945,12660625,12601873,12542049,12481511,12420558,12359230,12297497,12235341,12172737,12109718,12046478,11983266,11920338,11857953,11796123,11733847,11669844,11602808,11531396,11454588,11372732,11286530,11196706,11103988,11009556,10916294,10827596,10746937,10677876,10623111,10581644,10551518,10530709,10517161,10508772,10503400,10498870,10492977,10483492,480000,480000
8,宁夏回族自治区,38129,22,38129,2230.75,782.75,6618966,6650021,6689578,6736284,6788776,6845693,6905683,6967378,7029418,7090445,7149098,7204296,7256010,7304506,7350034,7392844,7433186,7471248,7507209,7541248,7573542,7604287,7633693,7661993,7689405,7716157,7742429,7768201,7793408,7817990,7841864,7864957,7887100,7908108,7927796,7945975,7962471,7977188,7990036,8000942,8009823,8016660,8021683,8025154,8027361,8028592,8029113,8029151,8028940,8028677,8028602,8028934,8029929,8031846,8034941,8039467,8045598,8053159,8061881,8071493,8081711,8092256,8102930,8113565,8123967,8133978,8143434,8152368,8160819,8168860,8176579,8184149,8192079,8200934,8211285,8223680,8238497,8255325,8273561,8292584,8311749,8330488,8348712,8366450,8383757,8400681,8417298,8433671,8449897,8466067,8482265,13440000,13446700
9,安徽省,141671,52,141671,5977.75,1618.75,58569086,58593154,58681310,58821508,59001684,59209722,59433470,59660747,59879376,60077132,60241812,60363868,60444546,60487774,60497495,60477626,60432282,60366295,60284706,60192517,60094760,59995980,59898881,59805728,59718762,59640262,59571822,59512557,59460921,59415373,59374401,59335853,59295183,59247215,59186736,59108542,59008393,58886001,58742080,58577367,58392553,58188959,57970323,57740959,57505229,57267488,57031540,56798884,56570398,56347017,56129653,55919488,55718800,55530183,55356251,55199662,55062187,54941890,54835871,54741176,54654780,54574056,54498212,54426916,54359851,54296697,54237221,54181385,54129265,54080975,54036710,53996859,53962152,53933392,53911247,53896297,53888999,53889638,53898483,53915709,53941498,53975828,54018162,54067877,54124363,54187074,54255457,54329029,54407314,54489855,54576237,17340000,17393000
10,山东省,124392,62,124392,7323.0,2252.5,95792722,95929193,96139923,96409521,96722645,97063913,97417949,97769364,98102777,98402768,98653896,98844303,98976539,99056739,99090997,99085441,99045869,98976857,98882687,98767611,98635876,98491169,98334923,98168001,97991251,97805542,97611307,97407562,97192947,96966110,96725685,96470446,96199599,95912523,95608586,95287163,94947644,94589309,94211412,93813195,93393852,92953190,92493432,92017404,91527918,91027757,90519574,90005447,89487307,88967083,88446679,87928309,87415355,86911545,86420684,85946652,85491929,85053194,84625603,84204272,83784224,83362129,82941295,82526828,82123951,81737950,81372022,81020390,80674933,80327375,79969305,79594699,79207868,78815710,78425285,78043709,77677045,77326645,76992660,76675220,76374423,76090306,75822674,75571321,75336069,75116812,74913430,74725868,74554094,74398060,74257786,22940000,22999800
