,省,FID,Join_Count,TARGET_FID,lon,lat,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,省代码,市代码
1,上海市,5825.0,2.0,5825.0,242.5,62.0,16222.861492000002,17020.523555,17513.184462,18619.216813,20172.911645,22041.286183,23936.154566999998,25383.544903,28708.174539,31004.40092,33011.86218,34618.78437,35967.1078,37247.44152,38655.70983,40392.24051,42592.120579999995,45115.504140000005,47748.900709999994,50273.06044,52462.317540000004,54266.840899999996,55657.68724,56787.5309,57817.83094,58917.76735000001,60243.044259999995,61758.8925,63408.234240000005,65132.418820000006,66872.23349,68569.38275,70208.82196,71776.68678,73258.80406,74640.90526,75942.23387,77144.40827,78261.54884999999,79307.94550999999,80297.87884,81334.15079,82354.60592,83382.79126,84442.72808,85558.55773999999,86788.67165999999,88071.50261,89378.76659000001,90682.68804000001,91956.23998,93216.26937,94437.61358,95636.92436,96830.20179,98032.66921,99266.07543,100484.01719,101649.13238,102725.96407,103680.38873,104616.11405,105462.30883,106276.27109,107115.62712,108038.34198000001,109104.67562000001,110276.89934999999,111519.57167,112798.55533999999,114081.45004,115157.83814,116229.01397,117326.36385000001,118480.21728,119719.68665,121094.0577,122525.59331000001,123956.58254,125329.26382999998,126585.80891,127704.93953,128652.32365,129428.53295000001,130033.07423999999,130464.71658000001,130694.84228,130748.72078,130624.87081999998,130322.26868000001,129840.58084000001,620000.0,620000.0
2,云南省,490913.0,137.0,490913.0,13895.25,3416.75,6827.275314500001,8194.612161070003,9097.959319399997,10026.706694720004,10978.45265045001,11948.359940340002,12839.903213109992,13459.491269460003,15089.578634160003,16246.592376430004,17383.717433120015,18477.320950080004,19528.79070651,20535.173061110003,21493.95922139999,22402.812680829997,23260.496923029994,24072.822541339992,24847.732542060006,25593.792406480003,26320.199564180002,27093.768931930004,27856.96658665,28606.838406069994,29340.98789738,30057.508415499997,30763.697883089993,31442.70549120001,32085.48046830999,32682.41673484,33223.31111328,33698.28191729998,34120.641361929986,34505.989350619995,34871.29672082,35234.782100489974,35623.6873815,36017.31259526,36401.999454380006,36763.583663989986,37087.53721581999,37400.11435806,37652.72009460001,37836.885953100005,37944.58268817,37968.42065828,37925.11019888999,37811.40222844998,37646.873819670014,37450.458000410006,37240.3426734,37045.74925345001,36856.956791120014,36676.96808257999,36509.521498850016,36358.957173200004,36233.13925798,36116.09376796,35994.14039499001,35852.707146749985,35676.25759071002,35495.61347568002,35284.727866409994,35064.66282830999,34858.43825287,34691.01348517,34585.86145179998,34520.01033115999,34466.070065700005,34395.54666124997,34278.86242896001,34040.422060239995,33761.57572423,33481.46821289999,33240.73524436,33081.59282773999,33043.25270512,33089.72257673,33179.61524972002,33270.65710296001,33319.80474241,33302.10834131002,33226.14101341001,33119.743694610006,33011.37639463002,32930.13219791,32898.802740690015,32953.92201346,33124.826003480004,33439.80257359998,33925.22418405999,72610000.0,72840600.0
3,内蒙古自治区,374343.0,518.0,374343.0,58826.5,22747.0,10925.373628499992,12222.28058237999,12883.405950969995,13659.618916770007,14533.468486449992,15493.946417310011,16418.42972944002,17068.41731730001,19072.737069189996,20559.582340399986,22114.104435400037,23706.94209996001,25302.620623029998,26849.61856301999,28296.057078409984,29589.474945299986,30695.945859239997,31663.071148049956,32560.74429377001,33461.467724829985,34440.54628591003,35627.07528739,36891.879182170014,38149.721567089975,39312.52518709,40290.20593638998,41029.34647008998,41547.02405257,41897.7308277,42135.52007037999,42313.469275080024,42474.315834,42647.79444557,42856.97373875001,43127.487651629956,43486.77385505997,43966.932285110015,44515.59127638993,45082.318530680044,45615.937250680036,46064.90346254,46443.30015822,46732.28062378999,46978.39045648999,47229.37839697999,47534.02303414999,47950.189859640035,48427.10946836001,48921.60703685,49390.39535696004,49790.25928803995,50110.91727356005,50358.223323030004,50571.145672050014,50789.08898763002,51051.72922122999,51394.80321605999,51787.684337429986,52196.08104399998,52586.19560108996,52924.60928681004,53252.027448379995,53537.14249333994,53819.16868329999,54138.26955435999,54535.41928927004,55049.25879342995,55653.61981564,56319.33943154999,57017.81725499998,57721.396492630025,58306.87331343995,58837.24203982993,59283.161924459964,59613.64263240002,59796.37766864998,59829.99598714002,59734.14876157992,59560.51621570999,59361.199147029976,59188.51762849001,59097.24085668002,59076.89350107004,59119.13123312004,59215.39860923989,59356.733436850045,59521.31828443997,59711.15043903002,59915.163639630075,60121.44196584997,60317.21682509004,77400000.0,78160000.0
4,北京市,10426.0,8.0,10426.0,932.0,321.5,13338.163822999999,15986.996930999998,17353.857679,18476.291947,19408.255314,20191.142717,20717.152662,20756.688701,22309.345479000003,23142.903557,24023.089500000002,24970.502246,25976.353574,27006.417683,28024.721427,28993.900920000004,29883.273373000004,30696.780243,31447.716983,32150.315025,32819.745715,33541.991031000005,34245.618385,34927.559931,35585.866031,36219.580087,36844.35308600001,37467.842231,38112.282988,38799.223092,39549.964683000006,40371.87715,41238.492620000005,42108.932329,42941.52978700001,43693.88636800001,44352.80090099999,44922.960918,45438.186174,45932.24351700001,46438.69298199999,47031.998543,47650.2922,48270.7544,48870.37469499999,49425.915099000005,49946.677494999996,50423.835449000006,50880.674723000004,51340.49159400001,51826.591496999994,52377.475232000004,52971.310937,53600.912963,54258.725405,54936.653513,55632.557273000006,56315.602611,56962.42406299999,57550.71962599999,58058.860301,58542.26607400001,58958.746651999994,59337.9477,59709.815898999994,60104.782032,60559.606229,61075.243579999995,61658.423845,62316.384999,63057.426170000006,63777.703436,64544.113432,65314.68552499999,66045.37992299999,66689.90839200001,67235.80796399999,67694.803318,68114.747844,68544.41222500001,69033.390274,69632.77057899999,70309.005273,71027.684877,71752.925561,72447.23835099999,73056.502007,73555.27171,73902.41545700001,74056.65871199999,73977.486009,880000.0,880000.0
5,吉林省,58817.0,85.0,58817.0,10723.25,3714.75,8191.373272759998,9622.579557149998,10391.60152968,11097.32016782,11745.339800770003,12337.854591299998,12786.271690560001,12922.90018694,13973.002085869995,14521.656611609998,15018.545773550002,15460.912635240007,15876.417943369994,16290.298258719995,16727.727258420004,17213.86214655,17768.113244729993,18388.224022729995,19066.604705669994,19795.84493883001,20568.63933605,21420.779227560004,22282.03872928999,23120.81200606,23904.487877450007,24599.823100650014,25194.81753803,25714.724276749992,26206.455369039995,26717.288227000012,27294.953491840006,27970.63855137999,28721.903361310015,29508.272419830006,30287.98043057001,31017.928642199993,31675.242127630012,32250.126649079997,32753.941967519986,33198.424434680004,33595.400049150005,33992.622530469984,34364.614185210005,34720.76978411,35070.78950147,35424.607418679996,35806.6922547,36192.64124004999,36571.95732784001,36934.16937905001,37268.878301239994,37583.50993184001,37869.929628460006,38137.67988020997,38396.38543268,38655.713273580026,38930.56678607,39218.392241710004,39521.94631932,39844.19282852001,40188.51291847999,40602.17716878001,41025.03085224,41435.85667757998,41812.22708661002,42130.60981431,42383.68089604001,42589.380719889996,42782.75710370999,42999.078367619986,43273.86359029001,43561.98757990001,43921.003159769985,44330.452019510005,44769.12497818001,45214.710046119995,45660.99629655,46090.04505779998,46500.89634941999,46892.799141109994,47265.16044489999,47629.68307928999,47987.207285410004,48350.39708543,48731.755345569996,49143.542129509995,49587.38203215002,50084.54403498999,50645.22278540999,51278.23303587001,51990.54168806999,18700000.0,18776000.0
6,四川省,543916.0,187.0,543916.0,19099.5,5693.0,16240.678586330005,19231.168315969997,21004.682302869995,22765.61647411,24544.241398320006,26365.259075340004,28054.79860974,29235.18193321,32729.52367227001,35363.23522537001,38171.03712932998,41134.46470371003,44220.56900854,47368.255744040005,50516.71709306001,53605.54532488997,56581.70840419002,59427.062711889994,62132.09343278002,64687.632546340006,67084.90759932998,69467.00732194002,71679.67224397999,73711.46521532998,75552.71069685002,77195.96234955,78672.16294488996,80005.23274687998,81253.51520495002,82474.26221231998,83723.82964655003,85030.39704292,86358.94210775998,87647.50280460998,88834.41250709997,89858.43836115004,90714.83550654995,91415.94010480003,92028.00739588003,92616.04459707002,93243.69845998003,94053.89660683999,94908.97192236001,95748.84538896999,96513.56641427001,97143.34866487005,97645.93101264,98005.87378815998,98273.63315508001,98498.92342177998,98730.55550742001,99042.43049818008,99382.96198182998,99727.11590863991,100050.42626246,100328.93533780999,100564.88962301,100763.17003918001,100953.15677298995,101162.93476014,101419.72712300997,101858.42087848998,102340.07383458,102826.33587907007,103278.32407598,103656.53833990003,103949.04705049995,104151.04067393001,104284.47353824002,104370.33917117998,104428.24841160001,104301.98474611994,104164.44207840001,104021.12636630998,103878.47899078003,103743.86823787003,103651.76042702995,103558.71159311,103446.10896426003,103294.26489338,103082.36810186999,102812.62105044999,102454.27832169,102000.69598401997,101445.39521640007,100782.25946231007,99985.12342782,99070.34300382998,98034.32308367995,96874.76593771999,95590.87882309004,94860000.0,95315900.0
7,天津市,5945.0,4.0,5945.0,469.5,157.0,8321.3842399,10271.803762399999,11388.3936084,12331.694403000001,13142.3363235,13849.732945,14378.0650595,14560.506225599998,15801.48192,16531.027181,17280.669426,18065.240349,18906.82565,19817.530502999998,20809.349229,21894.498230999998,23075.120377,24313.303930000002,25560.102209000004,26765.421114999997,27877.878492,28921.352031,29849.616399,30690.22632,31472.766409999997,32228.73401,32995.743200000004,33766.73551300001,34538.244222,35306.36386,36066.940645,36812.377216,37542.730805,38255.240667000005,38947.435079999996,39617.054564,40278.210899,40919.10112,41543.476826,42155.077968,42757.69792599999,43398.168777,44018.048634,44599.635261999996,45125.042662,45576.325183,45968.997693,46314.992456,46659.099618,47045.973246,47520.180592000004,48128.179443,48812.513587999994,49516.649061000004,50183.323458000006,50754.714435,51200.926036000004,51553.52226,51872.058015,52215.843370999995,52644.351966999995,53263.257589,53991.342317,54786.732492,55605.163898,56399.413592,57138.331301,57808.340734,58415.542839999995,58967.249419,59471.514793,59842.806396,60207.620209999994,60603.581534,61068.626406,61640.880951,62361.124459,63171.574431,64015.962321,64837.608932,65579.50641100001,66211.441358,66729.018825,67154.383514,67509.543705,67816.51449100001,68083.286716,68345.789833,68625.597015,68943.50385400001,69318.976994,480000.0,480000.0
8,宁夏回族自治区,38129.0,22.0,38129.0,2230.75,782.75,1707.2238692199999,2032.1738442,2219.33000109,2394.10198874,2557.8844370799993,2711.1299643300003,2834.01904127,2888.260682660001,3148.093840829999,3296.8359749000006,3434.2981616899992,3559.259131999999,3678.32415983,3797.8498411100018,3924.2470129200005,4063.9837427999996,4221.92260643,4396.60708776,4584.979486349999,4783.97941334,4990.52520308,5213.90995475,5445.51336092,5688.304804590002,5945.28234397,6219.38855806,6513.396519189999,6817.419742549999,7121.4103688899995,7415.46503892,7689.80635613,7936.882712319998,8162.402793889999,8374.3462759,8580.799570610001,8789.952049700001,9010.883638500001,9235.91509592,9458.110178550001,9670.67249234,9866.964665680001,10052.831581949999,10219.500029230001,10369.9619919,10507.215701070001,10634.296686280002,10759.062883329998,10876.5053899,10986.275045229999,11088.04710647,11181.511885790003,11270.66648496,11350.71767363,11421.142700679997,11481.445964449998,11531.179902839998,11572.51455189,11606.35752144,11636.0751352,11664.90794614,11695.997130260004,11744.94221354,11795.992044159999,11845.052659680003,11887.98796965,11920.63171406,11942.984425870001,11959.685045470002,11979.4060482,12010.73274855,12062.219877930002,12119.58650071,12195.846305920002,12281.895628100001,12368.397467640001,12445.698833379995,12509.60069697,12556.73967075,12589.454682440002,12610.112294840004,12621.066858250002,12626.902438539997,12625.388517119998,12616.51540362,12600.26480821,12576.619945140003,12542.98569821,12501.983694289996,12453.643538510001,12398.011625700003,12335.144870209995,13440000.0,13446700.0
9,安徽省,141671.0,52.0,141671.0,5977.75,1618.75,11543.150063729996,13947.531302280002,15372.27287001,16687.234722089994,17917.565075080005,19079.28160140001,20043.97092082,20548.071849189997,22558.302215879994,23834.48962212,25098.665082650008,26341.534738780003,27563.635583209998,28751.0426582,29889.356329500002,30963.618484699993,31966.07953450002,32923.956761099995,33874.4730905,34856.598455,35911.1069223,37152.2978453,38499.81210570001,39940.18774150001,41459.236975900014,43041.7150723,44687.5013459,46375.51139539999,48100.46644210002,49858.07857990001,51645.36434500002,53450.942729699986,55254.17658329999,57023.05256260001,58723.4125132,60319.24764239999,61806.13855569999,63171.97307720001,64437.61777259998,65625.0983482,66757.21198620001,67921.16184849999,69026.30769319997,70041.7326741,70935.99154819998,71677.4550503,72283.4250526,72750.665482,73124.0063123,73448.0919924,73767.1478112,74144.68251230002,74551.62517260002,74978.81223620003,75417.27929650001,75858.10768209999,76305.2902877,76738.92649950001,77151.9760969,77537.34971220001,77887.84486970001,78294.60199590003,78700.974886,79143.90949929997,79661.39243159999,80291.93040690004,81074.07603289999,81967.15654070002,82930.35046630002,83923.7187899,84908.61587480002,85715.28676239999,86486.2759292,87238.94654510003,87989.69913200002,88754.04051020002,89568.4097614,90398.60622910001,91231.4446012,92053.9074844,92853.15289610001,93639.2675591,94396.19483329995,95129.50830480001,95844.0226296,96543.75376859999,97211.7765527,97870.0654008,98519.56382630001,99159.83904030001,99788.85358060001,17340000.0,17393000.0
10,山东省,124392.0,62.0,124392.0,7323.0,2252.5,37017.879937,46015.92737629999,50151.56668870001,52757.03842660001,54325.098774400016,55273.156578,55608.893569100015,55040.87810930001,59170.24110399998,62427.93178480001,67210.13333449999,73822.3976819,82039.36339789999,91445.62042170003,101617.88712750003,112130.75796560002,122610.40611160004,132902.78913450002,142905.627139,152513.8367386,161619.81555270002,170542.26486999998,179109.40757700003,187546.67595400003,196086.76142,204967.48747999998,214400.549386,224076.92071700003,233655.555662,242799.28536500002,251173.69527500003,258521.369563,265041.919988,271017.20085100003,276735.414431,282491.296488,288609.14479899994,294868.5373989999,301069.66054000007,307015.046844,312510.47516200005,317760.082183,322525.43635400006,326948.166428,331171.34247999993,335339.5035250001,339726.3923729999,344110.1799979999,348393.218439,352479.2774829999,356273.79254299996,359830.57522500004,362962.3335229999,365626.1659249999,367779.3184299999,369380.62847600004,370482.6869369999,371134.56797300006,371472.65226199996,371627.39358599985,371723.1572069998,372268.87923499994,372748.2689960001,373011.76121799997,372911.859423,372304.921961,371177.930462,369643.548674,367931.03145000007,366260.4049159999,364842.0611299999,363228.4341789999,361946.97293899994,360896.609927,359979.929606,359101.53864100005,358279.99906400015,357350.680676,356256.603654,354936.5907619999,353324.825845,351448.2373600002,349281.2752580002,346898.8246,344379.279458,341804.80072099995,339191.102123,336697.88728300005,334414.83620799996,332430.91708000016,330831.699921,22940000.0,22999800.0
