,省,FID,Join_Count,TARGET_FID,lon,lat,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,省代码,市代码
11,山西省,113102,64,113102,7190.0,2407.0,8635.496761720002,9517.323195230001,9828.66446557,10165.774344810005,10515.226689199999,10867.852343849996,11139.06055888,11483.37132953,12085.993130470002,12517.814617860002,12930.75990271,13319.395309589998,13703.53173303,14100.08377182,14525.780951620003,14997.405151059997,15526.733404579998,16108.92112587,16734.640908209996,17394.61461649,18079.415883600002,18822.61728927,19579.748285640002,20346.71404978,21119.309378940005,21893.253821069997,22674.18616548,23447.29832878,24207.05321006,24947.8861813,25664.200349560004,26355.355048310004,27037.1671772,27730.77779694,28457.870738000005,29240.462863509998,30104.7653286,31005.015912700004,31898.4935219,32742.43813784999,33494.05208445,34169.78113249001,34766.958165119984,35341.41295170001,35950.155264400004,36651.34887881998,37511.99629243,38474.953793270004,39487.86439741,40497.19390874,41448.66456356,42322.81508303,43112.80818958001,43845.92094006001,44549.70190964999,45251.68395252001,45982.347443290004,46724.43658162,47463.67051937,48186.25057529001,48878.64370984,49597.732213759984,50278.52166315998,50922.23770546,51530.06285530999,52103.530113550005,52668.16262735,53216.65696656999,53763.40158925,54322.05341316001,54905.547426289995,55430.45218676001,55970.17006641,56506.885001279996,57022.60549667001,57499.18205018001,57965.11805611998,58395.33815894001,58809.73707567001,59227.86175738,59668.799880150014,60170.837733939996,60708.439749170015,61274.62209997002,61862.15195756002,62463.44045216001,63070.25836154,63674.60626332998,64267.43740271,64839.155785769995,65379.6250469,8960000,9005300
12,广东省,215948,58,215948,6578.0,1359.5,43436.45284817999,49953.391317,53198.53457753,56327.23596128,59368.62161350001,62343.73165001001,64817.359646029996,67730.16655832001,72251.08487258002,75885.51327985,79566.89370259998,83283.7769417,87126.7416146,91157.22580809999,95437.03106439998,100029.53182780002,104978.98100950004,110273.14612039998,115882.1072456,121775.10337939997,127919.47772519998,134570.6405375,141356.7161704,148167.64131,154890.5895061,161410.7680027,167718.75467229995,173786.95821659995,179692.16823039996,185514.18727999998,191335.5735169,197209.55992139995,203033.96690980002,208670.18672169992,213977.22654600002,218812.87655190006,223219.2494524,227318.5212623,231415.35189289998,235816.47198819998,240831.13122749995,246982.83336700004,253784.72836159996,260940.80613749995,268148.323936,275097.11223749997,281724.03559790005,287805.19231480005,293355.94731029996,298393.9038419,302939.41612420004,307212.42818100005,311292.6921589,315448.8888814998,319947.8735682999,325052.8308588001,331020.37500369997,337664.6326729999,344800.13925290003,352251.6692354999,359854.33715190017,367979.86930260004,376127.2259624001,384275.39324169996,392389.66218640003,400422.5694280001,408477.1646083999,416322.5471266999,423887.2143513,431108.3504572999,437927.0237777999,443620.2992298001,449134.3338893,454796.80338710005,460941.13873089995,467906.1972654,476254.4891979,485472.66614670004,495246.2750768,505257.74601700006,515188.38198959996,524980.3374809,534385.9376839001,543400.9489194,552015.0427422,560212.5458022,567971.2786084,575271.4867556999,582085.1676508001,588380.9999799001,594124.5854737,25520000,25601900
13,广西壮族自治区,313463,85,313463,9249.75,2024.25,9044.07153047,11107.388735060002,12217.49617911,13105.567137680004,13822.433983920002,14403.303221180002,14772.9318244,15168.746685709997,15862.698248270004,16317.838271180008,16766.076040400003,17223.11557609999,17698.079007399992,18185.512441029998,18678.805046209993,19170.362429490007,19653.101841369997,20131.06775088,20611.722720469996,21103.932810789996,21617.784496120006,22210.120571779993,22824.023486419996,23445.903623790004,24061.612588000007,24656.56542818,25231.961989770007,25786.02960184001,26332.83734372,26886.672468410005,27462.055433769998,28074.447919229995,28738.38227669001,29469.32193726,30283.051650529997,31195.351037229986,32226.498366340005,33321.22785556,34427.83579504001,35494.6809777,36470.236761910004,37364.55667882001,38153.58805184,38872.90093462001,39558.740641599994,40248.128230149996,40999.923786709995,41787.024951820014,42601.3208086,43434.386390499996,44277.50892226001,45144.25159788999,46001.92449270001,46839.07455055,47644.51862118002,48407.404820219985,49130.2633363,49803.458266160014,50429.75839618001,51011.74416498002,51551.579947189995,52124.95099284,52679.30274373,53233.32024108998,53806.692465690016,54420.00682039999,55109.73252002,55841.63206688001,56595.03953005,57349.03875658003,58082.41636629002,58682.29173083999,59243.53575694999,59775.15412508001,60286.519870019976,60787.65377515,61329.379671290015,61869.18901368001,62402.432988080014,62923.770774009994,63427.11900889002,63933.726253030014,64425.93762199002,64913.349516829985,65405.73410997998,65912.99603616999,66444.84718377002,67011.59928440003,67622.59285467002,68286.40074819,69010.41977974,38250000,38314700
14,新疆维吾尔自治区,771678,700,771678,59359.25,28654.75,5141.741406980005,6274.329957739993,6865.36940462,7331.040101259986,7701.222150759999,7997.27904602001,8179.614292280007,8382.069827479992,8756.929444739995,9010.494063279988,9274.015561169996,9559.434173959986,9875.607068739999,10223.611981120011,10604.12612422998,11017.630883279975,11463.480154270006,11940.008348130004,12445.139473459978,12976.950184540012,13533.539789269975,14143.126263059963,14766.288512030005,15391.13887649001,16005.449823839992,16596.74373413998,17165.688179450015,17720.69840321001,18283.574387359993,18876.674761389968,19522.926680190012,20238.78380792,21009.630729339995,21812.934801940017,22625.384463820003,23422.94991412,24198.16150641998,24940.88566576003,25657.775868219982,26355.922803060017,27042.78025567997,27760.495902779996,28480.56370881999,29206.99736729002,29943.78150248996,30694.840226700017,31483.769522869978,32282.199454019934,33079.44109491995,33864.50954983002,34626.225573739954,35374.95506911008,36100.93786773001,36815.054610189996,37528.31786536007,38251.77166964994,38997.774673770036,39733.24357081009,40426.69723188997,41047.273731720015,41564.05025734002,42014.39349324996,42369.36724909008,42666.911239449946,42946.66255697993,43250.27856783987,43628.460843079956,44057.133546779965,44517.64150511996,44990.48458600009,45455.44945220999,45820.46068883006,46156.29579472004,46466.71072292011,46756.01088567007,47029.27448043995,47323.76537211991,47606.24713406004,47873.109453049954,48120.004734290065,48341.77823132998,48555.03801696,48751.72370290001,48946.14835453002,49153.096732140046,49387.777485039966,49665.52413047998,50002.28907167004,50413.32594879007,50913.15960293999,51515.05691481002,453050000,455007330
15,江苏省,105245,42,105245,4896.25,1354.25,39286.661153400004,40419.53293773001,42129.52551929,46364.79471778,52569.63799829001,60323.85632202999,68779.50559022,78516.74735415001,90750.44515249997,102144.70448212,113317.20682351,123808.92447024002,133560.73286145998,142550.0577738,150759.23837759998,158170.6597865,164787.69113599998,170757.72836320003,176268.48699200002,181521.6107592,186733.39703569998,192511.83841529998,198411.4396672,204342.7467028,210212.98575909992,215926.8316776,221499.6494875,226805.13680640003,231824.1179292,236536.5505821,240921.35279469998,244982.34590510002,248794.44079599998,252462.65969490004,256098.62260910004,259819.54245360004,263835.16485209996,267931.0836085,271973.1990349,275823.8920605,279342.49672800006,282793.5068705,285942.5540832,288959.17540420004,292018.96624410007,295303.3101552,299178.0121442,303481.45772310003,308219.4379027,313395.91518539994,319012.2018477,325218.07387629995,331786.6509004,338631.40876150003,345665.8035679,352804.3372105999,360038.85684120003,367195.3098800999,374176.3226789,380890.46469829994,387249.6910133,393735.26446940005,399900.63517679996,405830.6796815,411608.48918439995,417317.58606259996,423196.3061535,429083.82453110005,434962.86221909994,440815.9494208,446624.2570123999,451662.42874229996,456790.95541009994,462210.61936009995,468127.2782567,474750.12514809996,482539.73808879993,490970.599676,499746.06550729997,508565.7212931,517126.5621434001,525412.2896413,533326.2809705001,541049.1150822999,548760.7332089,556640.3938657,564863.703796,573608.6379569,583041.0589308,593314.7423443999,604565.8656615999,13120000,13150100
16,江西省,212169,63,212169,7290.75,1739.75,8931.997000400004,10464.51756641,11394.86461319,12355.438758379993,13338.576538699996,14335.294537240005,15228.67612822001,16221.70280864,17587.525410700004,18706.873726059996,19780.680862759997,20786.2468016,21743.274782099987,22668.980803099992,23580.714738000006,24495.927647000008,25431.0635958,26405.5529504,27440.1182757,28557.0200668,29779.67701030001,31192.276793000005,32704.641955799998,34280.001863699996,35880.16827839999,37465.8664062,39023.18700720002,40539.1768564,42026.33024739999,43497.776269999995,44967.23077460002,46443.42507349999,47906.4069348,49329.64914309999,50686.0826553,51948.33119169999,53127.272796399964,54230.73362389999,55304.23422649999,56393.74972,57545.701202500015,58871.42785980001,60297.822198600006,61812.72784359999,63403.65726249999,65057.562524400004,66801.44085009999,68546.80284889998,70240.9313839,71830.29639969999,73261.13051559999,74536.65651750001,75662.0313854,76697.55023879999,77703.7268547,78740.72122159999,79864.00741829997,81008.1444134,82103.60098479998,83081.5205038,83872.52254599996,84542.09498609998,85012.8345744,85340.81855129993,85586.0861499,85813.6380063,86112.68917870003,86444.37979230001,86784.3344502,87104.3694493,87372.40329449999,87420.58752160001,87409.21017119999,87375.01876140002,87358.7661912,87405.42853859998,87610.50156539997,87894.2843142,88219.8817179,88547.9157538,88836.74574139998,89090.33009010003,89292.25368990003,89473.7520645,89667.20253950004,89906.07176359998,90224.37634209997,90657.55165389998,91239.99143940002,92004.89745480003,92983.1839825,22680000,22725000
17,河北省,109176,77,109176,8943.25,3044.25,19670.04951627,22428.111924890014,23515.659242500005,24449.321808249995,25315.55657076,26193.60953702,26974.057286380004,28123.680405350002,30208.474796240007,32283.43795015,34829.51901834,37886.10735437,41343.48801018001,45028.3948216,48764.78393280999,52373.42358494,55711.257269689995,58811.14785210999,61750.243150559996,64608.970417530014,67471.63304777,70564.24429403,73728.13069760999,76930.37637163,80137.16740112999,83314.05129441002,86472.02869799001,89575.95887234001,92634.60268694002,95657.44828551999,98654.66908613006,101630.2188759,104546.21095187998,107356.18758313001,110013.13246605001,112469.92317656001,114761.11032764002,116908.86978777999,119015.28689937998,121183.08509468,123515.71623318002,126236.30805179005,129093.84393696998,131947.02555587,134651.84685841994,137061.60604323997,139185.69411836003,141085.89129089998,142980.12576932,145089.60050723003,147636.61354950003,150828.85309701,154364.57650300005,157923.03748799997,161185.5552162,163837.9835833,165712.89442199998,166990.07064229998,167982.7870931,168997.72103239995,170337.61293400003,172462.47124660003,175057.55510660002,177952.4997849,180971.9527253,183933.81638650005,186764.67755500003,189397.5429522,191876.3466479,194245.28256640004,196547.1202024,198489.37204440005,200381.31645930005,202216.18297450003,203987.80256649994,205691.1413912,207475.0803016001,209239.7680777,211031.22509259998,212893.96039769996,214870.9254084999,217077.11876870008,219407.75833929997,221826.65394679998,224296.0644587,226776.3700851,229225.16204369997,231600.59302450006,233856.99364180004,235946.9980933,237821.9559829001,10010000,10057600
18,河南省,154031,65,154031,7274.5,2171.0,21823.639414669993,23399.65087916,24430.48313936,26246.155133670014,28707.459741200008,31717.52212121999,34953.22683434002,38824.073251729984,44003.213056969995,48963.24547978002,54136.26679649998,59389.67293649999,64632.985045700014,69752.87257600002,74636.2719901,79168.42818469998,83273.87432880001,87071.8678789,90733.94022829998,94440.24352100004,98379.55912410001,102941.6868242,107927.00670320002,113311.34049949999,119068.18380210001,125169.1890463,131613.54615690003,138166.2596581,144612.5717827999,150734.73249809997,156311.907555,161192.6667191,165494.0599808,169409.26236530003,173137.46079110008,176883.36145850006,180885.7989813,184972.98667030002,188997.7295008,192811.7839673,196265.9433077,199518.70261759998,202463.23192200004,205296.97890369993,208222.41613569998,211446.88890040002,215265.0663011,219409.18925280005,223681.24877729997,227879.5177347,231800.21287810005,235419.49505470006,238723.12277270004,241871.60808800012,245025.4753765,248343.87963900005,251982.44652189992,255760.17385210007,259494.3365556,263005.00898409996,266112.37531230005,269067.3291462,271664.5430434999,274119.00659589993,276654.62462729996,279504.2890610001,282959.9990455,286850.08267410006,291046.1532955001,295419.04586019996,299840.3804693001,303698.89510689996,307409.1571624,310928.31803539995,314210.57129450014,317208.81693760015,320124.01124409994,322822.69263710006,325410.0175463,327989.7586066001,330663.56818710006,333640.8873830999,336781.6434164001,340049.3369215001,343405.9614894002,346811.4931087001,350222.3826757,353596.4465890001,356885.82081960014,360039.7578534002,363004.6920866,26240000,26305000
19,浙江省,117696,38,117696,4443.25,1082.25,26294.93850746,26964.28924640001,27724.23385118,29879.889528269996,33044.62469821999,36914.51209352999,40931.456752589984,45396.10844992,50902.109778809994,55458.87084119999,59360.881044,62379.83953450001,64878.97260279999,67343.0000177,70270.132077,74174.37468060003,79427.9454037,85783.21298060002,92817.7188053,100086.9889017,107123.95271010001,113792.734782,119842.92251469997,125353.50522350003,130410.8362474,135107.38712250005,139620.03550650008,144076.49337950003,148685.3905739,153660.47921009996,159220.8455262,165517.16725419997,172380.61905330006,179559.27580730003,186792.58765049995,193812.25557180005,200512.47726350004,206871.36369020006,213033.6779073,219148.9764808,225371.02594739996,232089.3442924,238880.8486713,245532.30582090002,251824.86414360002,257534.45443440002,262686.42497119994,267224.4801745999,271337.1558469001,275217.75183290004,279062.9842534,283186.8735187,287510.68245880003,292062.67247750005,296869.896337,301958.37983980007,307405.39963779994,313094.2391932,318960.25438139995,324944.5618303,330994.02466680005,337547.75950960006,344254.19882750005,351213.59810040006,358519.4651457,366256.0489107,374580.0713229,383087.51233749994,391457.5015638001,399381.58727570006,406558.4040835998,412128.331601,417019.1819376,421643.13204879983,426419.30726459995,431776.91789389995,438355.1202070001,445795.680764,453922.81052869983,462557.5526011,471520.27609769994,480832.38764120004,490184.80855940003,499449.8192808002,508490.7362112,517162.04926100007,525308.4880179999,532774.143911,539394.2091559999,545001.846993,549431.4413640001,12210000,12231000
20,海南省,42020,11,42020,1206.75,211.25,1951.0740162,2327.78522103,2550.1565268900004,2763.439413300001,2970.7577186999997,3173.9328787,3350.6409351999996,3548.9802769000003,3831.3870595999997,4066.0955522000004,4300.9215920999995,4534.6063663,4774.046787700001,5025.3916609,5294.9605906,5589.3186331,5911.3241178,6249.307880699999,6587.1975353,6908.231384400001,7195.0291601,7452.1094974,7673.7740172,7876.408106700001,8077.10129,8293.4983125,8543.1454699,8818.8843128,9112.6131209,9416.0265598,9720.6586498,10019.686246399999,10311.9355337,10597.9406735,10878.2747223,11153.550592699998,11429.6316039,11699.652324600002,11961.713793800001,12213.9481057,12454.508070400001,12698.1102432,12930.213603,13152.2434486,13365.6941571,13572.1372856,13782.9003355,13990.600259199999,14196.999577600001,14403.9047125,14613.1436045,14832.6798529,15050.2032554,15259.157152,15453.058891500003,15625.5417838,15777.314427899997,15916.049818799997,16055.8728778,16210.6307201,16394.0970695,16638.4192617,16913.3514813,17205.3798746,17500.473958399998,17784.0206926,18053.275690500002,18311.205772999998,18572.7679852,18853.011586400004,19167.1814153,19493.3541479,19848.648536999997,20214.0795424,20569.8029405,20895.022024499995,21191.087113499998,21463.255779599996,21739.4797204,22048.1116528,22417.867315999996,22878.224622100006,23406.116194399998,23977.593430599998,24567.818577899998,25150.9683487,25700.184933099998,26188.1221858,26586.7495809,26867.996927800003,27004.326351200005,5060000,5150281
21,湖北省,212064,73,212064,8191.25,2256.75,15090.331302430004,17725.650590820005,19446.259494340004,21303.07003821,23272.133715940003,25329.840339670005,27260.12982264,29416.818048799996,32301.77548000001,34782.18650874,37211.993980210005,39535.764631909995,41770.840736330014,43928.77734251,46021.54452599999,48061.130429549994,50055.86617673999,52014.457322120004,53945.43384693,55859.14469318001,57767.717869539985,59815.39322191002,61870.778501739995,63925.62551788,65971.52785596,67999.98155783999,70040.25656058002,72086.61728555996,74170.07919353004,76322.36113799998,78575.99319190001,80949.28885330001,83388.48945000002,85822.46331319999,88178.50879260001,90382.74526979998,92431.65842099996,94333.47140179996,96166.31400520002,98009.09495630002,99941.43096780003,102144.300932,104433.18547559998,106717.18282240002,108903.65784319998,110898.2369944,112706.56369880002,114269.35294400001,115625.1537506,116814.32385050003,117878.8794201,118913.85700359999,119861.53899399999,120713.45110719997,121461.20373069998,122096.48876019997,122649.43594949998,123140.85398510002,123625.5967482,124155.41223209994,124779.7959292,125699.36254379999,126699.75882430002,127713.73454369997,128675.33173669997,129520.11910489998,130264.9077814,130928.16075440004,131601.15390469998,132370.6643205,133319.70034619997,134280.5533142,135399.75601380004,136585.91644419997,137747.06497490004,138789.99616039995,139743.33970459996,140546.64207160007,141258.34862829998,141935.9851256,142635.67815349996,143455.99846310003,144331.1627885,145237.159679,146149.67347679992,147043.93424640002,147894.19062750004,148675.92512840003,149363.05118149996,149929.31567610003,150348.55809180002,30660000,30784846
22,湖南省,242395,72,242395,8045.5,1985.0,15156.816192640004,18696.13549581,20656.534709059997,22267.837203850006,23619.43886563,24774.404657900002,25604.611793430002,26522.264180070004,28013.635049769997,29140.833039929996,30310.113969239996,31547.594441819994,32867.23351788,34257.54103705,35705.77827730001,37198.30631536,38721.53686413001,40275.825631940024,41864.829013890005,43493.3424661,45167.062971600004,46998.64062910997,48900.18981320998,50883.780991850006,52961.673098579995,55146.27330992,57466.743507359985,59866.19577536999,62301.76187019001,64730.026370600004,67107.1229011,69403.6776461,71640.24873210002,73852.26085280001,76075.8136699,78347.4595334,80726.14027339996,83122.99400020001,85469.19623279998,87696.29877830003,89736.1202971,91660.97453270001,93416.63418419994,95085.5588092,96751.96834190004,98501.88918049999,100469.6113535,102558.5141688,104712.6129751,106874.57275149996,108986.13000889997,111059.23668409996,113053.18896559997,114994.97703500005,116911.95224750004,118831.55857690002,120800.17446410001,122782.00737519999,124759.67520460002,126716.96552339997,128638.54769849998,130694.39636130001,132731.1271376,134768.7718861,136826.6276169,138923.25822419996,141125.56492190002,143359.0875919,145595.76889440004,147808.53583649994,149970.747744,151807.75201350002,153533.02144990006,155124.9468339,156560.72360920004,157817.47846100002,158992.12759540003,159998.4466379,160864.27836159998,161616.00722059995,162277.90818399997,162935.67396339998,163543.90403629997,164119.75399729997,164681.37766280005,165247.87353639997,165838.56032070002,166475.0708145,167177.55257279996,167965.3378011,168856.0798522,30960000,31023500
23,甘肃省,293747,174,293747,17508.5,6589.0,3904.0972162699986,4746.769185949998,5154.995926460001,5453.816147689997,5673.2132654000025,5836.203250370003,5921.600134810001,6034.256096690001,6291.058927100002,6490.03626758,6735.433560629998,7042.442538810004,7411.024664340005,7832.147826709999,8296.45043705,8794.422784600003,9316.076571319996,9852.23722472,10393.264933420001,10929.065870679997,11449.13677759,11973.136668499996,12483.22971318,12990.54885505,13506.71925548,14043.759972820006,14617.61365133,15220.040079939994,15845.878776510004,16489.941304439995,17147.05624168,17813.01245877,18484.71736958999,19159.62286131,19834.961595610006,20507.752973740007,21185.290743080004,21854.589059379996,22512.729927379987,23157.10155019001,23785.37125344,24426.295702720014,25048.82633250999,25650.97243407,26230.619256970007,26785.56206071999,27334.73093258,27867.995520600005,28395.215366840006,28926.37418722998,29471.48352559,30050.963410099994,30636.466487920003,31209.252042410015,31750.81187112001,32242.996981700006,32681.316589869984,33071.44950146,33431.60853038,33779.59582735001,34132.88246385,34552.006174909984,34989.09867725,35437.15828349999,35889.13003992001,36337.85736542998,36793.975204519986,37251.06485512001,37719.50048819999,38209.463392000005,38731.06249410002,39224.17411651002,39729.055696140014,40218.616665779984,40664.85309895,41038.951063969995,41350.46012715001,41592.61331253,41796.62815412,41993.72666741001,42214.92988815999,42501.19092724001,42833.432116769996,43202.00311945001,43597.03082778,44008.30636182998,44425.073633000015,44836.65790025002,45231.608845020026,45598.12143759,45924.13808245003,107880000,108058300
24,福建省,155423,44,155423,5191.0,1144.5,13831.722000879998,17272.14761802,19051.192716029997,20366.143098500008,21353.166951750005,22116.331261519997,22588.342119250006,23180.24242545,24358.397373400003,25357.4689741,26588.711438600003,28113.626656700002,29908.709349400007,31908.7170938,34046.81464820001,36255.0174124,38483.9835625,40774.540580600005,43190.6944303,45798.5668146,48665.859208,51948.7559435,55467.63782719999,59113.939409099985,62775.378305800004,66336.8620586,69738.90496079998,72967.90372160001,76067.14797349999,79082.0814565,82060.02954519998,85040.49762240001,88013.4065679,90957.50884370001,93850.70505190002,96670.21742209997,99449.33650899999,102155.4876945,104811.0071744,107439.38611569998,110065.20003529997,112840.5693605,115576.52024479999,118202.0181567,120644.43577399998,122829.7794813,124799.44207470001,126539.61495300001,128149.59467929999,129730.93070710002,131386.5746786,133258.71834440005,135242.09192329997,137266.2902352,139261.02854970001,141156.77577359998,142934.1478918,144582.36279210003,146136.96907249998,147632.21624700003,149101.04141049998,150782.6024331,152517.7772181,154346.68592840002,156311.50118289998,158455.31550099998,160866.8902434,163433.7583179,166085.48211040001,168752.68056140002,171366.94569979998,173593.99345290003,175727.3519591,177810.618969,179887.41204289996,182001.96279399996,184311.0789303,186657.6998655,188989.496131,191252.63084330002,193391.6123745,195439.98130010001,197332.9511276,199092.98459260006,200742.52069089998,202304.17159170005,203800.09188949995,205254.81428039997,206690.86229699999,208129.8370738,209591.63668899998,15400000,15425000
25,西藏自治区,1253706,457,1253706,40305.0,14378.5,476.83494246000004,589.50943078,664.4596374299995,736.9042423499999,807.09061359,874.7661851599994,932.8291043500001,993.6341091499987,1073.69577519,1134.7865823700004,1188.9217584799997,1234.75338419,1274.6956281200012,1311.324151369999,1347.2376976300004,1385.0634283599986,1426.50351646,1469.7871786100002,1512.1927588200003,1550.9517632900006,1583.2528023500006,1610.8238319099992,1632.0158767500002,1649.7791269500015,1667.1776782000004,1687.3640250799992,1713.6368784799997,1745.0464181699988,1780.6562327299996,1819.486908840001,1860.5268942900009,1902.8251457200013,1945.4900626599992,1987.6961785799997,2028.6168521300012,2067.4270296499985,2104.6255404500002,2139.7789808300017,2173.7324321800015,2207.3268451100016,2241.3997386200003,2279.422575280001,2318.2494803000004,2357.274041990001,2395.8894242399983,2433.485680120001,2471.2765698900007,2507.4742456099984,2542.0190782199998,2574.86224899,2605.967287750001,2636.606759250001,2665.268814419999,2691.6797780700003,2715.5732518300033,2736.6901582099995,2755.5111679600013,2771.8059237599996,2785.9980113199986,2798.4502603,2809.461368529999,2823.3782818700015,2837.966190190001,2855.082688530001,2876.7219477300005,2904.975751790002,2942.193562030003,2984.5470899199995,3028.31329755,3069.7579714200037,3105.116144169998,3126.5127251500035,3140.5234347400046,3150.0030715999987,3157.920999790002,3167.4028443300003,3183.200094360001,3202.8335088200024,3225.15972107,3248.9615037499993,3272.95945717,3297.2815574200013,3320.092925619998,3340.963509330003,3359.4559407399993,3375.129035149998,3387.531919289999,3396.2601874100005,3400.8960012299976,3401.043703940002,3396.3378602100006,246240000,246705000
26,贵州省,223791,66,223791,6948.25,1739.25,4349.3120825999995,6001.504920509999,7030.331929100002,7839.537188870004,8484.488708760005,9002.587394170001,9357.02118305,9706.094133189996,10234.396902509998,10604.172272339996,10969.903149149999,11345.006039900001,11728.547064039996,12107.487025839997,12467.863938550001,12794.77996656,13075.30765683,13311.912723689999,13511.486675640004,13682.136101749998,13833.1857097,14005.716475299998,14175.644797520003,14349.380369450002,14533.422340890002,14734.324579190003,14964.064750439997,15216.096482899999,15488.84891864,15780.543912860001,16089.260487659994,16412.98831038,16747.39543794,17088.084420469997,17430.71229424001,17770.96601117,18113.272307040002,18443.501945859993,18755.773420470003,19044.090183629993,19302.31774298001,19553.083512679998,19787.428117570005,20025.11827489,20286.476319769998,20592.32894311,20971.40970595,21395.255502160006,21841.498612609998,22287.302633429987,22709.541236849996,23101.11491533,23449.618796980005,23758.291609220003,24030.570702250003,24270.015716249996,24486.8236381,24685.14971260999,24875.057420510002,25066.19477631001,25267.899268210003,25523.10896951,25802.05694463,26107.57219465,26442.803165200003,26810.941810319986,27224.34150183,27667.455736730004,28133.421108039987,28615.61473905999,29107.76160390999,29555.371725950004,29997.466502099993,30427.021502479998,30836.411634080003,31217.52567098999,31587.98272103,31938.83038080001,32286.362816179997,32646.96495751998,33037.05572876999,33482.25068855001,33965.69380727,34478.71171448001,35012.19261122,35556.49843454,36101.30306210001,36636.12074358001,37149.640693470006,37630.103537999996,38065.4333773,33800000,33888300
27,辽宁省,68753,63,68753,7725.25,2602.75,17443.20654444,20028.367761399993,21261.962808390006,22419.62447047,23519.208147790006,24574.518786120003,25420.343040449996,26432.22000231999,28067.9092446,29361.56824829999,30685.501162109995,32037.386358870004,33427.41844308,34846.774259050006,36285.54779712999,37732.91099684,39177.212737339985,40617.851538279996,42056.909797240005,43497.848565860004,44945.37688069999,46505.62048695,48065.49698618998,49606.274335400005,51108.74728640001,52553.36879390001,53953.7364692,55313.26657549999,56668.30161779996,58055.916390999984,59513.951416699994,61071.5002926,62710.988976,64404.32954469999,66122.85074089999,67837.25194229999,69555.42887619999,71231.41168670001,72855.43798569997,74418.00570820003,75909.79404129999,77420.35209330001,78852.18033969999,80202.67424759999,81469.4195548,82650.29573019998,83806.59050990001,84902.40202380002,85962.18441239999,87011.09200129998,88074.7424545,89212.75835219999,90350.2829693,91444.00844479997,92450.9518441,93328.75625549999,94075.50273499999,94723.7543951,95342.63252980002,95999.12019389999,96758.9000448,97800.1708919,98955.9352438,100165.81853849998,101368.72343520001,102502.69976980002,103569.75935460003,104579.04300510001,105600.48419070001,106702.47473909998,107952.36123280002,109215.7711006,110614.129671,112075.87057790003,113527.41104489999,114892.58911920001,116194.2016916,117377.90241769998,118487.36910450002,119566.31240290003,120658.04477580002,121841.83565720002,123054.66393279999,124267.16386189996,125449.0159113,126568.90712210002,127594.21592270002,128493.1164567,129232.4126994,129779.0452241,130100.66549980002,13230000,13277600
28,重庆市,94275,31,94275,3343.25,930.25,7490.13959848,9229.288209180002,10356.236875900004,11432.9338721,12470.65194267,13472.534006080003,14336.544898080001,15260.054893499995,16504.479697,17491.71287224,18415.521842790007,19260.661456320002,20054.955938130002,20824.833101259996,21596.99285462,22398.48117246,23244.769287439998,24109.399856940003,24954.002322240005,25739.401865140007,26425.743449739995,27047.49448887,27575.431647460002,28054.79254169,28532.60182149,29057.27767934,29676.4195025,30350.971527840004,31038.30062553,31694.579674820005,32274.883749940003,32748.29172232,33139.53357631999,33489.63966377999,33841.31335822999,34238.663492290005,34729.82331434,35272.820267259995,35827.361169699994,36352.4409226,36806.469937600006,37207.4102964,37533.21191409999,37821.779020099995,38112.18292700001,38444.654002300005,38877.574676,39376.0971858,39920.7897536,40491.7939119,41068.9248385,41653.00319609999,42203.62902790001,42700.6469361,43124.236365699995,43455.00307400001,43694.0748892,43865.04275769999,44009.761946599996,44168.62296510001,44381.0147962,44734.6739006,45147.698451000004,45584.778347,46010.57535459999,46389.6968276,46719.06682150001,47010.83050100001,47307.177241699996,47648.9545644,48075.997430100004,48533.898004500006,49064.92056870001,49621.0073618,50153.133639199994,50611.0466115,50994.3392048,51293.8967594,51550.36056739999,51804.4056164,52096.500428800005,52477.511220199995,52916.46336499999,53391.87578769997,53881.762635,54363.52925010001,54813.799414600006,55209.3328864,55526.16043919999,55740.34843,55828.41359730001,15500000,15500000
