,YEAR,全国,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
15,2016.066491342646,56144.57621170667,1419.228802197402,1018.8489144042951,2077.786506635208,1170.8635929639674,1274.6462117422368,2642.778374517094,1488.7767563212763,1813.8388621058878,1118.3928224062813,4445.994378247864,2813.7398108960747,2062.0192163901947,1529.4688382555905,1450.459726046643,5004.908392642909,2697.291136774983,2358.3462119376572,1725.1862803145646,6027.571372040132,1397.4137087398926,346.5647506068852,1420.8597765138804,2710.0557195802457,939.3776629040038,1142.3296478212621,150.16295591045642,1223.6199008782648,854.4050509090066,194.345954517785,473.29909789704635,1228.6962940760438
16,2016.5495317809016,58173.10150158631,1431.2608980943314,1067.3617924613472,2133.891874381486,1204.760191364454,1308.8875822951247,2698.3449352009798,1525.3672178238276,1834.1084579597587,1142.166596873356,4614.066435559021,2909.1617929701356,2137.988554418251,1609.7328939224176,1529.6388611256928,5214.194540342985,2789.8321026276417,2436.292219560041,1778.3811999407365,6237.705378134326,1457.9689677228207,361.88972190351586,1511.2392025583106,2860.2248423873193,1019.696966625603,1209.4774296875794,158.07778150821196,1295.5506056817894,880.8963199982903,203.43046501512853,491.9948001564468,1281.9974801330825
17,2016.9911999881265,60159.61331065282,1442.4372299372524,1115.9236430986973,2187.8853836854437,1237.502507701271,1341.8313223111313,2751.212636376115,1560.4175906227622,1853.0337774325963,1164.7956830440696,4779.184228766596,3002.212443855805,2212.4856947053995,1690.8277546257275,1609.9607404302658,5421.384178495231,2880.1416245008522,2512.176164790473,1829.9499823442159,6442.989275230575,1518.0916509946153,377.13098623071625,1604.516520216426,3012.8008865666393,1106.134235620955,1278.1420197847021,166.0780444318052,1369.1066848546454,906.5861684615779,212.50902356262216,510.42154405512946,1334.9226071879386
18,2017.3950235790285,62097.629730777044,1452.805383448113,1164.338229957472,2239.678045932096,1269.022909903857,1373.4241672712571,2801.3749663747008,1593.8902441335345,1870.6750559973011,1186.2758043895437,4940.775789303791,3092.617183843758,2285.2609125337367,1772.4339380741583,1691.1189790312314,5625.684802801782,2967.94783525335,2585.7843870651154,1879.7672135095845,6642.788570464834,1577.5462809401793,392.22820915707075,1700.438296351188,3167.2113469033293,1199.024793140877,1348.0886866652916,174.1323166198042,1444.0367176614513,931.4113110202674,221.5450274755245,528.5122986208606,1387.264259960771
19,2017.7642320007035,63981.36296652218,1462.4123847264345,1212.4116878906605,2289.205026948774,1299.2682152692587,1403.6275930265524,2848.8468142594347,1625.7630314649916,1887.094325345606,1206.6119239944044,5098.32113859827,3180.1375616630166,2356.0894566823704,1854.2237747786476,1772.79396891313,5826.348813313139,3053.013361610551,2656.9336565258604,1927.729508786572,6836.545272778019,1636.107907219091,407.1233409244919,1798.7145908360299,3322.8549092522853,1298.699733201524,1419.0633242962776,182.20830615020606,1520.0685214491468,955.3193939352908,230.5025576500544,546.2051138992797,1438.8242210338583
20,2018.1017813039948,65805.77047899537,1471.304322514371,1259.955603202864,2336.4245416040685,1328.199336602957,1432.417119313054,2893.662103866796,1656.0281829973032,1902.3545323918333,1225.8172480483317,5251.357823589897,3264.5726283555805,2424.7737187377966,1935.8666358258345,1854.6578291367673,6022.68377855278,3135.1368384818247,2725.4719601882025,1973.7554552525553,7023.781904133089,1693.5653749970031,421.76148225615157,1899.0216037833886,3479.1106023692573,1405.4813263708184,1490.7958966649246,190.27337128536223,1596.9128406444256,978.2689891044951,239.34694295773218,563.4438730779941,1489.416354988854
21,2018.4103769282128,67566.58591193602,1479.5260422766028,1306.7899102105564,2381.316383479839,1355.7906635846732,1459.781394066011,2935.8713531348094,1684.6910329209268,1916.5187761598756,1243.91219223576,5399.484808189631,3345.7593761468197,2491.1446487204653,2017.0342614909143,1936.3796354277217,6214.06096919988,3214.1535105572075,2791.2785391809916,2017.7850853430666,7204.103424547081,1749.7241493849308,436.09164753879713,2001.0053068151071,3635.3476098511983,1519.6777907683245,1563.0043970461268,198.29504643002724,1674.267587306706,1000.229352697642,248.0452828668148,580.1788703339711,1538.8691036034038
22,2018.692494646606,69260.33047330404,1487.1209051014507,1352.7455116781803,2423.8801751023607,1382.0292269910371,1485.7211108809954,2975.539232944773,1711.7686353537847,1929.6496581553831,1260.9233433090947,5542.364718279035,3423.5723138801604,2555.0624312336877,2097.406009086328,2017.6307534562184,6399.921977985529,3289.934984089079,2854.263246827739,2059.7789461908924,7377.197192422979,1804.4086242591595,450.0674045843905,2104.2859975161127,3790.9354166788385,1641.577438165928,1635.39920422356,206.2415620827346,1751.822507190421,1021.1799798588683,256.5669120848531,596.367207311316,1587.0275283952865
23,2018.9503998110738,70884.30617982688,1494.1306042448334,1397.6665461347275,2464.1334226845374,1406.9136954319174,1510.2478108296873,3012.7421876056032,1737.2883221619932,1941.808739616542,1276.8824430527404,5679.724506373238,3497.9222774744917,2616.416465449675,2176.6738431376957,2098.0900940499964,6579.7833366563445,3362.3882192915507,2914.3653165209116,2099.7168369346555,7542.831148580379,1857.4638701546921,463.64737666459837,2208.4636697330934,3945.253945477075,1771.4422298470547,1707.6876956754106,214.08234121003872,1829.2641213869229,1041.109991109963,264.88379421862317,611.9730093286913,1633.7548601120711
24,2019.1861650259095,72436.57295037927,1500.5950322149051,1441.4122441528666,2502.10945413263,1430.4532536088973,1533.3826165007738,3047.566166599715,1761.2862485344976,1953.0560975312246,1291.8254165379853,5811.354659993319,3568.754592421158,2675.124715921501,2254.546905813287,2177.449113120287,6753.239132231378,3431.4538733499357,2971.5516405893463,2137.5962894511963,7700.850461664557,1908.7568030106181,476.7955993545745,2313.124049052935,4097.703338207084,1909.5008064374224,1779.578962986358,221.78845583269197,1906.2807777992587,1060.0173878749997,272.97083521407217,626.9674697741581,1678.9335386099754
25,2019.4016863718634,73915.91194040552,1506.5521915655881,1483.8583368422348,2537.8553111571237,1452.6664082718544,1555.1549411841956,3080.1045050214598,1783.805965337203,1963.4499703991794,1305.79146135476,5937.107122669834,3636.0467156063255,2731.13251862648,2330.7555292160823,2255.416393781883,6919.9617075074675,3497.104115530215,3025.8146669467733,2173.430867078639,7851.172903606779,1958.1767813210624,489.4817314265198,2417.8451060340035,4247.713059525295,2055.9410898507676,1850.7884688111612,229.33302986392246,1982.567640325137,1077.9082142775526,280.80611137315515,641.3287372814947,1722.4657492922838
26,2019.5986982936577,75321.77774300089,1512.038142974175,1524.8980014684848,2571.429656642831,1473.5797635819356,1575.6012101257795,3110.455978818931,1804.8970498601964,1973.0464842975532,1318.8222096294971,6056.89212722373,3699.8054863720954,2784.4109375791118,2405.0545816653866,2331.72167173079,7079.700600381339,3559.340039833085,3077.170019951097,2207.2483516683546,7993.78323732984,2005.6356621320824,501.6811251640254,2522.2038326123684,4394.750036689666,2210.9025929290715,1921.0424881140789,236.69157719067823,2057.8314472457914,1094.7956603966106,288.3710107509205,655.0416649526384,1764.2734824890558
27,2019.7787872561946,76654.24215486155,1517.08698467366,1564.442349756509,2602.9007478448293,1493.2268020380995,1594.7636242742897,3138.7230508647644,1824.613819237257,1981.8994497738174,1330.9609702662585,6170.674157674482,3760.0641128055113,2834.9547720934993,2477.2260749534,2406.119195401862,7232.27993017285,3618.188798028538,3125.6539466138765,2239.0888825675283,8128.72689689849,2051.067365157268,513.3747666843105,2625.783051892618,4538.325604339821,2374.468611891236,1990.0821888427222,243.84226739659357,2131.7948836218125,1110.6991389179107,295.65029044898387,668.0974439990158,1804.2981588213584
