,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
18,1439.826541250594,1128.9073873710104,2194.6017559760176,1243.2036126615087,1349.8950426948998,2754.001644375182,1565.8910021335046,1852.5535090597657,1167.0056853651965,4829.4604869128,3022.9715435812823,2230.9754670066545,1726.5003841832602,1641.8382730042495,5486.263272315154,2899.4537643694193,2520.033038196376,1838.5302807617838,6502.014883603104,1534.8096141466872,381.55426223666433,1653.1139460623037,3065.692672385674,1157.4704471142757,1311.913554362207,169.05004308182555,1398.3569514232777,911.0296377297341,214.98305975839367,517.0634133990646,1355.086728692248
19,1446.8366521272576,1163.8809417291502,2230.942969838622,1265.5057618094074,1372.4514424457955,2788.865218001955,1589.4740032451548,1864.7138822790184,1182.0031422047766,4946.504468450154,3087.4489467725152,2283.1820675236127,1787.6619315676703,1702.2223049069719,5634.692079909105,2961.996730856493,2571.5767599224655,1873.7331281668964,6645.991310274164,1577.7944616052932,392.49757176313307,1726.9743334105683,3179.5865789209433,1231.9258218827044,1365.1838059932843,175.01603821486142,1454.296204459952,928.599221663049,221.5253673102038,530.299635092802,1393.6614157699466
20,1453.1430186268044,1196.933698342259,2264.3660504625973,1286.070604835312,1393.2024963600297,2820.693984881722,1611.102021124811,1875.688591309577,1195.700065911933,5055.721340179156,3147.285385628528,2331.8207631508053,1845.951134974891,1759.9175728992152,5773.933835902936,3020.06443185437,2619.331461238995,1906.2678474071292,6779.810099315279,1618.1912521519578,402.7950925957112,1798.6052970841656,3288.4855939933186,1306.8584248634752,1416.4507147573802,180.7004154915915,1508.0707140004674,944.841390322573,227.70196960463218,542.6825303557393,1429.9450519536388
21,1458.8108225258127,1228.0193865342974,2295.013861096509,1304.973092509846,1412.2354599763742,2849.683776388332,1630.8827441992805,1885.5805440689762,1208.1794161222006,5157.220670422247,3202.6110044139523,2376.9563100080914,1901.2082953945248,1814.7447129563902,5903.98084788504,3073.777331125387,2663.4186298877385,1936.2355641755637,6903.7172752129445,1655.9840210455673,412.4403309902051,1867.6559717484163,3392.040446240676,1381.7753303480135,1465.5064597189264,186.0878141678625,1559.46995842753,959.8056465462987,233.50532402978178,554.2180638004447,1463.9174536300663
22,1463.900310509912,1257.1214486315732,2323.0401550075635,1322.2967349710611,1429.6445625789117,2876.031242440339,1648.9285841652797,1894.486261093014,1219.524728681154,5251.1917154776065,3253.5921274388584,2418.687369886814,1953.3277197960024,1866.5776060950657,6024.939631115032,3123.2916791868515,2703.9865185677672,1963.7533063019553,7018.044906728919,1691.190908547394,421.43564218858165,1933.8329840460176,3490.0021520788823,1456.1840248699343,1512.188571423156,191.16814055498847,1608.3314496839944,973.5495604314149,238.93339217213895,564.9218229385554,1495.5894492283667
23,1468.466936287822,1284.2498497486658,2348.605197057865,1338.1307975020695,1445.52827437058,2899.9305831393162,1665.35402635246,1902.4957283072179,1229.8186834070284,5337.8886996957945,3300.422857389527,2457.139838266192,2002.2543483483546,1915.3407955879009,6137.013846517944,3168.791369740653,2741.2034338956573,1988.949473925134,7123.19242331533,1723.8594296197837,429.7910679751056,1996.9030657519606,3582.2175421849943,1529.6052719242098,1556.3796325208882,195.93623189420123,1654.5400838976393,986.1365042850458,243.98901792496005,574.8174131311,1524.9987336358822
24,1472.5615554410376,1309.4375128075148,2371.8720252002554,1352.5678529970771,1459.9869673216313,2921.5709637621876,1680.2734249374425,1909.692400520473,1239.1419658862146,5417.616635665664,3343.3173520282794,2492.4605061402826,2047.9791513279968,1961.0055375139693,6240.486985435226,3210.480425606808,2775.2516495048267,2011.9598118062854,7219.609220879322,1754.0615760265468,437.52311452713786,2056.693277758841,3668.6221353722003,1601.5852464256345,1598.0054591931087,200.39140176872286,1698.0259408856305,997.633634419728,248.67924361214006,583.9348737719502,1552.2055312408593
25,1476.2306566850336,1332.7365947562457,2393.003344118346,1365.7017027900665,1473.1209666440257,2941.134543260541,1693.7992201733057,1916.1533214028368,1247.5723943422179,5490.718136167151,3382.502932608736,2524.811235951102,2090.5336915998655,2003.5848677878453,6335.705552338366,3248.57627099248,2806.3220414032144,2032.923925524525,7307.778961562782,1781.8889828290066,444.6535319614798,2113.08911614737,3749.2310764728636,1671.7062996037844,1637.0320531849331,204.5369057121014,1738.7608477044944,1008.1101419633907,253.01460380419206,592.3091749462541,1577.2882815045418
26,1479.5166162825913,1354.2147865686054,2412.159017383208,1377.6256581479088,1485.028973391107,2958.7950392459347,1706.040542454804,1921.9493306751313,1255.184279151558,5557.561521206178,3418.2141026452323,2554.363766622668,2129.984226289576,2043.1280603076855,6423.063313765664,3283.303873564396,2834.609487057215,2051.9823484609783,7388.205798953567,1807.4483401610494,451.20814440625196,2166.030867583815,3824.128846109652,1739.5958395587497,1673.4616436377323,208.37936337296313,1776.754045984704,1017.635777244728,257.0084299045427,599.9788370199497,1600.3395161265912
27,1482.4579650370088,1373.951781047441,2429.4941073464147,1388.4311608720964,1495.806827660782,2974.7167510301933,1717.10216086533,1927.1453339686848,1262.0479816695117,5618.530392363995,3450.687495190994,2581.2952064129036,2166.4256764850775,2079.714816524308,6502.987004709042,3314.890779951354,2860.3090250685113,2069.274140279019,7461.402616342712,1830.8571799387255,457.2157664821525,2215.508632488431,3893.4583910121855,1804.9329766671583,1707.3281375751305,211.92816913892887,1812.047297040809,1026.2796390031563,260.67619119945334,606.9847001447946,1621.462051097806
