,YEAR,全国,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
1,2001.771427884266,182125.91197751544,5728.419699531588,8945.444001129215,8530.618301214137,2779.274013043227,3982.6075383302846,8205.927346065524,4224.243764039845,4625.183500879626,6316.480359222477,22825.88346984817,13580.67753685326,6148.2371583654285,4716.833353841557,3112.691881941778,19411.19984395979,7744.168966391966,7795.683429285356,4292.93639816692,16603.964000258944,2728.188552904572,1450.7391572405654,2945.5039324741106,6384.572287212369,1642.3598327052723,2138.951559198534,209.5968069189599,2539.751929666142,1623.1711479428968,382.8437352879362,824.6229311644198,2282.9451334496484
2,2003.7760234067766,203399.88513321627,6340.938745166639,9773.904877767436,9271.05144065449,3087.3460360313566,4439.9242092444965,8981.770519437505,4642.281129209534,5068.676266054727,7037.427714600237,25457.51209563125,15122.495631042368,6950.5870026333,5255.867129951574,3522.462617468257,21552.618938827287,8592.685608701524,8694.14596500256,4815.059840479487,18721.160480353316,3085.5256353785167,1610.6895306219546,3349.9433684795213,7215.613263181308,1854.8108299221474,2435.9453496314795,235.8207956812227,2845.7575697387824,1820.4985900372405,435.54707631911435,898.2110542995234,2536.8862166470153
3,2005.536917376849,226608.14976680465,6996.904203731219,10637.694305432775,10034.712314146325,3419.698571547583,4936.974944642967,9793.628730570163,5083.350012113566,5533.920223718803,7820.001938816302,28320.27035723571,16794.207778924963,7848.630378855368,5841.132428056223,3982.090310094079,23860.53343173773,9505.89142717867,9671.444874407616,5389.814991306597,21077.627591581833,3485.84026585652,1783.055296014731,3808.4341590214317,8145.182456255849,2092.09091425226,2773.606895063047,264.8777313346689,3181.8927295125595,2037.6949914465574,495.3338136735364,974.454813245638,2811.040385549583
4,2007.0833810443426,251798.57560595093,7694.843198118913,11531.21612831535,10815.840092779552,3776.1072622044862,5474.309522801144,10636.596970133158,5545.294598131571,6018.256691943346,8664.816170435326,31417.952659010632,18596.657683353897,8851.339861728638,6473.126116274272,4496.5207674347,26332.87340613248,10482.6844192265,10728.856819271248,6019.837761149365,23692.35976652872,3933.26011561436,1967.6772374846164,4327.769053475169,9182.359892674756,2356.392365400747,3157.336401926899,296.95924386994284,3549.489997145962,2275.7498667338027,563.1057668059523,1052.8096941480223,3105.267849119515
5,2008.4412519058828,278990.4813520584,8432.320980158498,12447.955675832782,11608.101750332375,4155.870325511434,6051.8204057272715,11504.833792170417,6025.375296861406,6518.463739202743,9571.42798037266,34750.62294489866,20528.399335688326,9967.87994720476,7151.558654661434,5070.888308393976,28964.233991540525,11520.634218010238,11866.383253467346,6707.249818894679,26583.78954780675,4432.030659290111,2164.146907628924,4915.469980960128,10336.372850570982,2649.9147085169675,3593.2015467582314,332.2412449258873,3949.5494859196474,2535.4573657195733,639.8650058941969,1132.6634824785804,3419.0369655391437
6,2009.633317495858,308169.17531329225,9205.90196863218,13380.647708624,12404.78933499756,4557.7633285177535,6668.64033007946,12391.696823111864,6520.310291323363,7030.824207142658,10538.186908387266,38314.00415854052,22585.388418742925,11207.422123122244,7875.238708708116,5710.435823629039,31745.58446301101,12615.880202173412,13082.542598753607,7453.497022652462,29769.17018347763,4986.437793119395,2371.785114154011,5579.830092590389,11616.396778736242,2974.8097057214213,4088.0053319807034,370.8757221956449,4382.646663090602,2817.355275491222,726.7207447770548,1213.3541890742733,3751.3849382526287
7,2010.6796607516414,339281.06270018476,10011.156514100969,14321.494364955417,13199.043651698576,4980.012882039113,7323.058156572431,13289.930177048162,7026.349393598477,7551.2251243463315,11562.11385617147,42098.9649577652,24760.7473425366,12578.909369382784,8641.981120779637,6420.408633705427,34664.11368000003,13763.086137147046,14374.19585854083,8259.182576500987,33263.84858762777,5600.707695698707,2589.630632547232,6329.9467964782425,13031.304403451872,3333.113591859508,4649.356394622562,412.9815727406748,4848.839834529938,3121.6621144668047,824.8953826836924,1294.191416658831,4100.893662957178
8,2011.5979697108764,372229.7834274129,10842.719888828313,15262.420195331786,13984.088810363204,5420.294538347031,8012.462668203998,14191.89380905604,7539.378031208091,8075.283759806686,12638.827287514488,46091.160069113204,27044.635128941718,14090.767220791911,9448.549472484237,7205.919390957462,37703.246961443765,14955.464273322414,15736.424903756471,9123.904568162345,37080.43973661837,6278.882170951139,2816.4417510009785,7175.74141501486,14589.36086373934,3726.6665079543004,5285.740308589483,458.63478090517896,5347.583382101239,3448.215982905299,935.7291759418507,1374.479749071728,4465.685215829369
9,2012.4038143926196,406873.86108017043,11694.40595731472,16195.347037490279,14753.460774293986,5875.758862909763,8733.323559122244,15089.820050716327,8055.04601457833,8598.492584403386,13762.530039541878,50270.87917346702,29424.250098518653,15750.561605255287,10290.643680473047,8071.7824039051775,40842.85955818483,16184.877460920181,17162.482122404374,10046.109921258732,41227.92547800215,7024.668931769423,3050.7125044629306,8127.960093142272,16297.866137490479,4157.020086646921,6006.589816462548,507.85840029713984,5877.65401612522,3796.419726697306,1060.6828880200994,1453.5425022252743,4843.4404637833195
10,2013.110893703647,443026.3060696835,12559.37295547361,17112.469086986486,15501.213774586628,6343.087572011856,9481.217155072212,15976.079329258784,8568.912925620041,9116.373179815142,14926.06741909934,54613.15057244218,31883.985822877836,17564.607990103395,11162.940795000803,9022.317533522548,44059.696815393574,17442.02156348069,18643.827139732628,11022.978500154119,45710.71463187447,7841.268061696023,3290.704323834848,9198.149521669133,18162.750703722704,4625.335442771483,6822.351176689141,560.6129551244383,6437.097955711796,4165.197604969494,1201.3376188799082,1530.7441316523268,5231.442622561835
