,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
324,SSP5,2020,857468.3929680001,1382637623,764262.5733849998,62748.129576900006,152090138530,3410,94321523.22919999,21521312010.879993,34702353852385.0,19181970362.569996,1574894288.5740001,14328194.168499997,13785982.497070312
325,SSP5,2021,911303.0104470002,1385082190,806818.5523229998,64894.047760900015,152359040900,3410,100243331.15449998,22872489044.850002,34763709584900.0,20250068625.789993,1628753970.501,14745278.077,14230984.266601562
326,SSP5,2022,966426.3386770003,1386948868,849116.6513560002,67020.63908109999,152564375480,3410,106306897.25579996,24256010999.479996,34810557300521.0,21311694447.05,1682128573.774,14687088.785500001,14675342.225585938
327,SSP5,2023,1022678.189287,1388313527,890966.5036369998,69123.33914939998,152714487970,3410,112494600.8237,25667857357.579994,34844821864441.0,22362069873.249992,1734903538.4939997,15064471.825500004,15118700.030273438
328,SSP5,2024,1079902.086314,1389250954,932193.476337,71197.9520342,152817604940,3410,118789229.49170002,27104100783.879997,34868366795839.0,23396811852.2,1786973552.5750003,15368509.609500002,15560713.015625
329,SSP5,2025,1137945.5615839998,1389836775,972640.7089030001,73240.68990579998,152882045250,3410,125174011.777,28560914530.920006,34883052670566.0,24411983396.699997,1838243546.077,15748713.078999998,16001048.233398438
330,SSP5,2026,1196596.779989,1390136134,1012170.301268,75248.20550980001,152914974740,3410,131625645.7975,30032981817.600002,34890578807011.0,25404123395.449997,1888629507.9540002,15956496.904500002,16439384.434570312
331,SSP5,2027,1255727.6258160002,1390173880,1050663.6482449998,77217.6170852,152919126800,3410,138130038.83740002,31517087112.54999,34891506840534.0,26370255019.670002,1938059109.488,16697344.524999999,16875412.03125
332,SSP5,2028,1315193.825961,1389964623,1088020.9764430001,79146.5255117,152896108530,3410,144671320.8574,33009609351.07,34886257784393.0,27307874088.170002,1986472136.0560002,16892180.801500004,17308833.163085938
333,SSP5,2029,1374856.18205,1389523127,1124160.192832,81033.02365029999,152847543970,3410,151234180.03059998,34507054846.11,34875182484050.0,28214920175.65,2033820720.9789996,17382099.583499998,17739361.65234375
