,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
81,SSP2,2020,867729.6957430001,1397585052,763766.53452,62692.759681400006,97830953640,2170,60741078.70170999,21778857013.460003,35077527441400.0,19169520450.16,1573504578.0429995,13550360.299499998,13306311.7734375
82,SSP2,2021,922208.8726150001,1403000060,806071.3674330002,64815.424438400005,98210004200,2170,64554621.08488001,23146211627.22,35213432531814.0,20231315282.839996,1626780629.9579995,14109319.908000004,13796015.8203125
83,SSP2,2022,977118.362703,1407595786,848070.7410840002,66915.37687870002,98531705020,2170,68398285.39037,24524366529.129997,35328791880310.0,21285443494.380005,1679486633.0189998,14270866.979,14255494.7734375
84,SSP2,2023,1032188.5667059999,1411444558,889572.5158059997,68988.00344569999,98801119060,2170,72253199.67081,25906555134.539997,35425374297939.0,22327082639.269997,1731506793.0550003,14833591.355500001,14686597.8359375
85,SSP2,2024,1087174.8299010003,1414618554,930400.7233629999,71029.07850230002,99023298780,2170,76102238.09791002,27286636937.83,35505029678939.0,23351816145.710003,1782735052.301,15010429.242499998,15091125.8046875
86,SSP2,2025,1141856.1710290003,1417189973,970397.5524060001,73034.80026219998,99203298110,2170,79929931.97150002,28659065606.160007,35569586056304.0,24355683162.870007,1833075991.0129998,15473625.2645,15470831.125
87,SSP2,2026,1195945.140696,1419230517,1009424.4749,75001.8185066,99346136190,2170,83716159.84809999,30016626541.61,35620788772101.0,25335206819.83,1882445523.1420004,15762671.848999998,15827417.875
88,SSP2,2027,1249321.4234799996,1420809596,1047362.5263580001,76927.25383039999,99456671720,2170,87452499.64699998,31356299985.210003,35660407198865.0,26287401266.329998,1930771379.3680003,15917667.473,16162541.8046875
89,SSP2,2028,1301825.420629,1421996005,1084111.8066350003,78808.70832610002,99539720350,2170,91127779.4414,32674080226.44,35690196114654.0,27209759145.929993,1977993375.6859999,16287216.440000001,16477810.21875
90,SSP2,2029,1353316.6968639998,1422858456,1119590.32967,80644.26777840001,99600091920,2170,94732168.7769,33966442523.08,35711859924993.0,28100222711.2,2024063467.6690001,16543986.072,16774782.140625
91,SSP2,2030,1403672.91529,1423465735,1153732.3937679997,82432.4955951,99642601450,2170,98257104.07149999,35230316382.8,35727078149061.0,28957142942.79,2068945598.5930002,17075527.5705,17054968.171875
92,SSP2,2031,1456665.323035,1423879954,1186486.67799,84172.418801,99671596780,2170,101966572.62259999,36560355075.21,35737493711562.0,29779231751.370003,2112615348.3950007,17301523.244,17319830.609375
93,SSP2,2032,1508610.2031430001,1424136090,1217814.281059,85863.5067376,99689526300,2170,105602714.2209,37864102225.2,35743916303419.0,30565512767.919994,2155059398.217,17562246.466,17570783.328125
94,SSP2,2033,1559424.968971,1424262578,1247686.894825,87505.64298579999,99698380460,2170,109159747.82890002,39139485013.93,35747068042232.0,31315275498.079998,2196274825.8289995,17655785.03,17809191.8515625
95,SSP2,2034,1609040.389155,1424287831,1276085.271017,89099.09131979999,99700148170,2170,112632827.2495,40384765827.87,35747713727211.0,32028036830.32,2236268252.0450006,17862853.3265,18036373.375
96,SSP2,2035,1657399.8161769998,1424240180,1302998.0742219999,90644.45658,99696812600,2170,116017987.1351,41598522889.09,35746537371616.0,32703512262.309994,2275054857.056,18200779.417500004,18253596.6953125
97,SSP2,2036,1704639.6233939996,1424138755,1328421.1568959998,92142.6413478,99689712850,2170,119324773.6407,42784178989.03,35743969787916.0,33341597702.729996,2312657294.764,18320357.254000004,18462082.2734375
98,SSP2,2037,1750549.6912560004,1423966128,1352357.2201369999,93594.7994804,99677628960,2170,122538478.3874,43936460408.28,35739650474138.0,33942360937.0,2349104525.559,18393504.794,18663002.140625
99,SSP2,2038,1795105.714509,1423695938,1374815.7787049997,95002.2875414,99658715660,2170,125657400.02110001,45054757111.28001,35732853459326.0,34506040776.729996,2384430596.9960003,18558681.134,18857480.0859375
100,SSP2,2039,1838293.0902099996,1423301333,1395813.312245,96366.61524659998,99631093310,2170,128680516.32750003,46138702591.07001,35722967154372.0,35033050838.270004,2418673400.856,18570106.1285,19046591.390625
101,SSP2,2040,1880106.2311629993,1422755965,1415373.471799,97689.39598839998,99592917550,2170,131607436.17449999,47188156610.37999,35709260014999.0,35523984730.600006,2451873431.6740003,19078028.425499994,19231363.0546875
102,SSP2,2041,1919929.4736149998,1422034170,1433527.2170960004,98972.2986081,99542391900,2170,134395063.1624,48187666837.45,35691147489036.0,35979619506.759995,2484072574.8120003,19283966.069499996,19412773.7109375
103,SSP2,2042,1958359.2511459999,1421114297,1450312.7886190002,100217.0013681,99478000790,2170,137085147.5772,49152202950.909996,35668077978061.0,36400914943.21001,2515312952.548,19369011.86800001,19591753.640625
104,SSP2,2043,1995413.964257,1419975880,1465775.4445610002,101425.1492955,99398311600,2170,139678977.49879998,50082226783.89,35639480544111.0,36789006966.57,2545635852.7819996,19633706.821000002,19769184.71875
105,SSP2,2044,2031118.4385519996,1418598252,1479966.9444530003,102598.3156286,99301877640,2170,142178290.7096,50978361424.73,35604918345672.0,37145194667.06,2575080761.7850003,20172564.813499995,19945900.453125
106,SSP2,2045,2065503.3098140005,1416960885,1492944.7851590004,103737.96837890001,99187261950,2170,144585231.6953,51841375795.78999,35563811139651.0,37470921145.57001,2603684524.3789997,20316015.336499996,20122686.03125
107,SSP2,2046,2099098.9699510005,1415044767,1504771.2332759995,104845.44256810001,99053133690,2170,146936927.8997,52684582017.009995,35515734557460.0,37767749206.829994,2631480648.0700006,20765873.9115,20300278.28125
108,SSP2,2047,2131477.9830199997,1412837559,1515512.2159129996,105921.91871980001,98898629130,2170,149203458.8139,53497252021.42,35460338682289.0,38037333531.600006,2658498762.64,20924415.568,20479365.6015625
109,SSP2,2048,2162684.443804,1410328361,1525236.1369269998,106968.40797229999,98722985270,2170,151387911.06519997,54280492530.64001,35397347664730.0,38281390969.47,2684764245.7619996,21150119.794999994,20660588.0859375
110,SSP2,2049,2192765.9875000003,1407506471,1534012.68982,107985.74391159997,98525452970,2170,153493619.1253,55035499120.14,35326520466425.0,38501670730.259995,2710298019.7799993,21480901.489500005,20844537.4609375
111,SSP2,2050,2221773.265066,1404361056,1541911.7285590002,108974.58112670001,98305273920,2170,155524128.5548,55763543065.299995,35247600739939.0,38699926057.68001,2735116513.8339996,21817676.11799999,21031757.03125
112,SSP2,2051,2251950.9038110003,1400889146,1549002.240843,109935.4000906,98062240220,2170,157636563.26349998,56520961513.53,35160458234287.0,38877888450.18001,2759231787.399001,21983296.024,21222741.8203125
113,SSP2,2052,2281276.7978919996,1397119454,1555351.4618080002,110868.51803499996,97798361780,2170,159689375.859,57257002305.16,35065845387984.0,39037245421.54001,2782651802.108,22065091.795,21417938.4375
114,SSP2,2053,2309809.773,1393088299,1561024.1409480004,111774.1048997,97516180930,2170,161686684.11959997,57973141891.590004,34964671343730.0,39179622094.229996,2805380823.422,22058273.084999997,21617745.125
115,SSP2,2054,2337610.0532890004,1388832124,1566081.971854,112652.20371640002,97218248680,2170,163632703.7299,58670891815.4,34857825260010.0,39306566898.34999,2827419931.7000003,22039867.377000008,21822511.7734375
116,SSP2,2055,2364738.84794,1384387547,1570583.1773539996,113502.7542204,96907128290,2170,165531719.35769993,59351788347.84999,34746281220014.0,39419541147.63,2848767613.676,22066858.4515,22032539.953125
117,SSP2,2056,2392595.8003100003,1379790738,1574582.236341,114325.61871739998,96585351660,2170,167481706.01999998,60050960665.46001,34630902793116.0,39519912191.810005,2869420414.2330003,22169203.820499998,22248082.78125
118,SSP2,2057,2419906.5334050003,1375076975,1578129.739676,115120.60910159997,96255388250,2170,169393457.3385,60736423608.03999,34512591405995.0,39608949789.51,2889373611.7300005,22358144.8025,22469345.0546875
119,SSP2,2058,2446729.0754199997,1370281448,1581272.348649,115887.51375530001,95919701360,2170,171271035.2878,61409633604.96,34392245904112.0,39687825077.799995,2908621894.635999,22621479.8585,22696483.234375
120,SSP2,2059,2473120.980168,1365439279,1584052.8433359999,116626.12364659997,95580749530,2170,173118468.62869996,62072035183.49,34270709885889.0,39757611784.21001,2927160017.0280004,22724109.8215,22929605.40625
121,SSP2,2060,2499139.004055,1360585556,1586510.235481,117336.25616669998,95240988920,2170,174939730.29610002,62725052852.19,34148878322279.0,39819289046.21001,2944983395.0829997,22885222.006000005,23168771.2265625
122,SSP2,2061,2525785.218967,1355753368,1588679.9323929995,118017.77662790002,94902735760,2170,176804965.33460003,63393837275.15001,34027583276740.0,39873745542.92999,2962088649.0260005,23162010.796000008,23413992.0703125
123,SSP2,2062,2552143.5068630003,1350967743,1590593.9364480001,118670.61626940001,94567742010,2170,178650045.47409996,64055395115.17,33907477359532.0,39921784486.68,2978474052.7509995,23258770.16750001,23665230.9140625
124,SSP2,2063,2578263.788006,1346251490,1592281.0651800002,119294.7867496,94237604300,2170,180478465.16210002,64710979303.99999,33789095269471.0,39964129167.44,2994139898.402,23281084.164999995,23922402.375
125,SSP2,2064,2604194.0754300007,1341627530,1593767.1825759995,119890.39081540004,93913927100,2170,182293585.28079998,65361794903.62,33673065575934.0,40001428731.310005,3009088765.504,23405756.14999999,24185372.6953125
126,SSP2,2065,2629980.2322940007,1337118888,1595075.436711,120457.62913200002,93598322160,2170,184098616.26979998,66008993016.590004,33559908433460.0,40034264162.729996,3023325689.8490005,23817701.174499996,24453959.7890625
127,SSP2,2066,2655737.195937,1332744193,1596226.4906740002,120996.80351089999,93292093510,2170,185901603.72439995,66655458421.80001,33450103268724.0,40063154080.25,3036858247.0810003,24367861.765499998,24727933.1484375
128,SSP2,2067,2681396.188187,1328505062,1597238.748344,121508.31669060001,92995354340,2170,187697733.1801,67299464873.829994,33343694838635.0,40088560397.69,3049696545.0210004,24699740.679,25007013.953125
129,SSP2,2068,2706994.0812489986,1324399208,1598128.570138,121992.66934790001,92707944560,2170,189489585.69269997,67941937817.27999,33240682950295.0,40110893737.03999,3061853150.2000003,24801605.2865,25290875.0
130,SSP2,2069,2732564.8197880005,1320424001,1598910.4731070003,122450.4543486,92429680070,2170,191279537.38839996,68583729222.41,33140858239065.0,40130518456.0,3073342942.6510005,25397109.083,25579140.7109375
131,SSP2,2070,2758139.2830790007,1316576973,1599597.320068,122882.34915540004,92160388110,2170,193069749.8317,69225614108.87,33044330436753.0,40147757399.990005,3084182925.7790003,26035643.713500004,25871387.1484375
132,SSP2,2071,2786890.0504109995,1312852884,1600200.4920570003,123289.1067051,91899701880,2170,195082303.5215,69947219990.60999,32950845752041.0,40162896211.45,3094391997.178,26111950.0015,26167142.046875
133,SSP2,2072,2815956.1406649994,1309235478,1600730.04822,123671.54520660003,91646483460,2170,197116929.84700006,70676740054.32,32860085260225.0,40176187363.84,3103990693.0880003,26476513.23,26465884.7109375
134,SSP2,2073,2845369.5538930004,1305705674,1601194.868688,124030.53733270001,91399397180,2170,199175868.77290002,71414977462.88,32771475204399.0,40187853738.53,3113000916.239001,26853744.348499995,26767046.125
135,SSP2,2074,2875159.4581250004,1302244426,1601602.786808,124366.99926859999,91157109820,2170,201261162.0764,72162664292.26999,32684596555516.0,40198091936.64,3121445661.664001,27067929.8555,27070008.9140625
136,SSP2,2075,2905352.208278,1298832815,1601960.706286,124681.8799069,90918297050,2170,203374654.58209997,72920462015.82,32598971112789.0,40207075239.75,3129348745.317,27177123.403000005,27374107.3515625
