,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT
162,SSP3,2020,858527.965504,1411015609,763271.346254,62507.1039629,211652341350,4650,128779194.83220002,21547905869.349995,35414623829138.0,19157091884.549995,1568844867.4969997,14559570.589499995,14398017.469726562
163,SSP3,2021,909127.0442369997,1418894430,805326.4916559999,64553.06943660001,212834164500,4650,136369056.6457,22817875198.04,35612345622669.0,20212619894.42,1620195869.6280003,15338113.296999998,14984402.059570312
164,SSP3,2022,959331.5929959998,1425660023,847029.3795649998,66565.62022179998,213849003450,4650,143899738.96040002,24077942353.29,35782163564885.0,21259306711.08,1670708207.8099997,15795996.913,15544510.186523438
165,SSP3,2023,1008845.0553310002,1431400916,888186.3203380002,68540.11815010001,214710137400,4650,151326758.3004,25320664162.57,35926245638581.0,22292290981.33,1720265469.9870002,16167981.254999999,16079158.42578125
166,SSP3,2024,1057405.677862,1436206151,928620.2687950002,70472.39015310002,215430922650,4650,158610851.68350002,26539470961.43,36046855118424.0,23307129112.88,1768762917.9099998,16584835.5005,16589152.619140625
167,SSP3,2025,1104784.533078,1440164149,968172.76101,72358.75272039999,216024622350,4650,165717679.9697,27728616979.929996,36146197531485.0,24299843868.32,1816108100.1669998,16851521.9865,17075287.860351562
168,SSP3,2026,1150712.112202,1443381670,1006704.9856649999,74196.02594020001,216507250500,4650,172606816.85010004,28881337907.35,36226935721806.0,25266951270.579998,1862221205.43,17163507.545000006,17538348.494140625
169,SSP3,2027,1195086.7585379998,1446037268,1044098.0172050003,75981.53735199998,216905590200,4650,179263013.7907,29995082294.62,36293606281025.0,26205466442.910004,1907035158.2010005,17362053.221999995,17979108.125
170,SSP3,2028,1237767.4930550002,1448327220,1080252.2886730002,77713.11613220003,217249083000,4650,185665123.96690005,31066311754.460003,36351100968575.0,27112890394.069996,1950495474.1119998,18061810.8425,18398329.604492188
171,SSP3,2029,1278638.861374,1450448007,1115086.4457569998,79389.07833949999,217567201050,4650,191795829.21319997,32092128537.82,36404296598035.0,27987181237.089996,1992559888.2319999,18494007.898000002,18796765.034179688
172,SSP3,2030,1317609.219637,1452596029,1148535.7604989996,81008.20421930001,217889404350,4650,197641382.96620005,33070232508.489998,36458208104529.0,28826714387.03,2033197786.3890002,19109935.321000002,19175155.780273438
173,SSP3,2031,1359034.86453,1454912591,1180550.310519,82569.70873840002,218236888650,4650,203855229.69869998,34109960896.160004,36516353963513.0,29630236854.70999,2072389465.3739996,19658053.306000005,19534232.46484375
174,SSP3,2032,1398715.419077,1457319404,1211093.1308910004,84073.2065887,218597910600,4650,209807312.87779996,35105889845.71,36576775411605.0,30396820873.31,2110125254.262,20330140.797500003,19874714.948242188
175,SSP3,2033,1436604.627845,1459683066,1240138.5186270003,85518.67309899999,218952459900,4650,215490694.19210002,36056858407.689995,36636090686846.0,31125821331.96,2146404534.2889996,20505321.325,20197312.366210938
176,SSP3,2034,1472673.174357,1461870005,1267670.623523,86906.40247270002,219280500750,4650,220900976.1867,36962130773.43,36690977006120.0,31816840410.750008,2181234689.027,20626883.519000005,20502723.091796875
177,SSP3,2035,1506907.4743420002,1463746940,1293682.3993849999,88236.9647523,219562041000,4650,226036121.16030008,37821366004.01,36738104837300.0,32469701263.429996,2214630026.0880003,20839355.156,20791634.749023438
178,SSP3,2036,1538868.8018679996,1465222604,1318174.923513,89511.16289709999,219783390600,4650,230830320.30149996,38623552659.049995,36775142295460.0,33084430921.520004,2246610698.453,20927882.097,21064724.244140625
179,SSP3,2037,1569007.2886270003,1466373271,1341157.03791,90729.9912353,219955990650,4650,235351093.31530005,39379988444.829994,36804008104514.0,33661251315.120003,2277201662.7219996,21153394.7645,21322657.708984375
180,SSP3,2038,1597352.221449,1467317586,1362645.2154360001,91894.59636980003,220097637900,4650,239602833.22719997,40091408419.840004,36827705358071.0,34200575883.800007,2306431696.9040003,21384158.114500005,21566090.528320312
181,SSP3,2039,1623943.9786970005,1468174085,1382663.5399789999,93006.24143639997,220226112750,4650,243591596.82209995,40758826031.259995,36849211682180.0,34703009108.69,2334332504.1029997,21855457.3955,21795667.36328125
182,SSP3,2040,1648832.939164,1469061202,1401243.677524,94066.27444769998,220359180300,4650,247324940.90379995,41383505712.869995,36871482008019.0,35169345756.43,2360937917.721999,21950636.949500006,22012022.108398438
183,SSP3,2041,1671124.6322519998,1470065894,1418424.7365320004,95076.10112830001,220509884100,4650,250668694.8692,41942997451.73,36896673137325.0,35600567403.13,2386283219.342,22244829.513499998,22215777.9296875
184,SSP3,2042,1691795.178496,1471148590,1434252.9434690005,96037.1624592,220672288500,4650,253769276.78409994,42461800569.37999,36923873981544.0,35997834268.41999,2410404575.9150004,22620104.521999992,22407547.232421875
185,SSP3,2043,1710920.4359370004,1472238228,1448781.095753,96950.9169135,220835734200,4650,256638065.4091,42941819001.32,36951214473274.0,36362471496.28,2433338592.8540006,22703860.073000014,22587931.685546875
186,SSP3,2044,1728582.1511830005,1473263730,1462067.7910139996,97818.82716959999,220989559500,4650,259287322.69049996,43385104474.89001,36976948365473.0,36695949810.02999,2455121981.506,22868695.2425,22757522.209960938
187,SSP3,2045,1744867.0156260002,1474153912,1474176.4626,98642.35083789998,221123086800,4650,261730052.36839998,43793832835.520004,36999302874719.0,36999861303.08,2475791326.353,22911668.398999993,22916898.973632812
188,SSP3,2046,1760084.3869889996,1474846006,1485174.273869,99422.934713,221226900900,4650,264012658.07600003,44175768539.33999,37016675390749.0,37275891684.770004,2495382939.593999,23044464.55050001,23066631.40234375
189,SSP3,2047,1774131.2076889998,1475310298,1495130.937329,100162.01188659997,221296544700,4650,266119681.18469998,44528324990.909996,37028327889884.0,37525790647.8,2513932790.122,23142696.561499998,23207278.185546875
190,SSP3,2048,1787103.837023,1475525344,1504117.5218530004,100861.0010326,221328801600,4650,268065575.57779995,44853920669.39999,37033708629896.0,37751341920.95,2531476484.5140004,23267464.991499994,23339387.252929688
191,SSP3,2049,1799100.1703669997,1475469804,1512205.3113719998,101521.30722349999,221320470600,4650,269865025.5693,45155012619.84999,37032329604309.0,37954334640.17,2548049288.510999,23385413.930499997,23463495.797851562
192,SSP3,2050,1810218.881685,1475122201,1519464.7632170003,102144.3236172,221268330150,4650,271532832.2742,45434077432.46001,37023617991654.0,38136537191.64001,2563686168.4540005,23567103.283999998,23580130.259765625
193,SSP3,2051,1822080.4900719998,1474475643,1525964.600187,102731.43345929998,221171346450,4650,273312073.5249001,45731787968.18,37007377449861.0,38299674425.159996,2578421841.5889997,23785292.2165,23689806.342773438
194,SSP3,2052,1833365.6244289998,1473581196,1531771.0561169998,103284.01195209997,221037179400,4650,275004843.6716,46015029776.71999,36984932939153.0,38445408717.69001,2592290824.1740007,24053581.6045,23793028.993164062
195,SSP3,2053,1844174.4611030002,1472504474,1536947.2849059997,103803.4276428,220875671100,4650,276626169.1784,46286317149.84,36957915306101.0,38575325151.310005,2605327464.651,24126943.4745,23890292.42578125
196,SSP3,2054,1854605.689045,1471311033,1541552.925998,104291.04307849999,220696654950,4650,278190853.3676,46548127044.18001,36927938781647.0,38690920592.16001,2617565961.016,24154824.491499998,23982080.08984375
197,SSP3,2055,1864755.9898329999,1470066566,1545643.8149649994,104748.2146292,220509984900,4650,279713398.4969,46802886043.6,36896709617886.0,38793596445.259995,2629040356.88,24217773.4545,24068864.705078125
198,SSP3,2056,1875838.0435049993,1468834134,1549271.8270859998,105176.29137690002,220325120100,4650,281375706.5578,47081030796.79001,36865771502904.0,38884654706.22,2639784511.76,24250157.384499997,24151108.232421875
199,SSP3,2057,1886719.513045,1467666734,1552484.826528,105576.61325210004,220150010100,4650,283007926.9802,47354141156.82,36836463562194.0,38965296702.53001,2649832056.2529993,24318595.4705,24229261.90625
200,SSP3,2058,1897481.7867520002,1466614852,1555326.7082149996,105950.5083838,219992227800,4650,284622268.0399,47624259862.610016,36810055307040.0,39036624140.74,2659216325.0940003,24388900.193499997,24303766.201171875
