,PROVINCE,SSP,YEAR,result
9193,山东省,SSP4,2060,2096172.634
7897,广东省,SSP4,2060,1880566.116
8707,江苏省,SSP4,2060,1607503.58
9922,浙江省,SSP4,2060,1476963.667
8302,河南省,SSP4,2060,1187558.047
9598,天津市,SSP4,2060,1185303.601
8626,吉林省,SSP4,2060,1105826.703
8950,内蒙古自治区,SSP4,2060,1039724.155
10003,重庆市,SSP4,2060,1006637.473
9517,四川省,SSP4,2060,926107.627
7573,安徽省,SSP4,2060,757840.2005
8788,江西省,SSP4,2060,678941.608
8464,湖北省,SSP4,2060,673730.1745
7654,北京市,SSP4,2060,623376.7185
9841,云南省,SSP4,2060,600913.2005
8869,辽宁省,SSP4,2060,598129.511
7735,福建省,SSP4,2060,586960.51
8140,海南省,SSP4,2060,585222.4165
7978,广西壮族自治区,SSP4,2060,562121.5205
8545,湖南省,SSP4,2060,550592.029
8059,贵州省,SSP4,2060,487381.9895
9355,陕西省,SSP4,2060,462695.5855
9031,宁夏回族自治区,SSP4,2060,461813.71200000006
9436,上海市,SSP4,2060,460932.7895
8383,黑龙江省,SSP4,2060,459926.8855
8221,河北省,SSP4,2060,421662.8315
9760,新疆维吾尔自治区,SSP4,2060,411381.9435
9274,山西省,SSP4,2060,389556.9165
7816,甘肃省,SSP4,2060,378349.0845
9112,青海省,SSP4,2060,178837.832
9679,西藏自治区,SSP4,2060,129578.53
