,PROVINCE,SSP,YEAR,result
7937,广东省,SSP4,2100,2442447.373
8747,江苏省,SSP4,2100,2052798.644
9233,山东省,SSP4,2100,1549813.43
9962,浙江省,SSP4,2100,1477561.85
8423,黑龙江省,SSP4,2100,1197612.567
8666,吉林省,SSP4,2100,1196517.175
8342,河南省,SSP4,2100,1193946.1
8990,内蒙古自治区,SSP4,2100,1192342.689
9638,天津市,SSP4,2100,1183455.614
8909,辽宁省,SSP4,2100,1148617.6670000001
9395,陕西省,SSP4,2100,1092506.3490000002
7694,北京市,SSP4,2100,1083022.7859999998
10043,重庆市,SSP4,2100,1072781.037
9314,山西省,SSP4,2100,1070700.423
7856,甘肃省,SSP4,2100,1051338.678
9557,四川省,SSP4,2100,922133.9845
8180,海南省,SSP4,2100,896256.923
9476,上海市,SSP4,2100,842477.9605
7613,安徽省,SSP4,2100,750907.9615
8828,江西省,SSP4,2100,702725.2679999999
8504,湖北省,SSP4,2100,679515.9925
9881,云南省,SSP4,2100,589089.3205
7775,福建省,SSP4,2100,586052.555
9071,宁夏回族自治区,SSP4,2100,568738.3435
8018,广西壮族自治区,SSP4,2100,559617.147
8099,贵州省,SSP4,2100,525549.96
8261,河北省,SSP4,2100,524429.8615
8585,湖南省,SSP4,2100,520622.3315
9800,新疆维吾尔自治区,SSP4,2100,412990.4315
9152,青海省,SSP4,2100,190945.8685
9719,西藏自治区,SSP4,2100,120810.86099999999
