,PROVINCE,SSP,YEAR,result
7917,广东省,SSP4,2080,2366949.377
8727,江苏省,SSP4,2080,2054353.604
9213,山东省,SSP4,2080,1567354.4009999998
9942,浙江省,SSP4,2080,1490925.128
8646,吉林省,SSP4,2080,1196286.963
8322,河南省,SSP4,2080,1196229.1090000002
9618,天津市,SSP4,2080,1185325.1090000002
8403,黑龙江省,SSP4,2080,1170974.687
8970,内蒙古自治区,SSP4,2080,1118324.92
8889,辽宁省,SSP4,2080,1059695.129
7674,北京市,SSP4,2080,1051408.753
10023,重庆市,SSP4,2080,1044436.188
7836,甘肃省,SSP4,2080,996669.4090000001
9537,四川省,SSP4,2080,908454.316
7593,安徽省,SSP4,2080,760403.9785
8808,江西省,SSP4,2080,703513.3195
8484,湖北省,SSP4,2080,672795.8459999999
8160,海南省,SSP4,2080,614009.9295
9051,宁夏回族自治区,SSP4,2080,613934.741
9861,云南省,SSP4,2080,610693.489
7755,福建省,SSP4,2080,580784.1145
7998,广西壮族自治区,SSP4,2080,562178.82
8565,湖南省,SSP4,2080,524264.894
8079,贵州省,SSP4,2080,521784.70700000005
9375,陕西省,SSP4,2080,483846.331
9456,上海市,SSP4,2080,472798.191
9780,新疆维吾尔自治区,SSP4,2080,412998.564
9294,山西省,SSP4,2080,407813.31
8241,河北省,SSP4,2080,404079.7035
9132,青海省,SSP4,2080,191537.775
9699,西藏自治区,SSP4,2080,121026.2815
