,PROVINCE,SSP,YEAR,result
7877,广东省,SSP4,2040,1662159.1
9173,山东省,SSP4,2040,1632693.091
8687,江苏省,SSP4,2040,1607536.755
9578,天津市,SSP4,2040,1169966.936
9497,四川省,SSP4,2040,875403.748
9983,重庆市,SSP4,2040,794848.3195
7553,安徽省,SSP4,2040,776877.828
9902,浙江省,SSP4,2040,760876.8325
8444,湖北省,SSP4,2040,711149.0490000001
9821,云南省,SSP4,2040,674914.8365
8282,河南省,SSP4,2040,665767.8470000001
8849,辽宁省,SSP4,2040,594244.9245
8768,江西省,SSP4,2040,590357.5855
7958,广西壮族自治区,SSP4,2040,557529.6355
7715,福建省,SSP4,2040,531578.27
8525,湖南省,SSP4,2040,459087.4035
8930,内蒙古自治区,SSP4,2040,458678.86299999995
9416,上海市,SSP4,2040,457295.73
7634,北京市,SSP4,2040,455907.2125
9335,陕西省,SSP4,2040,446022.55100000004
8606,吉林省,SSP4,2040,441733.4945
8363,黑龙江省,SSP4,2040,426676.56
8201,河北省,SSP4,2040,411962.1745
8039,贵州省,SSP4,2040,402699.2645
9740,新疆维吾尔自治区,SSP4,2040,367497.2485
9011,宁夏回族自治区,SSP4,2040,280143.7295
9254,山西省,SSP4,2040,274440.4685
8120,海南省,SSP4,2040,266415.271
7796,甘肃省,SSP4,2040,222317.08899999998
9092,青海省,SSP4,2040,219564.5225
9659,西藏自治区,SSP4,2040,111134.0725
