,PROVINCE,SSP,YEAR,result
40,安徽省,SSP1,2060,723925.7165
121,北京市,SSP1,2060,518920.022
202,福建省,SSP1,2060,471921.964
283,甘肃省,SSP1,2060,398879.188
364,广东省,SSP1,2060,1739450.262
445,广西壮族自治区,SSP1,2060,528091.1205
526,贵州省,SSP1,2060,347628.8965
607,海南省,SSP1,2060,612423.685
688,河北省,SSP1,2060,392953.338
769,河南省,SSP1,2060,597154.1555
850,黑龙江省,SSP1,2060,507696.0975
931,湖北省,SSP1,2060,654369.6525
1012,湖南省,SSP1,2060,371666.9065
1093,吉林省,SSP1,2060,1191588.19
1174,江苏省,SSP1,2060,1320237.498
1255,江西省,SSP1,2060,523119.598
1336,辽宁省,SSP1,2060,592876.715
1417,内蒙古自治区,SSP1,2060,1178883.276
1498,宁夏回族自治区,SSP1,2060,513126.8025
1579,青海省,SSP1,2060,358220.5535
1660,山东省,SSP1,2060,2172749.19
1741,山西省,SSP1,2060,239114.387
1822,陕西省,SSP1,2060,446251.995
1903,上海市,SSP1,2060,487543.5555
1984,四川省,SSP1,2060,817724.8535
2065,天津市,SSP1,2060,294875.823
2146,西藏自治区,SSP1,2060,111885.4905
2227,新疆维吾尔自治区,SSP1,2060,392077.318
2308,云南省,SSP1,2060,625858.0585
2389,浙江省,SSP1,2060,754195.1935
2470,重庆市,SSP1,2060,784499.4165
