,PROVINCE,SSP,YEAR,result
404,广东省,SSP1,2100,2345540.961
1700,山东省,SSP1,2100,2022183.206
1214,江苏省,SSP1,2100,1442558.92
809,河南省,SSP1,2100,1252317.777
890,黑龙江省,SSP1,2100,1220738.979
2429,浙江省,SSP1,2100,1219818.208
1457,内蒙古自治区,SSP1,2100,1206017.429
1133,吉林省,SSP1,2100,1194328.23
1862,陕西省,SSP1,2100,1190795.371
161,北京市,SSP1,2100,1185785.885
1376,辽宁省,SSP1,2100,1160651.605
323,甘肃省,SSP1,2100,1157212.376
1781,山西省,SSP1,2100,1142136.031
2510,重庆市,SSP1,2100,1113385.63
2024,四川省,SSP1,2100,829254.91
647,海南省,SSP1,2100,791856.9475
80,安徽省,SSP1,2100,725871.1145
971,湖北省,SSP1,2100,665882.6895
1943,上海市,SSP1,2100,648026.971
2348,云南省,SSP1,2100,615892.728
1538,宁夏回族自治区,SSP1,2100,600878.621
1295,江西省,SSP1,2100,556355.7175
242,福建省,SSP1,2100,534481.5325
485,广西壮族自治区,SSP1,2100,526697.5075
1052,湖南省,SSP1,2100,495844.8975
728,河北省,SSP1,2100,485124.3685
2267,新疆维吾尔自治区,SSP1,2100,479244.7075
2105,天津市,SSP1,2100,347265.43
566,贵州省,SSP1,2100,338405.1535
1619,青海省,SSP1,2100,310172.883
2186,西藏自治区,SSP1,2100,111659.9105
