,PROVINCE,SSP,YEAR,result
1640,山东省,SSP1,2040,1280769.6
344,广东省,SSP1,2040,1158722.819
1154,江苏省,SSP1,2040,815834.455
1964,四川省,SSP1,2040,787757.5115
2369,浙江省,SSP1,2040,751075.205
20,安徽省,SSP1,2040,685561.339
2450,重庆市,SSP1,2040,659213.8055
911,湖北省,SSP1,2040,629689.2855
2288,云南省,SSP1,2040,623349.563
749,河南省,SSP1,2040,595019.0785
1316,辽宁省,SSP1,2040,573303.6625
425,广西壮族自治区,SSP1,2040,561403.2865
1073,吉林省,SSP1,2040,519360.8855
1883,上海市,SSP1,2040,496635.17
101,北京市,SSP1,2040,489362.484
1397,内蒙古自治区,SSP1,2040,481949.777
1235,江西省,SSP1,2040,469482.808
182,福建省,SSP1,2040,448630.3505
2207,新疆维吾尔自治区,SSP1,2040,423891.7505
1559,青海省,SSP1,2040,402993.1405
830,黑龙江省,SSP1,2040,391096.8235
1802,陕西省,SSP1,2040,386404.995
668,河北省,SSP1,2040,378971.3435
587,海南省,SSP1,2040,372586.2635
1478,宁夏回族自治区,SSP1,2040,370876.4385
992,湖南省,SSP1,2040,361820.517
263,甘肃省,SSP1,2040,359584.4365
506,贵州省,SSP1,2040,339171.505
2045,天津市,SSP1,2040,266225.659
1721,山西省,SSP1,2040,231159.503
2126,西藏自治区,SSP1,2040,97527.61
