,SSP,YEAR,GDP,POP,CCF,人均CCF,BA,LDP,UR,FCE_P,FCE,SLUDGE_PRED,result-,result+
0,SSP1,61800,2460173.9280819003,1146042679.2500002,25098334675.575,1800,71645.67857304499,996957.2842479501,1906.6580179524997,272561.11588299996,73893.19225059,20560004.704649996,19916689.85575,21660185.45825
1,SSP2,61800,2288993.8549482506,1232008414.8500001,31477815000.08249,2100,81615.05371377,1071025.5630136,1949.35229936,283082.6248010001,83938.65398960999,21556690.801999997,20553772.231250007,22481770.90775
2,SSP3,61800,2852349.21119075,1152742843.0499997,37867602394.24,2700,96783.83063871,1347364.7349325,2069.7077451814994,333843.7332569999,103060.35053430997,24190318.246900003,23584877.1205,24243787.411500007
3,SSP4,61800,2122179.6793517,1088704129.65,31790160587.109997,2400,86964.97002336,1155400.0108244997,2002.5793139019997,311563.6527230001,85152.70473885501,23129374.86475,22490596.6755,23447103.346249998
4,SSP5,61800,1760569.1724214,1316993708.65,48070270370.475,3000,108713.00512885499,1512368.2804519,2162.6806632729995,365192.555518,126705.08829972,25254843.999149997,24404983.684249997,25645369.9745
