,PROVINCE,SSP,YEAR,result
2895,广东省,SSP2,2080,2464693.925
4191,山东省,SSP2,2080,2033287.874
4920,浙江省,SSP2,2080,1912749.263
3705,江苏省,SSP2,2080,1830411.984
3381,黑龙江省,SSP2,2080,1223278.574
3624,吉林省,SSP2,2080,1200809.05
4596,天津市,SSP2,2080,285900.771
3948,内蒙古自治区,SSP2,2080,1179127.618
2652,北京市,SSP2,2080,1127503.938
3300,河南省,SSP2,2080,1125570.554
3867,辽宁省,SSP2,2080,1095442.745
5001,重庆市,SSP2,2080,1038183.939
3138,海南省,SSP2,2080,913895.069
4515,四川省,SSP2,2080,841689.703
3462,湖北省,SSP2,2080,808098.0395
3786,江西省,SSP2,2080,766849.271
3057,贵州省,SSP2,2080,699159.5555
4839,云南省,SSP2,2080,682300.597
2571,安徽省,SSP2,2080,654352.6725
4029,宁夏回族自治区,SSP2,2080,651009.6865
2976,广西壮族自治区,SSP2,2080,640947.1705
2733,福建省,SSP2,2080,580829.2635
3543,湖南省,SSP2,2080,550209.597
4353,陕西省,SSP2,2080,548818.7175
4434,上海市,SSP2,2080,513798.2345
3219,河北省,SSP2,2080,486495.653
4272,山西省,SSP2,2080,443044.574
4758,新疆维吾尔自治区,SSP2,2080,374148.179
2814,甘肃省,SSP2,2080,367612.9615
4677,西藏自治区,SSP2,2080,274815.828
4110,青海省,SSP2,2080,180538.7005
