,PROVINCE,SSP,YEAR,result
4151,山东省,SSP2,2040,1274715.433
4556,天津市,SSP2,2040,213408.287
2855,广东省,SSP2,2040,1182852.029
4475,四川省,SSP2,2040,853846.1465
3746,江西省,SSP2,2040,841718.481
3665,江苏省,SSP2,2040,812844.3765
4880,浙江省,SSP2,2040,799751.7385
3422,湖北省,SSP2,2040,687647.293
2531,安徽省,SSP2,2040,659094.338
3260,河南省,SSP2,2040,654088.514
4961,重庆市,SSP2,2040,648647.3495
4799,云南省,SSP2,2040,600625.9475
2693,福建省,SSP2,2040,583033.751
3827,辽宁省,SSP2,2040,579478.7935
3908,内蒙古自治区,SSP2,2040,503543.6385
4394,上海市,SSP2,2040,489626.156
3017,贵州省,SSP2,2040,485312.053
3503,湖南省,SSP2,2040,476405.951
2612,北京市,SSP2,2040,474060.7845
3179,河北省,SSP2,2040,470615.468
2936,广西壮族自治区,SSP2,2040,458486.3185
4313,陕西省,SSP2,2040,450787.1405
3584,吉林省,SSP2,2040,425918.2365
4718,新疆维吾尔自治区,SSP2,2040,385580.6845
3341,黑龙江省,SSP2,2040,352162.798
3989,宁夏回族自治区,SSP2,2040,346099.8625
4232,山西省,SSP2,2040,331660.299
2774,甘肃省,SSP2,2040,294441.074
3098,海南省,SSP2,2040,285575.976
4070,青海省,SSP2,2040,263402.4575
4637,西藏自治区,SSP2,2040,135420.224
