,PROVINCE,SSP,YEAR,result
2915,广东省,SSP2,2100,2514453.667
4940,浙江省,SSP2,2100,2219462.751
3725,江苏省,SSP2,2100,2217322.691
4211,山东省,SSP2,2100,2202108.366
3320,河南省,SSP2,2100,1840712.995
3968,内蒙古自治区,SSP2,2100,1206678.958
3401,黑龙江省,SSP2,2100,1202130.182
3644,吉林省,SSP2,2100,1197002.536
4616,天津市,SSP2,2100,281589.415
3887,辽宁省,SSP2,2100,1149357.945
3077,贵州省,SSP2,2100,1133373.768
2672,北京市,SSP2,2100,1126099.844
5021,重庆市,SSP2,2100,1048516.477
3158,海南省,SSP2,2100,1043739.242
4049,宁夏回族自治区,SSP2,2100,1015704.04
4535,四川省,SSP2,2100,841775.0615
3482,湖北省,SSP2,2100,809498.511
3806,江西省,SSP2,2100,751973.393
2996,广西壮族自治区,SSP2,2100,671661.064
2591,安徽省,SSP2,2100,655408.692
4859,云南省,SSP2,2100,645296.9775
2753,福建省,SSP2,2100,582250.671
4373,陕西省,SSP2,2100,565308.8845
3563,湖南省,SSP2,2100,552530.828
4454,上海市,SSP2,2100,518501.6135
3239,河北省,SSP2,2100,494862.404
4292,山西省,SSP2,2100,457523.193
4130,青海省,SSP2,2100,432191.7105
2834,甘肃省,SSP2,2100,414198.519
4778,新疆维吾尔自治区,SSP2,2100,378959.3895
4697,西藏自治区,SSP2,2100,274593.5025
