YEAR,SSP,cator,Sum_2015_standard_future_GHG_Before_AD,Sum_2015_standard_future_GHG_After_AD,PGER_2015_standard_future,Sum_new_standard_future_GHG_Before_AD,Sum_new_standard_future_GHG_After_AD,PGER_new_standard_future
2030,SSP4,3,7.629898209,2.366291953,-5.263606255,6.691966863,2.243575824,-4.448391039
2030,SSP5,0,0.289062633,0.150645853,-0.13841678,0.425650301,0.142705238,-0.282945063
2030,SSP5,1,15.89659496,5.480106071,-10.41648889,9.87967782,3.312300667,-6.567377152
2030,SSP5,2,33.48938306,14.31986869,-19.16951436,20.97992255,7.033813525,-13.94610903
2030,SSP5,3,6.875295215,2.159569679,-4.715725536,6.125812792,2.053764725,-4.072048067
2035,SSP1,0,0.381163414,0.198615561,-0.182547853,0.556399038,0.186540588,-0.369858451
2035,SSP1,1,15.21016751,5.073450942,-10.13671657,9.677881198,3.244645518,-6.433235681
2035,SSP1,2,30.46174354,13.0496322,-17.41211134,18.59364729,6.233781249,-12.35986604
2035,SSP1,3,7.955184333,2.511478142,-5.443706191,7.245254318,2.42907321,-4.816181108
2035,SSP2,0,0.330908224,0.17628051,-0.154627714,0.497278668,0.166719654,-0.330559014
2035,SSP2,1,16.29256486,5.487842083,-10.80472278,10.22202682,3.427077975,-6.794948844
2035,SSP2,2,31.4470189,13.44199653,-18.00502237,19.43777909,6.516788283,-12.92099081
2035,SSP2,3,8.224559814,2.575444601,-5.649115213,7.402824447,2.481900807,-4.92092364
2035,SSP3,0,0.401294757,0.206871353,-0.194423405,0.580654887,0.194672702,-0.385982186
2035,SSP3,1,17.64572395,5.986968904,-11.65875504,11.17774831,3.74749702,-7.430251289
2035,SSP3,2,33.64240308,14.36507923,-19.27732385,20.93215992,7.017800431,-13.91435949
2035,SSP3,3,8.651989053,2.717104957,-5.934884096,7.80569273,2.616968054,-5.188724676
2035,SSP4,0,0.337215684,0.178937709,-0.158277975,0.505886496,0.169605549,-0.336280948
2035,SSP4,1,16.67816528,5.603026617,-11.07513867,10.46197529,3.507524069,-6.954451225
2035,SSP4,2,32.20548792,13.81096836,-18.39451956,19.84781508,6.654258604,-13.19355648
2035,SSP4,3,8.347302244,2.60874873,-5.738553514,7.507998457,2.517161871,-4.990836587
2035,SSP5,0,0.364106006,0.190638435,-0.17346757,0.538262808,0.180460162,-0.357802646
2035,SSP5,1,18.70919983,6.302362323,-12.4068375,11.78312845,3.950459209,-7.83266924
2035,SSP5,2,34.5422967,14.72110135,-19.82119535,21.79572583,7.307323027,-14.48840281
2035,SSP5,3,7.867149479,2.509615781,-5.357533698,7.123954314,2.388405681,-4.735548633
2040,SSP1,0,0.465712159,0.23364781,-0.23206435,0.647724901,0.217158865,-0.430566036
2040,SSP1,1,15.30824811,5.10382318,-10.20442493,9.762553721,3.273033169,-6.489520552
2040,SSP1,2,30.58341063,13.10078965,-17.48262098,18.7066751,6.271675407,-12.43499969
2040,SSP1,3,9.067846574,2.870290427,-6.197556148,8.35029377,2.799553197,-5.550740573
2040,SSP2,0,0.396670987,0.204401021,-0.192269965,0.571207456,0.191505318,-0.379702139
2040,SSP2,1,16.74337289,5.627553351,-11.11581954,10.55894728,3.540035289,-7.018911992
2040,SSP2,2,31.77448392,13.5777521,-18.19673182,19.67892374,6.597635411,-13.08128833
2040,SSP2,3,8.853023143,2.774357553,-6.078665591,8.094130218,2.713670771,-5.380459447
2040,SSP3,0,0.484272257,0.24032329,-0.243948967,0.666850558,0.22357101,-0.443279548
2040,SSP3,1,18.45455539,6.256167451,-12.19838793,11.75946166,3.942524586,-7.816937074
2040,SSP3,2,34.07570185,14.53606914,-19.53963271,21.23598879,7.119663325,-14.11632546
2040,SSP3,3,9.78978402,3.094645284,-6.695138736,8.937610873,2.9964595,-5.941151373
2040,SSP4,0,0.407487726,0.20871953,-0.198768196,0.584184613,0.195856092,-0.388328522
2040,SSP4,1,17.3194872,5.819558827,-11.49992837,10.9858001,3.683143688,-7.302656412
2040,SSP4,2,32.74842337,14.09466532,-18.65375805,20.11621646,6.744243935,-13.37197253
2040,SSP4,3,9.00123659,2.815371594,-6.185864996,8.219796254,2.755802073,-5.46399418
2040,SSP5,0,0.421025235,0.21531029,-0.205714945,0.603937098,0.202478389,-0.401458709
2040,SSP5,1,19.40384071,6.490125592,-12.91371512,12.35817255,4.143250817,-8.214921737
2040,SSP5,2,35.63349205,15.10555289,-20.52793917,22.68948375,7.606967915,-15.08251584
2040,SSP5,3,8.547412108,2.737323082,-5.810089026,7.865433762,2.636997074,-5.228436688
2045,SSP1,0,0.469063707,0.234747742,-0.234315965,0.650375948,0.218047666,-0.432328282
2045,SSP1,1,15.49226459,5.169775838,-10.32248875,9.882269903,3.3131697,-6.569100203
2045,SSP1,2,31.10274516,13.36775386,-17.7349913,18.94822332,6.352657838,-12.59556548
2045,SSP1,3,9.490790876,3.012907194,-6.477883682,8.747257769,2.93264095,-5.814616819
2045,SSP2,0,0.471021006,0.235446627,-0.23557438,0.652251668,0.218676527,-0.433575141
2045,SSP2,1,17.10269072,5.743892454,-11.35879827,10.83099858,3.631244307,-7.199754277
2045,SSP2,2,31.8794821,13.62171361,-18.25776849,19.76113998,6.625199559,-13.13594042
2045,SSP2,3,9.353063434,2.931714978,-6.421348457,8.604143285,2.88465981,-5.719483475
2045,SSP3,0,0.487922717,0.241285897,-0.24663682,0.669230207,0.224368821,-0.444861387
2045,SSP3,1,19.02313078,6.477559044,-12.54557173,12.21655687,4.095772172,-8.1207847
2045,SSP3,2,34.20461803,14.5885156,-19.61610243,21.34215574,7.155257288,-14.18689846
2045,SSP3,3,10.38613098,3.29142059,-7.09471039,9.495427365,3.183475309,-6.311952056
2045,SSP4,0,0.469338151,0.233060945,-0.236277206,0.646433266,0.216725826,-0.429707439
2045,SSP4,1,18.16136083,6.13863066,-12.02273017,11.62722973,3.898191975,-7.729037755
2045,SSP4,2,32.84920911,14.11724992,-18.7319592,20.24141076,6.786217082,-13.45519368
2045,SSP4,3,10.01660783,3.155251337,-6.861356488,9.197415812,3.083562753,-6.113853059
2045,SSP5,0,0.406713832,0.206244551,-0.200469281,0.577891718,0.19374631,-0.384145408
2045,SSP5,1,19.70128148,6.578737584,-13.12254389,12.55612532,4.209617261,-8.346508061
2045,SSP5,2,36.05034286,15.27286778,-20.77747508,22.9551549,7.696037897,-15.25911701
2045,SSP5,3,9.560173179,3.028024541,-6.532148639,8.851408081,2.967558804,-5.883849277
2050,SSP1,0,0.46933301,0.23460421,-0.2347288,0.650202573,0.217989539,-0.432213034
2050,SSP1,1,15.98710572,5.383006663,-10.60409906,10.25999863,3.439808558,-6.820190072
2050,SSP1,2,31.04154802,13.32281937,-17.71872865,18.96599775,6.358616967,-12.60738079
2050,SSP1,3,9.601878241,3.047701652,-6.55417659,8.847736833,2.966327967,-5.881408866
2050,SSP2,0,0.470731675,0.234860747,-0.235870928,0.650357303,0.218041415,-0.432315888
2050,SSP2,1,17.54851599,5.931952122,-11.61656387,11.15873791,3.741123518,-7.417614396
2050,SSP2,2,32.30935167,13.84080243,-18.46854923,19.96200129,6.692541133,-13.26946015
2050,SSP2,3,9.731436687,3.062115457,-6.66932123,8.955582449,3.002484723,-5.953097726
2050,SSP3,0,0.488793691,0.243012154,-0.245781537,0.675364713,0.2264255,-0.448939213
2050,SSP3,1,19.20925869,6.54836979,-12.6608889,12.35215082,4.141231947,-8.210918875
2050,SSP3,2,34.27074809,14.60746316,-19.66328493,21.41877345,7.180944447,-14.237829
2050,SSP3,3,10.94443921,3.476742328,-7.467696882,10.14772751,3.402168087,-6.745559419
2050,SSP4,0,0.47361707,0.234915888,-0.238701182,0.65149999,0.218424517,-0.433075473
2050,SSP4,1,18.67678807,6.328394087,-12.34839398,12.03984872,4.036528283,-8.003320435
2050,SSP4,2,32.84008045,14.08520028,-18.75488017,20.30669876,6.808105801,-13.49859296
2050,SSP4,3,10.54699383,3.329621818,-7.217372009,9.66291499,3.239627886,-6.423287104
2050,SSP5,0,0.40166392,0.199629531,-0.202034389,0.557156449,0.18679452,-0.370361929
2050,SSP5,1,20.31928371,6.832166714,-13.487117,13.04167276,4.372403855,-8.669268904
2050,SSP5,2,36.83190004,15.65653582,-21.17536422,23.32995986,7.821696518,-15.50826334
2050,SSP5,3,10.21310757,3.233724427,-6.979383146,9.524678217,3.193282068,-6.331396149
2055,SSP1,0,0.46796345,0.233882386,-0.234081063,0.648256628,0.217337134,-0.430919494
2055,SSP1,1,15.92137735,5.351168358,-10.57020899,10.21545638,3.424875141,-6.790581234
2055,SSP1,2,31.02581331,13.28248283,-17.74333048,19.0103184,6.373476087,-12.63684232
2055,SSP1,3,10.07226817,3.193051254,-6.879216912,9.227804715,3.093751059,-6.134053656
2055,SSP2,0,0.471151498,0.23517037,-0.235981128,0.65180448,0.218526601,-0.433277879
2055,SSP2,1,17.70854405,5.99392122,-11.71462283,11.28952007,3.784970071,-7.504549997
2055,SSP2,2,32.11900602,13.74491312,-18.3740929,19.86447565,6.659844295,-13.20463136
2055,SSP2,3,9.985739488,3.142517415,-6.843222073,9.170702574,3.074606765,-6.096095809
2055,SSP3,0,0.489674597,0.24252031,-0.247154287,0.675631673,0.226515002,-0.449116671
2055,SSP3,1,19.66076888,6.642048157,-13.01872072,12.56355169,4.212107056,-8.351444636
2055,SSP3,2,34.21417409,14.58465473,-19.62951936,21.37921497,7.167681914,-14.21153306
2055,SSP3,3,11.34516262,3.604167938,-7.740994678,10.49776378,3.519522663,-6.97824112
2055,SSP4,0,0.480459258,0.237767343,-0.242691915,0.658947484,0.220921394,-0.438026091
2055,SSP4,1,18.83757293,6.380566513,-12.45700642,12.1494791,4.073283406,-8.07619569
2055,SSP4,2,33.05638179,14.15048915,-18.90589264,20.48229233,6.866976009,-13.61531632
2055,SSP4,3,10.86893212,3.432244937,-7.436687181,9.967858966,3.341864635,-6.625994332
2055,SSP5,0,0.451321742,0.220852569,-0.230469173,0.613066321,0.20553909,-0.407527231
2055,SSP5,1,20.67664241,6.983462899,-13.69317951,13.31547968,4.464201467,-8.851278209
2055,SSP5,2,37.14852193,15.7759518,-21.37257013,23.55961581,7.898691902,-15.66092391
2055,SSP5,3,10.4977595,3.338061925,-7.159697574,9.850165249,3.302406164,-6.547759085
2060,SSP1,0,0.468391177,0.234402488,-0.23398869,0.649888629,0.217884285,-0.432004344
2060,SSP1,1,16.2169749,5.42419105,-10.79278385,10.38255431,3.480897071,-6.901657243
2060,SSP1,2,30.97407577,13.25915963,-17.71491614,18.97239985,6.360763362,-12.61163649
2060,SSP1,3,10.26572017,3.260943058,-7.004777113,9.396350218,3.150258305,-6.246091914
2060,SSP2,0,0.439619753,0.214777514,-0.224842238,0.592590215,0.198674188,-0.393916027
2060,SSP2,1,17.76925915,6.012347865,-11.75691128,11.34783807,3.804521998,-7.543316068
2060,SSP2,2,31.89583986,13.6234254,-18.27241446,19.74817128,6.62085162,-13.12731966
2060,SSP2,3,10.51760454,3.318250452,-7.199354091,9.622642696,3.226126034,-6.396516662
2060,SSP3,0,0.483802495,0.239799887,-0.244002607,0.668485886,0.224119277,-0.44436661
2060,SSP3,1,19.73821731,6.658065802,-13.0801515,12.59965254,4.224210371,-8.375442165
2060,SSP3,2,35.12920163,14.98045669,-20.14874494,21.99207017,7.373150221,-14.61891995
2060,SSP3,3,11.97999226,3.799431829,-8.180560432,11.0981173,3.720799606,-7.377317693
2060,SSP4,0,0.479569747,0.237311047,-0.242258699,0.657690007,0.220499807,-0.4371902
2060,SSP4,1,19.5657155,6.579418814,-12.98629669,12.55579472,4.209506422,-8.346288297
2060,SSP4,2,33.39872478,14.2977544,-19.10097038,20.8072951,6.975937748,-13.83135735
2060,SSP4,3,11.24072869,3.553998809,-7.686729881,10.30435417,3.454679374,-6.849674793
2060,SSP5,0,0.448264728,0.21937751,-0.228887219,0.609057632,0.20419512,-0.404862512
2060,SSP5,1,21.01845166,7.131120926,-13.88733073,13.58241242,4.553694416,-9.028718001
2060,SSP5,2,37.16526421,15.7726368,-21.39262741,23.55110972,7.895840113,-15.6552696
2060,SSP5,3,11.4104518,3.636194043,-7.774257756,10.65580327,3.57250762,-7.083295654
