,PROVINCE,SSP,YEAR,result
5791,河南省,SSP3,2060,1813871.9540000001
6196,江苏省,SSP3,2060,1637771.2859999998
5386,广东省,SSP3,2060,1252667.636
6682,山东省,SSP3,2060,1102520.8329999999
5143,北京市,SSP3,2060,1078199.185
6925,上海市,SSP3,2060,1074792.553
6115,吉林省,SSP3,2060,1045861.402
7411,浙江省,SSP3,2060,1024041.181
7087,天津市,SSP3,2060,896524.9505
5872,黑龙江省,SSP3,2060,881163.051
6844,陕西省,SSP3,2060,880891.6425
6358,辽宁省,SSP3,2060,820247.2955
6763,山西省,SSP3,2060,737806.704
6277,江西省,SSP3,2060,734442.161
7006,四川省,SSP3,2060,697151.7655
5953,湖北省,SSP3,2060,695343.891
5629,海南省,SSP3,2060,654647.0475
6520,宁夏回族自治区,SSP3,2060,592997.05
6439,内蒙古自治区,SSP3,2060,572967.739
5224,福建省,SSP3,2060,569320.1335
6034,湖南省,SSP3,2060,542519.7425
7168,西藏自治区,SSP3,2060,534966.5685
5710,河北省,SSP3,2060,523346.06899999996
5467,广西壮族自治区,SSP3,2060,517980.7755
6601,青海省,SSP3,2060,465861.631
5305,甘肃省,SSP3,2060,423627.4015
7492,重庆市,SSP3,2060,419880.93299999996
5062,安徽省,SSP3,2060,370679.0475
5548,贵州省,SSP3,2060,326051.107
7330,云南省,SSP3,2060,302417.4415
7249,新疆维吾尔自治区,SSP3,2060,259973.1105
