,PROVINCE,SSP,YEAR,result
6236,江苏省,SSP3,2100,2207101.86
5831,河南省,SSP3,2100,1874716.8069999998
5426,广东省,SSP3,2100,1697950.53
7451,浙江省,SSP3,2100,1491638.506
5183,北京市,SSP3,2100,1176409.729
6965,上海市,SSP3,2100,1156299.307
6155,吉林省,SSP3,2100,1096350.1979999999
5912,黑龙江省,SSP3,2100,1085903.811
6722,山东省,SSP3,2100,1081737.117
6398,辽宁省,SSP3,2100,1074686.183
5750,河北省,SSP3,2100,1067514.92
7127,天津市,SSP3,2100,993880.5279999999
6479,内蒙古自治区,SSP3,2100,973478.8570000001
5669,海南省,SSP3,2100,949332.1065
6884,陕西省,SSP3,2100,862254.2009999999
6560,宁夏回族自治区,SSP3,2100,816813.8625
6803,山西省,SSP3,2100,760530.3605
6317,江西省,SSP3,2100,758182.438
5993,湖北省,SSP3,2100,692158.0240000001
7046,四川省,SSP3,2100,691972.293
5507,广西壮族自治区,SSP3,2100,628225.895
6074,湖南省,SSP3,2100,584012.7435
5264,福建省,SSP3,2100,561865.811
7208,西藏自治区,SSP3,2100,539495.09
6641,青海省,SSP3,2100,508320.654
5588,贵州省,SSP3,2100,441874.6125
5345,甘肃省,SSP3,2100,429363.027
7532,重庆市,SSP3,2100,421741.609
5102,安徽省,SSP3,2100,401799.2195
7370,云南省,SSP3,2100,342713.284
7289,新疆维吾尔自治区,SSP3,2100,298688.74
