,PROVINCE,SSP,YEAR,result
6176,江苏省,SSP3,2040,1614425.81
5366,广东省,SSP3,2040,1212814.575
6662,山东省,SSP3,2040,1103227.095
5771,河南省,SSP3,2040,1076605.856
5123,北京市,SSP3,2040,1066010.41
6824,陕西省,SSP3,2040,891178.335
7067,天津市,SSP3,2040,878868.1115
6095,吉林省,SSP3,2040,859496.7715
5852,黑龙江省,SSP3,2040,830275.087
7391,浙江省,SSP3,2040,806876.416
6338,辽宁省,SSP3,2040,713673.8105
6257,江西省,SSP3,2040,713665.6429999999
5933,湖北省,SSP3,2040,701069.4175
6743,山西省,SSP3,2040,679608.0865
6905,上海市,SSP3,2040,615893.905
6986,四川省,SSP3,2040,603169.939
6500,宁夏回族自治区,SSP3,2040,590647.557
6419,内蒙古自治区,SSP3,2040,551858.746
6014,湖南省,SSP3,2040,524803.872
7148,西藏自治区,SSP3,2040,523957.4655
5204,福建省,SSP3,2040,517210.74700000003
5690,河北省,SSP3,2040,512764.8915
5447,广西壮族自治区,SSP3,2040,496983.1835
6581,青海省,SSP3,2040,453495.3035
5609,海南省,SSP3,2040,441448.6885
7472,重庆市,SSP3,2040,426147.906
5528,贵州省,SSP3,2040,358442.9705
5042,安徽省,SSP3,2040,351848.5725
5285,甘肃省,SSP3,2040,336182.3415
7310,云南省,SSP3,2040,306221.597
7229,新疆维吾尔自治区,SSP3,2040,241292.6775
