,PROVINCE,SSP,YEAR,result
5811,河南省,SSP3,2080,1866018.753
6216,江苏省,SSP3,2080,1808939.872
5406,广东省,SSP3,2080,1257604.25
6945,上海市,SSP3,2080,1111992.433
5163,北京市,SSP3,2080,1105142.588
6702,山东省,SSP3,2080,1101762.836
6135,吉林省,SSP3,2080,1074078.795
6378,辽宁省,SSP3,2080,1071904.719
5892,黑龙江省,SSP3,2080,1068815.315
7431,浙江省,SSP3,2080,1043128.233
7107,天津市,SSP3,2080,990469.6135
6459,内蒙古自治区,SSP3,2080,981688.212
6864,陕西省,SSP3,2080,883914.8475
6297,江西省,SSP3,2080,753680.4305
6783,山西省,SSP3,2080,750969.7325
5649,海南省,SSP3,2080,715037.7725
5973,湖北省,SSP3,2080,698178.5775
7026,四川省,SSP3,2080,692098.04
6540,宁夏回族自治区,SSP3,2080,638372.3205
5487,广西壮族自治区,SSP3,2080,567078.7735
5244,福建省,SSP3,2080,562562.314
7188,西藏自治区,SSP3,2080,535115.0555
5730,河北省,SSP3,2080,531172.106
6054,湖南省,SSP3,2080,523457.953
6621,青海省,SSP3,2080,479329.448
5082,安徽省,SSP3,2080,421375.7605
7512,重庆市,SSP3,2080,421125.775
5325,甘肃省,SSP3,2080,418674.62799999997
5568,贵州省,SSP3,2080,407935.4625
7350,云南省,SSP3,2080,311869.059
7269,新疆维吾尔自治区,SSP3,2080,276109.025
