,PROVINCE,SSP,YEAR,result
11987,上海市,SSP5,2100,2328497.571
10853,河南省,SSP5,2100,2235725.55
11258,江苏省,SSP5,2100,2219445.832
10448,广东省,SSP5,2100,1907914.508
12473,浙江省,SSP5,2100,1755729.01
11744,山东省,SSP5,2100,1703706.726
10286,福建省,SSP5,2100,1292315.105
10772,河北省,SSP5,2100,1251403.061
10691,海南省,SSP5,2100,1205273.762
10367,甘肃省,SSP5,2100,1169197.383
12554,重庆市,SSP5,2100,1159241.892
11582,宁夏回族自治区,SSP5,2100,1124286.611
11096,湖南省,SSP5,2100,1123513.977
10934,黑龙江省,SSP5,2100,1098397.314
11177,吉林省,SSP5,2100,1092067.817
11420,辽宁省,SSP5,2100,1085735.049
11906,陕西省,SSP5,2100,1080863.052
11501,内蒙古自治区,SSP5,2100,1059068.103
10124,安徽省,SSP5,2100,1041402.645
11825,山西省,SSP5,2100,1036090.758
12068,四川省,SSP5,2100,1004620.79
11339,江西省,SSP5,2100,989185.404
11015,湖北省,SSP5,2100,982348.624
12149,天津市,SSP5,2100,979986.3805
11663,青海省,SSP5,2100,791149.559
10529,广西壮族自治区,SSP5,2100,596761.72
12230,西藏自治区,SSP5,2100,543947.9175
10205,北京市,SSP5,2100,1506650.604
10610,贵州省,SSP5,2100,440059.014
12311,新疆维吾尔自治区,SSP5,2100,303137.641
12392,云南省,SSP5,2100,291621.376
