,PROVINCE,SSP,YEAR,result
11198,江苏省,SSP5,2040,1677307.5690000001
11684,山东省,SSP5,2040,1580057.04
10388,广东省,SSP5,2040,1146214.738
12089,天津市,SSP5,2040,948123.4985
10793,河南省,SSP5,2040,875285.161
11846,陕西省,SSP5,2040,872279.7205
10874,黑龙江省,SSP5,2040,854814.465
11360,辽宁省,SSP5,2040,840426.0275
11117,吉林省,SSP5,2040,829624.358
11279,江西省,SSP5,2040,692637.377
11927,上海市,SSP5,2040,688865.8105
10955,湖北省,SSP5,2040,688249.1070000001
11765,山西省,SSP5,2040,685557.2055
10469,广西壮族自治区,SSP5,2040,621587.6485
12008,四川省,SSP5,2040,602689.5345
11522,宁夏回族自治区,SSP5,2040,602622.4655
11441,内蒙古自治区,SSP5,2040,551997.9485
10226,福建省,SSP5,2040,545941.731
10145,北京市,SSP5,2040,545385.889
12170,西藏自治区,SSP5,2040,532435.069
10631,海南省,SSP5,2040,530028.693
10712,河北省,SSP5,2040,519589.94700000004
11603,青海省,SSP5,2040,489445.35299999994
11036,湖南省,SSP5,2040,484152.029
10064,安徽省,SSP5,2040,431975.174
12494,重庆市,SSP5,2040,402958.575
10550,贵州省,SSP5,2040,382292.50899999996
10307,甘肃省,SSP5,2040,358271.0235
12413,浙江省,SSP5,2040,306399.86100000003
12332,云南省,SSP5,2040,294231.0085
12251,新疆维吾尔自治区,SSP5,2040,230187.948
