,SSP,YEAR,GDP,POP,LDP,BA,CCF,人均CCF,GDP_CCF_P,GDP2,GDP_POP,GDP_LDP,GDP_BA,result,RESULT,speed
,SSP3,2019,,,,,,,,,,,,13032421.04,13032421.04,
162,SSP3,2020,858527.9655,1411015609,763271.3463,62507.10396,2.12E+11,4650,128779194.8,21547905869,3.54E+13,19157091885,1568844867,15328882.23,15304693.25,3.75
163,SSP3,2021,909127.0442,1418894430,805326.4917,64553.06944,2.13E+11,4650,136369056.6,22817875198,3.56E+13,20212619894,1620195870,15958373.49,15845745.05,3.535201889
164,SSP3,2022,959331.593,1425660023,847029.3796,66565.62022,2.14E+11,4650,143899739,24077942353,3.58E+13,21259306711,1670708208,16316287.01,16359189.61,3.240267675
165,SSP3,2023,1008845.055,1431400916,888186.3203,68540.11815,2.15E+11,4650,151326758.3,25320664163,3.59E+13,22292290981,1720265470,16611304.53,16846142.18,2.976630199
166,SSP3,2024,1057405.678,1436206151,928620.2688,70472.39015,2.15E+11,4650,158610851.7,26539470961,3.60E+13,23307129113,1768762918,17391263.24,17307694.91,2.739812626
167,SSP3,2025,1104784.533,1440164149,968172.761,72358.75272,2.16E+11,4650,165717680,27728616980,3.61E+13,24299843868,1816108100,17629256.83,17744916.73,2.526170092
168,SSP3,2026,1150712.112,1443381670,1006704.986,74196.02594,2.17E+11,4650,172606816.9,28881337907,3.62E+13,25266951271,1862221205,17996500.11,18158853.42,2.332705742
169,SSP3,2027,1195086.759,1446037268,1044098.017,75981.53735,2.17E+11,4650,179263013.8,29995082295,3.63E+13,26205466443,1907035158,18180709.6,18550527.59,2.156932306
170,SSP3,2028,1237767.493,1448327220,1080252.289,77713.11613,2.17E+11,4650,185665124,31066311754,3.64E+13,27112890394,1950495474,18565504.9,18920938.7,1.996768596
171,SSP3,2029,1278638.861,1450448007,1115086.446,79389.07834,2.18E+11,4650,191795829.2,32092128538,3.64E+13,27987181237,1992559888,19030068.83,19271063.04,1.850459628
172,SSP3,2030,1317609.22,1452596029,1148535.76,81008.20422,2.18E+11,4650,197641383,33070232508,3.65E+13,28826714387,2033197786,19865241.97,19601853.67,1.716514736
173,SSP3,2031,1359034.865,1454912591,1180550.311,82569.70874,2.18E+11,4650,203855229.7,34109960896,3.65E+13,29630236855,2072389465,20336231.99,19914240.57,1.593659966
174,SSP3,2032,1398715.419,1457319404,1211093.131,84073.20659,2.19E+11,4650,209807312.9,35105889846,3.66E+13,30396820873,2110125254,20639359.04,20209130.49,1.480799235
175,SSP3,2033,1436604.628,1459683066,1240138.519,85518.6731,2.19E+11,4650,215490694.2,36056858408,3.66E+13,31125821332,2146404534,20867034.18,20487407.07,1.376984419
176,SSP3,2034,1472673.174,1461870005,1267670.624,86906.40247,2.19E+11,4650,220900976.2,36962130773,3.67E+13,31816840411,2181234689,21157049.25,20749930.7,1.28139025
177,SSP3,2035,1506907.474,1463746940,1293682.399,88236.96475,2.20E+11,4650,226036121.2,37821366004,3.67E+13,32469701263,2214630026,21247705.91,20997538.7,1.193295514
178,SSP3,2036,1538868.802,1465222604,1318174.924,89511.1629,2.20E+11,4650,230830320.3,38623552659,3.68E+13,33084430922,2246610698,21466240,21231045.12,1.112065701
179,SSP3,2037,1569007.289,1466373271,1341157.038,90729.99124,2.20E+11,4650,235351093.3,39379988445,3.68E+13,33661251315,2277201663,21830319.47,21451240.95,1.037140767
180,SSP3,2038,1597352.221,1467317586,1362645.215,91894.59637,2.20E+11,4650,239602833.2,40091408420,3.68E+13,34200575884,2306431697,21822548.04,21658893.9,0.968023051
181,SSP3,2039,1623943.979,1468174085,1382663.54,93006.24144,2.20E+11,4650,243591596.8,40758826031,3.68E+13,34703009109,2334332504,21861173.94,21854748.61,0.904269202
182,SSP3,2040,1648832.939,1469061202,1401243.678,94066.27445,2.20E+11,4650,247324940.9,41383505713,3.69E+13,35169345756,2360937918,21976388.48,22039526.47,0.845481532
183,SSP3,2041,1671124.632,1470065894,1418424.737,95076.10113,2.21E+11,4650,250668694.9,41942997452,3.69E+13,35600567403,2386283219,22157818.43,22213925.77,0.791302395
184,SSP3,2042,1691795.178,1471148590,1434252.943,96037.16246,2.21E+11,4650,253769276.8,42461800569,3.69E+13,35997834268,2410404576,22177740.3,22378621.6,0.741408024
185,SSP3,2043,1710920.436,1472238228,1448781.096,96950.91691,2.21E+11,4650,256638065.4,42941819001,3.70E+13,36362471496,2433338593,22185909.34,22534265.91,0.69550443
186,SSP3,2044,1728582.151,1473263730,1462067.791,97818.82717,2.21E+11,4650,259287322.7,43385104475,3.70E+13,36695949810,2455121982,22252586.69,22681487.4,0.653322779
187,SSP3,2045,1744867.016,1474153912,1474176.463,98642.35084,2.21E+11,4650,261730052.4,43793832836,3.70E+13,36999861303,2475791326,22323880.66,22820891.7,0.614617103
188,SSP3,2046,1760084.387,1474846006,1485174.274,99422.93471,2.21E+11,4650,264012658.1,44175768539,3.70E+13,37275891685,2495382940,22545775.18,22953061.21,0.579160155
189,SSP3,2047,1774131.208,1475310298,1495130.937,100162.0119,2.21E+11,4650,266119681.2,44528324991,3.70E+13,37525790648,2513932790,22819411.84,23078555.23,0.546741955
190,SSP3,2048,1787103.837,1475525344,1504117.522,100861.001,2.21E+11,4650,268065575.6,44853920669,3.70E+13,37751341921,2531476485,23048612.34,23197909.78,0.517166476
191,SSP3,2049,1799100.17,1475469804,1512205.311,101521.3072,2.21E+11,4650,269865025.6,45155012620,3.70E+13,37954334640,2548049289,23140937.36,23311637.83,0.490251285
192,SSP3,2050,1810218.882,1475122201,1519464.763,102144.3236,2.21E+11,4650,271532832.3,45434077432,3.70E+13,38136537192,2563686168,23280503.08,23420229.1,0.465824299
193,SSP3,2051,1822080.49,1474475643,1525964.6,102731.4335,2.21E+11,4650,273312073.5,45731787968,3.70E+13,38299674425,2578421842,23458252.75,23524150.2,0.443723676
194,SSP3,2052,1833365.624,1473581196,1531771.056,103284.012,2.21E+11,4650,275004843.7,46015029777,3.70E+13,38445408718,2592290824,23793860.29,23623844.5,0.423795546
195,SSP3,2053,1844174.461,1472504474,1536947.285,103803.4276,2.21E+11,4650,276626169.2,46286317150,3.70E+13,38575325151,2605327465,23853401.65,23719732.3,0.405894141
196,SSP3,2054,1854605.689,1471311033,1541552.926,104291.0431,2.21E+11,4650,278190853.4,46548127044,3.69E+13,38690920592,2617565961,23909886.17,23812210.65,0.389879374
197,SSP3,2055,1864755.99,1470066566,1545643.815,104748.2146,2.21E+11,4650,279713398.5,46802886044,3.69E+13,38793596445,2629040357,23945805.46,23901653.46,0.375617442
198,SSP3,2056,1875838.044,1468834134,1549271.827,105176.2914,2.20E+11,4650,281375706.6,47081030797,3.69E+13,38884654706,2639784512,23980775.17,23988411.47,0.362979105
199,SSP3,2057,1886719.513,1467666734,1552484.827,105576.6133,2.20E+11,4650,283007927,47354141157,3.68E+13,38965296703,2649832056,24098412.14,24072812.28,0.351839924
200,SSP3,2058,1897481.787,1466614852,1555326.708,105950.5084,2.20E+11,4650,284622268,47624259863,3.68E+13,39036624141,2659216325,24373646.03,24155160.26,0.342078755
201,SSP3,2059,1908202.442,1465729165,1557837.509,106299.2899,2.20E+11,4650,286230366.3,47893333996,3.68E+13,39099641889,2667970275,24468749.04,24235736.68,0.333578486
202,SSP3,2060,1918954.845,1465060047,1560053.572,106624.2522,2.20E+11,4650,287843226.7,48163204952,3.68E+13,39155262110,2676126395,24437681.49,24314799.58,0.326224465
203,SSP3,2061,1930555.756,1464651429,1562007.745,106926.6673,2.20E+11,4650,289583363.5,48454372345,3.68E+13,39204309249,2683716611,24610613.93,24392583.9,0.319905266
204,SSP3,2062,1942219.404,1464520652,1563729.608,107207.7809,2.20E+11,4650,291332910.6,48747114323,3.68E+13,39247525712,2690772186,24592872.06,24469301.34,0.31451132
205,SSP3,2063,1954001.817,1464678145,1565245.707,107468.8083,2.20E+11,4650,293100272.6,49042837170,3.68E+13,39285577773,2697323626,24537386.36,24545140.48,0.309935864
206,SSP3,2064,1965953.569,1465134530,1566579.797,107710.9313,2.20E+11,4650,294893035.4,49342810192,3.68E+13,39319061639,2703400590,24474295.65,24620266.73,0.306073824
207,SSP3,2065,1978119.542,1465900467,1567753.078,107935.2945,2.20E+11,4650,296717931.3,49648159872,3.68E+13,39348509431,2709031807,24567979.26,24694822.31,0.302821976
208,SSP3,2066,1990670.153,1466979881,1568784.43,108143.0028,2.20E+11,4650,298600523,49963163457,3.68E+13,39374394997,2714245008,24817885.37,24768926.28,0.300078987
209,SSP3,2067,2003438.161,1468351020,1569690.631,108335.1189,2.20E+11,4650,300515724.1,50283623404,3.69E+13,39397139435,2719066866,24861996.26,24842674.55,0.297745121
210,SSP3,2068,2016450.022,1469985547,1570486.565,108512.6616,2.20E+11,4650,302467503.4,50610203761,3.69E+13,39417116310,2723522949,24958271.11,24916139.83,0.29572211
211,SSP3,2069,2029726.081,1471855106,1571185.415,108676.6039,2.21E+11,4650,304458912.2,50943415121,3.69E+13,39434656503,2727637684,24978315.15,24989371.69,0.293913327
212,SSP3,2070,2043280.612,1473931364,1571798.841,108827.8731,2.21E+11,4650,306492091.8,51283615745,3.70E+13,39450052679,2731434337,25010957.87,25062396.52,0.292223546
213,SSP3,2071,2059420.515,1476189444,1572337.145,108967.3492,2.21E+11,4650,308913077.2,51688705758,3.71E+13,39463563404,2734935003,25051113.94,25135217.54,0.290558884
